state,name,category,total_liabilities,bonds_outstanding,compensated_absences,leases,loans_outstanding,notes_outstanding,pension_debt,opeb_debt,total_revenues,charges_for_services,operating_grants,capital_grants,general_revenue,total_operating_revenues,non_operating_revenues,capital_contributions
NE,Omaha Douglas Public Building Commission,Special District,157820697,155438945,125017,0,0,0,0,0,16061849,6702907,0,0,9358942,0,0,0
NE,Douglas SID 413 County,Special District,4423042,2115000,0,0,0,0,0,0,353309,0,0,0,353309,0,0,0
NE,Douglas SID 455 County,Special District,4256101,3600000,0,0,0,0,0,0,273066,0,0,0,273066,0,0,0
NE,Douglas SID 482 County,Special District,3079464,3030000,0,0,0,0,0,0,337290,0,0,0,337290,0,0,0
NE,Douglas SID 501 County,Special District,7671220,6875000,0,0,0,0,0,0,711921,0,0,0,711921,0,0,0
NE,Douglas SID 425 County,Special District,26606467,16455897,0,0,288538,0,0,0,1564414,0,0,0,1564414,0,0,0
NE,Dodge SID 6 County,Special District,582189,540000,0,0,0,0,0,0,61721,0,0,0,61721,0,0,0
NE,Douglas SID 451 County,Special District,5574416,5390000,0,0,0,0,0,0,549310,0,0,0,549310,0,0,0
NE,Douglas SID 466 County,Special District,6787435,6570000,0,0,0,0,0,0,737067,0,0,0,737067,0,0,0
NE,Douglas SID 473 County,Special District,22005000,21004047,0,0,0,0,0,0,1556864,0,0,0,1556864,0,0,0
NE,Douglas SID 476 County,Special District,31074735,15875000,0,0,14922051,0,0,0,2371066,0,0,0,2371066,0,0,0
NE,Douglas SID 503 County,Special District,9961139,9825000,0,0,0,0,0,0,938970,0,0,0,938970,0,0,0
NE,Douglas SID 507 County,Special District,4512165,4143280,0,0,0,0,0,0,473493,0,0,0,473493,0,0,0
NE,Douglas SID 405 County,Special District,12964103,12740000,0,0,0,0,0,0,1262295,0,0,0,1262295,0,0,0
NE,Douglas SID 478 County,Special District,2787097,2730000,0,0,0,0,0,0,208941,0,0,0,208941,0,0,0
NE,Sarpy SID 270 County,Special District,9909583,9597829,0,0,0,0,0,0,605498,0,0,0,605498,0,0,0
NE,Sarpy SID 302 County,Special District,2945960,2300000,0,0,0,0,0,0,191782,0,0,0,191782,0,0,0
NE,Sarpy SID 316 County,Special District,3209378,0,0,0,0,0,0,0,125052,0,0,0,125052,0,0,0
NE,Sarpy SID 249 County,Special District,4923382,2922662,0,0,1675754,0,0,0,408971,0,0,0,408971,0,0,0
NE,Sarpy SID 258 County,Special District,8701629,8505000,0,0,0,0,0,0,523038,0,0,0,523038,0,0,0
NE,Sarpy SID 332 County,Special District,4689609,0,0,0,0,0,0,0,18725,0,0,0,18725,0,0,0
NE,Sarpy SID 298 County,Special District,1699040,850000,0,0,0,0,0,0,169735,0,0,0,169735,0,0,0
NE,Sanitary and Improvement District No. 333,Special District,5894810,0,0,0,0,0,0,0,29366,0,0,0,29366,0,0,0
NE,Sarpy SID 307 County,Special District,7191115,0,0,0,0,0,0,0,37140,0,0,0,37140,0,0,0
NE,Sarpy SID 321 County,Special District,5644803,0,0,0,0,0,0,0,368825,0,0,0,368825,0,0,0
NE,Sarpy SID 311 County,Special District,4065654,1315008,0,0,0,0,0,0,198434,0,0,0,198434,0,0,0
NE,Sarpy SID 272 County,Special District,7392803,7370000,0,0,0,0,0,0,713463,0,0,0,713463,0,0,0
NE,Sarpy SID 199 County,Special District,2631119,2590000,0,0,0,0,0,0,263337,0,0,0,263337,0,0,0
NE,Sarpy SID 263 County,Special District,4269052,4215000,0,0,0,0,0,0,431278,0,0,0,431278,0,0,0
NE,Sarpy SID 250 County,Special District,2898802,2865000,0,0,0,0,0,0,279110,0,0,0,279110,0,0,0
NE,Sarpy SID 313 County,Special District,6432679,2000000,0,0,0,0,0,0,336426,0,0,0,336426,0,0,0
NE,Sarpy SID 230 County,Special District,1604136,1570000,0,0,0,0,0,0,129763,0,0,0,129763,0,0,0
NE,Sarpy SID 330 County,Special District,3695846,0,0,0,0,0,0,0,147501,0,0,0,147501,0,0,0
NE,Sarpy SID 264 County,Special District,27412843,27125000,0,0,0,0,0,0,2588751,0,0,0,2588751,0,0,0
NE,Sarpy SID 261 County,Special District,8669333,8500000,0,0,0,0,0,0,906187,0,0,0,906187,0,0,0
NE,Sarpy SID 236 County,Special District,1960716,1940000,0,0,0,0,0,0,215741,0,0,0,215741,0,0,0
