"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"TX","Harris County Municipal Utility District No 531","Special District",31189174,19251924,0,0,0,0,0
"NY","St. Teresa of Avila Senior HDFC 012-Ee300","Special District",9122964,0,0,0,8981100,0,0
"TX","Harris County Municipal Utility District No 58","Special District",3785629,3608803,0,0,0,0,0
"NY","The Equity Project Charter School","Charter School",5858649,0,0,0,1000000,0,0
"NY","Spackenkill Union Free School District","School District",255403033,26611168,783829,0,0,2497250,223242973
"TX","Harris County Municipal Utility District No 6","Special District",708719,0,0,0,0,0,0
"MA","Massachusetts Maritime Academy","Public Higher Education",24387004,11129292,3144867,0,0,1664505,3137860
"NY","West Canada Valley Central School District","School District",54598702,10630000,599572,0,0,1518886,41326132
"MA","Framingham State University","Public Higher Education",93307445,0,6347578,0,1531991,14703180,27718004
"NY","Wheatland-Chili Central School District","School District",37584345,5010000,434473,0,0,1509238,19390229
"OH","Walnut Creek","General Purpose",0,0,0,0,1374179,0,0
"OH","Hebrew Academy of Cleveland","Charter School",14461060,0,0,0,0,6544239,0
"OH","Oak Bluff","General Purpose",0,0,0,0,1460367,0,0
"TX","Harris County Municipal Utility District No 8","Special District",2693042,2440000,0,0,0,0,0
"OH","Citizens Academy Southeast","Charter School",4638228,0,0,0,630560,3087249,285278
"TX","Harris County Municipal Utility District No 82","Special District",28041478,23742226,0,0,0,0,0
"OH","Lake County Community College District","Community College District",179490535,89236346,2249533,0,0,63779476,11252767
"MA","Westfield State University","Public Higher Education",148685154,20045084,6329973,97133,0,37463840,70625670
"MA","Salem State University","Public Higher Education",185878718,38573277,9172000,0,2061183,40623739,76582635
"OH","New Richmond Exempted Village School District","School District",38577212,0,2913079,0,0,29864623,3193966
"OH","Hassayampa","General Purpose",0,0,0,0,1849705,0,0
"OH","Eagle Tail","General Purpose",0,0,0,0,2263555,0,0
"OH","National Church Residences Worthington East Court","Special District",3555793,0,0,0,3499700,0,0
"OK","Calera School District Number I-48","School District",0,1455000,0,6671105,0,0,0
"TX","Harris County Municipal Utility District No 86","Special District",10587662,10134969,0,0,0,0,0
"TX","Harris County Water Control Improvement District No 161","Special District",44384362,28095526,0,0,0,0,0
"WA","Housing Authority City of Kennewick","Special District",2052205,0,131270,0,375414,348743,418968
"TX","Harris County Water Control and Improvement District No 74","Special District",9980384,9429422,3270,0,0,0,0
"OK","Bixby Public School District No. I-4","School District",119617109,40730000,0,69705541,0,35148541,0
"TX","Hays County Development District No 1","Special District",42777444,13915000,0,0,0,0,0
"OK","Chickasha School District I-001","School District",0,4820000,329208,16065291,0,0,0
"TX","Highway 380 Municipal Management District No 1","Special District",62616993,31587908,0,0,0,0,0
"OK","Putnam City Independent School District No.1","School District",137334291,103190000,5407251,0,0,125800000,0
"OK","Blackwell School District No.I-45","School District",3988244,1040000,0,2590874,0,0,0
"OK","Heavener Public School District No. I-3","School District",2143325,235000,0,687781,0,0,0
"OK","Fort Gibson School District No. 1-003","School District",7211802,4875000,0,0,0,0,0
"OK","Purcell Public Schools I-15","School District",34775610,4795000,0,28951492,0,0,0
"OK","Holdenville School District I-35","School District",0,625000,0,377511,0,0,0
"OK","Ada School District No.1-19","School District",15492506,14211565,0,0,0,0,0
"OK","Sperry Public Schools I-8","School District",1663819,1270000,0,0,0,6446852,0
"TX","Horsepen Bayou Municipal Utility District","Special District",17000020,14969078,0,0,0,0,0
"OK","Hartshorne Independent School District No.I-1","School District",6266471,715000,0,4628865,0,0,0
"OK","Darlington Public School District No. 70","School District",305427,0,0,0,0,0,0
"OK","Mcalester Public Schools I-80","School District",8429811,3210000,0,137101,0,0,0
"OK","Adair Public Schools No. I-2","School District",5146911,4253965,0,0,0,0,0
"OK","Newcastle Public Schools I-1","School District",23312306,5255000,132085,16055980,0,0,0
"OH","New Concepts","Special District",1204038,0,0,112697,0,0,0
"OK","Poteau School District I-29","School District",19160921,1600000,0,13237500,0,15987145,0
"TX","Heatherloch Municipal Utility District","Special District",4798685,4315000,0,0,0,0,0
"TX","Irving Hospital Authority","Special District",119777000,114162000,0,0,0,0,0
"OK","Sand Springs School District I-2","School District",0,17405000,0,0,0,0,0
"TX","Hunters Glen Municipal Utility District","Special District",40388248,35773319,0,0,0,0,0
"OK","Idabel Public Schools","School District",0,1925000,0,133000,0,0,0
"OK","Stroud School District I-54","School District",45891391,5210000,0,38657750,0,6553316,0
"TX","Interstate Municipal Utility District","Special District",8980236,8385000,0,0,0,0,0
"OK","Porum Public Schools I-88","School District",461453,95000,0,206375,0,0,0
"OR","Pacific State Marine Fisheries Commission","Special District",8749104,0,2701693,134972,0,0,0
"OK","Pauls Valley Public Schools I-18","School District",26069953,2100000,28000,23610247,0,0,0
"OK","South Western Oklahoma Development Authority","Special District",1896126,0,0,0,0,76070,0
"WA","Housing Authority of Skagit County","Special District",12175731,3568396,48662,0,6824547,289282,0
"MA","Worcester State University","Public Higher Education",95505089,21956080,5620335,734405,0,19332813,36445632
"OR","Reynolds School District","School District",318390471,187461022,192923,0,0,87585114,15115453
"OK","Smithville Public Schools I-14","School District",339740,245000,0,0,0,0,0
"OR","Nestucca Valley School District No. 101 J","School District",47593161,37525378,11850,180304,49337,5189223,238660
"OK","Oologah-Talala School District Number I-4","School District",13801709,2750000,0,9815381,0,0,0
"OK","I-011 Valliant Independent School District Mccurtain County.","School District",0,1695000,0,367196,0,0,0
"OR","Multnomah County School District No. 40","School District",273147221,78484245,970987,0,0,159261981,22362817
"OK","Pawhuska Public School District I-2","School District",0,840000,0,0,0,0,0
"TX","Kaufman County Fresh Water Supply District No 1 C","Special District",40804563,34947353,0,0,0,0,0
"OK","Hobart Independent School District No. 1","School District",0,1445000,23600,2179660,0,0,0
"OK","Lexington Public Schools I-57","School District",1940117,1395000,0,195035,0,0,0
"OK","Sequoyah School District I-6","School District",10210789,2120000,0,7393505,0,0,0
"OK","Tuttle Public School District I-97","School District",37069006,9415000,52060,26352500,0,0,0
"OK","Muldrow School District I-3","School District",584900,0,0,0,0,0,0
"TX","Kaufman County Fresh Water Supply District No 4a","Special District",15369814,0,0,0,0,0,0
"OK","Prague Public School District I-103","School District",1767720,1125000,0,47835,0,0,0
"OK","Hennessey School District No. I-016","School District",0,3225000,0,10141269,0,0,0
"IL","Humboldt Fire Protection District","Special District",68248,0,0,66569,0,0,0
"MI","Wayne State University","Public Higher Education",972174000,591898000,0,18145000,21653000,0,0
"PR","Conservatorio De Musica De Puerto Rico","Special District",22024371,0,153947,0,0,19829460,228832
"TX","Kaufman County Municipal Utility District No 11","Special District",25896557,23277456,0,0,0,0,0
"TX","Memorial Hills Utility District","Special District",5406900,5084011,0,0,0,0,0
"TX","Kaufman County Municipal Utility District No 14","Special District",48854536,32961464,0,0,0,0,0
"TX","Kaufman County Municipal Utility District No 3","Special District",355998,0,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 139","Special District",43502808,27180277,0,0,0,0,0
"TX","Kaufman County Municipal Utility District No 4","Special District",20295364,12544059,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 107","Special District",22200449,22007899,0,0,0,0,0
"OR","Sheridan School District No. 48j","School District",13060632,2338794,0,0,0,9723569,407612
"TX","Lake Conroe Hills Municipal Utility District","Special District",590487,0,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 108","Special District",4779659,0,0,0,0,0,0
"TX","Lake Forest Utility District","Special District",427100,0,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 111","Special District",21392336,0,0,0,0,0,0
"TX","Lamar Improvement District","Special District",18306051,3410000,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 119","Special District",96531308,79459589,0,0,0,0,0
"TX","Langham Creek Utility District","Special District",25788232,24413245,0,0,0,0,0
"TX","Lower Kirby Pearland Management District","Special District",31804440,21710120,0,0,0,0,0
"TX","Lazy Nine Municipal Utility District No 1a","Special District",24529668,0,0,160400,0,0,0
"TX","Montgomery County Municipal Utility District No 138","Special District",37603407,12895000,0,0,0,0,0
"TX","Lazy Nine Municipal Utility District No 1b","Special District",80517146,53795642,0,352878,0,0,0
"TX","Mill Road Municipal Utility District","Special District",2409399,0,0,0,0,0,0
"TX","Live Oak Creek Municipal Utility District No 1","Special District",22164162,11191378,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 126","Special District",20481722,7065000,0,0,0,0,0
"TX","Kaufman County Municipal Utility District No 10","Special District",6087964,3236728,0,0,0,0,0
"TX","Kaufman County Fresh Water Supply District No 6","Special District",13623531,7584173,0,0,0,0,0
"TX","Luce Bayou Public Utility District","Special District",1149146,1035000,0,0,0,0,0
"TX","Magnolia Pointe Municipal Utility District No 1","Special District",37242460,4239100,0,0,0,0,0
"IN","WFIU-FM","Public Higher Education",512615,0,154424,0,0,103010,216614
"IA","State University of Iowa","Public Higher Education",3351071000,1130044000,180594000,15907000,27588000,99290000,176421000
"IN","Dynamic Minds Academy","Charter School",424063,0,0,0,0,0,0
"IN","Indiana Motorsports Commission","Special District",80009377,0,0,78520000,0,0,0
"IA","Central Community School District","School District",10754844,7075000,16261,0,0,2525278,136834
"IA","Dickinson County Sanitary Landfill Commission","Special District",0,0,0,0,0,0,0
"IN","Statewide 911 Board","Special District",28106567,0,0,0,0,176821,0
"TX","Montgomery County Municipal Utility District No 164","Special District",8421832,0,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 16","Special District",2322385,2230000,0,0,0,0,0
"IA","La Porte City Utilities","Special District",0,0,0,0,0,0,0
"IN","Indiana Bond Bank","Special District",899817862,851986930,0,0,0,395273,0
"IA","Lottery Authority","Special District",45472331,0,1855055,0,0,5525227,1163000
"LA","Geo Prep Academy of Greater Baton Rouge","Charter School",6821791,0,0,0,0,0,0
"AR","Wilbur D. Mills Education Service Cooperative","School District",0,0,0,0,0,0,0
"LA","Democracy Prep Louisiana Charter School","Charter School",1621608,0,0,0,624300,0,0
"IA","Ambulance Commission of Shelby County","Special District",0,0,0,0,0,0,0
"TX","Montgomery County Municipal Utility District No 56","Special District",2834278,2418361,0,0,0,0,0
"IA","Keokuk Municipal Waterworks A Compnent UnitKeokuk","Special District",17188886,0,0,0,0,1028310,0
"IA","Clarke County Sanitary Landfill Commission","Special District",572380,0,0,0,0,0,0
"IA","Montezuma Municipal Light and Power Plant","Special District",0,0,26672,0,0,0,0
"TX","Montgomery County Municipal Utility District No 166","Special District",6180374,0,0,0,0,0,0
"IA","Myrtue Memorial Hospital Shelby County","Special District",22863935,0,0,0,6868655,12109500,0
"TX","Montgomery County Municipal Utility District No 92","Special District",12289405,12218833,0,0,0,0,0
"IA","Marion Water Department A Component Unit of the City of Marion","Special District",3457683,1805000,116682,0,0,761740,96776
"IA","Waste Commission of Scott County","Special District",19755720,6954302,0,0,0,2419773,109916
"TX","Montgomery County Municipal Utility District No 94","Special District",28879039,28244883,0,0,0,0,0
"IA","Harlan Municipal Utilities","Special District",12333107,0,271087,0,0,1265746,0
"TX","Nacogdoches County Hospital District","Special District",105439218,56587141,0,7680227,0,2214664,0
"IA","Mahaska County Solid Waste","Special District",1763330,0,9581,0,0,199904,0
"IA","Peace Officers' Retirement Accident and Disability System","Special District",54951808,0,0,0,0,146503720,0
"IL","Steger-So Chicago Heights Public Library District","Special District",175739,0,6174,0,119788,42203,0
"TX","Montgomery County Municipal Utility District No 89","Special District",20876272,20314698,0,0,0,0,0
"IA","Iowa Public Employees' Retirement System","Special District",2078740678,0,844955,0,0,7024735428,875000
"LA","Louisiana Achievement Charter Academies Inc","Charter School",442157,0,0,0,0,0,0
"IL","Pilot Township Fire Protection District","Special District",0,0,0,0,0,0,0
"IL","Salem Township Hospital","Special District",22924589,14887500,0,34892,0,0,0
"LA","Athlos Academy of Jefferson","Charter School",1130553,0,0,0,0,0,0
"LA","Orleans Parish Charter School - Lycee Francais De La Nouvelle Orleans","Charter School",2604523,0,0,0,0,0,0
"TX","Banquete Independent School District","School District",15648218,0,0,0,0,2038634,4036778
"LA","Natchitoches Parish School Board","School District",0,0,0,0,0,0,0
"LA","Timberlane Neighborhood Improvement and Beautification District","Special District",1642984,0,0,0,1517594,0,0
"TX","North Mission Glen Municipal Utility District","Special District",22798366,21848577,0,0,0,0,0
"TX","New Fairview Municipal Utility District No 1","Special District",0,0,0,0,0,0,0
"TX","North Wheeler County Hospital District","Special District",12642991,7816957,0,0,869600,0,0
"LA","Delhi Charter School","Charter School",1079241,0,0,0,0,0,0
"TX","Northlake Municipal Management District No 1","Special District",33404445,0,0,0,0,0,0
"TX","Northwest Harris County Municipal Utility District No 20","Special District",485352,0,0,0,0,0,0
"MN","Independent School District 719 Prior Lake-Savage Area Schools","School District",300149142,195739345,658028,8795814,0,62891073,12382722
"OH","Marion Prepratory Academy","Charter School",702168,0,0,0,0,0,0
"NE","Fort Calhoun Rural Fire District","Special District",0,830000,0,0,0,0,0
"NE","Housing Authority of the City of Fairmont","Special District",43224,0,0,0,0,0,0
"NE","Housing Authority of the City of Imperial","Special District",978796,0,0,0,0,0,0
"OH","Toledo Preparatory Academy","Charter School",148231,0,0,0,0,0,0
"TX","Oak Point Water Control and Improvement District No 2","Special District",917327,0,0,0,0,0,0
"MN","New Prague Independent School District No. 721","School District",128765136,88009527,292618,673683,0,31024778,2037335
"NE","Boyd County Rural Water District 2","Special District",2327752,657275,0,0,1620404,0,0
"TX","Oak Point Water Control and Improvement District No 4","Special District",12425112,10495176,0,0,0,0,0
"OH","Parma Academy","Charter School",415569,0,0,602065,0,0,0
"NE","Lancaster County Correctional Facility Joint Public Agency","Special District",35930280,35806257,0,0,0,0,0
"OH","North Woods Career Prep High School","School District",949110,0,0,0,0,844214,100478
"TX","Onion Creek Metro Park District","Special District",3323170,0,0,0,0,0,0
"OH","Edison Local School District","School District",0,0,0,159995,0,18871702,1968389
"TX","Oak Point Water Control and Improvement District No 1","Special District",9644618,8193757,0,0,0,0,0
"OH","Gem City Career Prep High School","School District",954943,0,0,0,0,848879,97697
"OH","Cascade Career Prep High School","School District",918557,0,0,0,0,820494,86474
"UT","Duchesne","General Purpose",7074286,6505618,0,0,0,76301,0
"OH","Capital City Career Prep High School","School District",859983,0,0,0,0,775504,80282
"OK","Cherokee County Rural Water District No. 9","Special District",29380,0,0,0,0,0,0
"OH","Skyway Career Prep High School","School District",962370,0,0,0,0,871983,81464
"OH","Eagle Elementary of Akron","School District",2159920,0,0,0,0,1333883,130417
"OH","Queen City Career Prep High School","School District",792728,0,0,0,0,699331,87761
"OH","Eaton Community School District","School District",0,28078266,0,0,0,23050018,1161576
"OH","Urban Male Tech Academy","Charter School",240589,0,0,0,0,0,0
"OK","Crooked Oak School District No. I-053","School District",18868540,3785000,11650,14569606,0,0,0
"NE","Housing Authority of the City of Shelton","Special District",7277,0,0,0,0,0,0
"OK","Oklahoma Water Resources Board 1986 General Bond Resolution State Loan Program","Special District",171703190,169896425,0,0,0,0,0
"OR","Jefferson County School District 4","School District",16335354,7178654,0,174643,0,8444850,100660
"OK","Boise City Independent School District I-2","School District",456835,225000,0,38300,0,0,0
"OK","Choctaw County Rural Water District No 1","Special District",1748698,0,0,101036,64017,0,0
"OK","Crutcho Public Schools C-74","School District",1419874,1270000,0,0,0,0,0
"OR","John Day/Canyon City Parks & Rec","Special District",150424,0,0,0,0,0,0
"OK","Sovereign Community School District No. J-4","School District",115659,0,0,0,102500,0,0
"OK","Regional Transportation Authority of Central Oklahoma","Special District",1132955,0,0,0,0,0,0
"OR","East Umatilla Fire and Rescue","Special District",0,0,0,0,0,0,0
"OK","TownoDrummond","General Purpose",13143,0,0,0,0,0,0
"OR","Willamette Water Supply System Commission","Special District",35000655,0,0,14921781,0,0,0
"OK","Pawnee and Payne County Rural Water District No. 3","Special District",16900,0,0,0,0,0,0
"OR","Willamette Connections Academy","Charter School",770449,0,0,0,0,0,0
"OK","Texas County 911 Trust Authority","Special District",0,0,0,0,0,0,0
"PA","Conemaugh Township Area School District","School District",34395765,9785955,249332,0,0,19695000,2610000
"OK","The Poteau Valley Improvement Authority","Special District",1271218,0,0,0,1198428,27958,0
"OK","University Hospitals Authority and University Hospitals Trust","Special District",106928945,0,194658,0,0,160653,0
"PA","Chester Charter Scholars Academy","Charter School",3569991,0,0,0,1198260,0,0
"OK","Tulsa County Industrial Authority","Special District",109200224,103982424,0,0,0,0,0
"OR","Central Lincoln Peoples Utility District","Special District",67358508,35181568,2175904,0,0,17144271,4764588
"OR","South Lane School District No. 45j3","School District",88134717,65211661,189447,1361316,0,18446299,888095
"OR","Boardman Fire and Rescue","Special District",1184488,0,0,337182,847306,0,0
"OK","Tulsa Airports Improvement Trust- Single Audit","Special District",0,0,0,0,0,0,0
"OK","Eastern Oklahoma Library System","Special District",470493,0,157673,0,0,168123,0
"OR","Vale School District No. 84","School District",21725116,8222620,17642,0,0,12436988,581248
"OK","Dove Schools of Tulsa No. G-003 Tulsa County","Public Higher Education",1639033,0,0,0,0,0,0
"OK","Tahlequah School District No.I-35","School District",7010318,2415000,0,780304,0,28482114,0
"OR","Multnomah County School District No. 39","School District",20065401,4347408,0,0,703743,13575346,312712
"TX","Ponderosa Forest Municipal Utility District","Special District",620519,0,0,0,0,0,0
"PA","Coudersport Area School District","School District",24462436,3524000,62655,0,0,16935000,2346322
"TX","Plantation Municipal Utility District","Special District",3894799,3652668,0,0,0,0,0
"TX","Pearland Municipal Management District No 2","Special District",28601,0,0,0,0,0,0
"PA","Lehigh and Northampton Tranportation Authority","Special District",44104934,0,0,0,0,4223314,10624374
"PA","Exeter Township School District","School District",193333515,61632425,2237984,326273,0,108957000,9523971
"MN","Eastern Carver County Schools Independent School District No. 112","School District",257613733,147913130,963387,0,0,85562615,2230643
"PA","Luzerne-Wyoming Counties Drug and Alcohol Program","Special District",1827778,0,39112,0,0,625971,0
"IL","Lincolnshire-Riverwoodsvernon Fire Protection District","Special District",38280031,0,594259,0,0,14823652,22790273
"PA","Manheim Township School District","School District",311095275,134686593,795333,0,0,135716000,17724414
"PA","Green Woods Charter School","Charter School",24356320,16740000,0,0,173903,6129000,279000
"PA","Northern Potter School District","School District",20567576,2795000,53348,0,0,15017000,1202548
"PA","Millcreek Township School District","School District",262992688,80573174,3462263,711193,0,143903302,15912468
"PA","Harambee Institute of Science & Technology Charter School","Charter School",11639583,5587111,0,0,0,4631000,211000
"PA","Peters Township School District","School District",288944162,125528070,2803567,0,0,101893000,14826896
"TX","Ricewood Municipal Utility District","Special District",8305256,7939953,0,0,0,0,0
"PA","Philadelphia Charter School for Arts and Sciences at Hr Edmunds","Charter School",4893755,0,0,114517,0,2947000,134000
"TX","Rolling Fork Public Utility District","Special District",1893039,1744523,0,0,0,0,0
"PA","Philadelphia Electric and Technology Charter High School","Charter School",8645605,0,0,43791,0,7064000,321000
"PA","Nueva Esperanza Academy Charter School","Charter School",21504216,0,0,443980,3412898,14315000,651000
"PA","Radnor Township School District","School District",254609624,71753898,712258,0,0,144979302,9965027
"TX","Spring Meadows Municipal Utility District","Special District",14971286,14427222,0,0,0,0,0
"PA","School District Haverford Township","School District",371721886,142147390,1642734,1458873,0,189984172,11313674
"TX","Sunfield Municipal Utility District No 10","Special District",33814446,33482304,0,0,0,0,0
"TX","Sunfield Municipal Utility District No 30","Special District",65640196,31750257,0,0,0,0,0
"PA","Schuylkill County Houing Authority","Special District",3253309,0,111858,0,0,0,2721179
"TX","Saint George Place Management District","Special District",38755,0,0,0,0,0,0
"PA","Ridley School Distrcit","School District",274127751,44932000,4052223,1372719,0,180674000,19900586
"SC","Edgefield County School District","School District",153870273,60326979,297819,0,0,46968672,38298890
"PA","Susquehanna School District Township","School District",121008529,39259899,901363,475678,0,66057000,6286751
"SC","Denmark-Olar School District No. Two of Bamberg County","School District",60366256,35717056,154496,0,0,9298421,7501144
"SC","Florence County School District Two","School District",29557523,1070000,93160,920000,0,14297104,11455160
"PA","School District of Upper Moreland Township","School District",189285350,76614832,1309349,0,0,95998000,5605077
"SC","Hampton County School District 2","School District",26108405,3882176,96287,0,0,10603129,8547593
"PA","Upper St. Clair Township School District","School District",302176969,138041376,1848300,3233834,0,126173000,18680071
"RI","Bristol County Water Authority","Special District",45680231,32061030,0,0,5631056,598373,4949916
"PA","School District of the City of Erie","School District",509514709,143242869,6290358,0,0,234942257,84704655
"SC","Greenwood Edgefield Mccomick Abbeville Commission on Alcohol and Drug","Special District",450828,0,49928,0,0,0,0
"WI","Northcentral Technical College District","Community College District",57743241,0,26705,0,0,0,5045493
"SC","The Consolidated School District of Aiken County","School District",820764795,275331318,4605630,0,0,272867132,224894095
"SC","Cherokee County School Distirct 1","School District",308990556,0,0,0,0,112885378,91170845
"SC","Westview-Fairforest Fire Department","Special District",3023609,0,16416,0,970000,1873486,0
"KY","Northern Kentucky Area Development District","Special District",16107667,0,0,1720000,300000,8705362,2081352
"SC","Horry County Department of Airports","Special District",78951880,52375059,1061812,164821,0,14468434,1565546
"SD","Flandreau School District","School District",5294768,265000,18066,0,0,0,0
"MS","State of Mississippi Institutions of Higher Learning","Public Higher Education",5079085871,0,0,0,0,2843514960,157499028
"TN","Greeneville Energy Authority","Special District",34649683,0,1176283,0,0,2949544,16897882
"SD","Children's Home Society of SD","Special District",5572491,0,0,0,0,0,0
"TN","Hornbeak Water Utility District","Special District",1514153,1472959,0,0,0,0,0
"TN","Carroll County Watershed Authority","Special District",10998058,10990254,0,0,0,0,0
"TN","Music City Executive Airport Authority","Special District",1551630,0,0,0,110248,0,0
"TN","Claiborne Utilities District","Special District",9097469,8398451,0,0,0,0,0
"TN","Industrial Development Board of the City of Ripley","Special District",0,0,0,0,0,0,0
"TN","Marion County Railroad Authority","Special District",0,0,0,0,0,0,0
"TN","Industrial Development Board of the City of Westmoreland","Special District",424984,0,0,0,423144,0,0
"TN","The Knoxville, Knox County, Knoxville Utilities Board","Special District",84553,0,65395,0,0,0,0
"SD","Mount Marty University","Public Higher Education",29746295,13130333,0,166000,0,0,0
"TN","Green Dot Public Schools Tennessee","Charter School",15909256,0,0,3530356,6983477,0,0
"TN","Dyersburg City Schools Board of Education","School District",20756404,12433399,0,0,577785,2248328,3480390
"TN","PES Energize","Special District",17854783,9029525,767425,0,0,1109598,1168410
"TN","Dickson Electric Department","Special District",31458160,5153737,97309,0,711936,6071602,4784395
"TN","Marshall County","General Purpose",25793422,0,0,0,0,0,0
"TN","Erwin Utilities Authority","Special District",22839319,8320000,0,0,159031,2698762,121056
"SC","Tri-County Commision on Alcohol and Drug Abuse","Special District",8457586,0,140629,0,0,5353070,2093926
"TN","South Blount County Utility District","Special District",27575336,26501692,315938,0,0,0,0
"TN","Etowah Utilities Department","Special District",25653013,10900000,0,0,0,3400171,354955
"TN","Nashville-Davidson County","General Purpose",10106765040,4340274238,97051724,0,24118692,303734402,4261044596
"SC","York County Bd of Disb Special Needs-DBA Maxabilities","Special District",21114160,0,325053,0,0,18895580,209801
"TX","Bay City Independent School District","School District",176859875,133087541,0,1757872,0,11215746,15262965
"TN","Compass Community Schools","School District",1968190,0,0,0,0,0,0
"TN","Tennessee Disability Coalition","Special District",115868,0,0,0,0,0,0
"TN","Tennken Railroad Authority","Special District",34586,0,0,0,0,0,0
"SD","Yankton School District No 63-3","School District",6421166,0,37421,2576,175000,0,1438449
"TN","Williamson County Joint Communications Network Authority","Special District",0,0,0,0,0,0,0
"SD","Douglas School District","School District",4103303,0,945804,0,407352,0,0
"TX","Leadership Education Foundation-Arrow Academy","Charter School",858376,0,0,0,0,0,0
"TN","Arlington Community School System","School District",10835904,0,254359,147787,0,0,5530649
"OK","Norman","General Purpose",323602298,68180848,10334412,0,67697316,40296319,8762331
"TX","Harris County Water Control & Improvement District No. 36","Special District",11715310,9065000,128374,0,0,980918,0
"TX","Basis Texas Charter Schools, Inc.","Charter School",16166276,0,0,0,12294811,0,0
"TX","Terranova West Municipal Utility District","Special District",1080798,635000,0,0,0,0,0
"TX","Gulf Coast Water Authority","Special District",41772378,31002352,1348947,0,0,455365,174446
"TX","Blackwell Consolidated Independent School District","School District",2677201,870032,0,0,0,688010,937799
"TX","Communities in School of the Heart of Texas","Public Higher Education",347381,0,0,0,0,0,0
"TX","Travis County Municipal Utility District No 10","Special District",9784600,5641870,0,0,0,0,0
"TX","Travis County Municipal Utility District No 15","Special District",33480286,32945390,0,0,0,0,0
"TX","Cisco College District","Public Higher Education",24085416,4585000,195088,0,0,3606599,13325686
"TX","Travis County Municipal Utility District No 16","Special District",26239535,25623489,0,0,0,0,0
"TX","Harris County Hospital District","Special District",1295788000,296512000,0,8978000,0,224938000,486430000
"TX","Valley Ranch Municipal Utility District No 1","Special District",24684796,23185139,0,0,0,0,0
"TX","Cenral Texas Rural Transit District","Special District",197047,0,36288,0,0,0,0
"TX","Betty M. Condra School for Education Innovation","School District",311374,0,0,0,0,0,0
"TX","Goldthwaite Consolidated Independent School District","School District",28659891,21905355,0,0,0,2508827,3346394
"TX","Travis County Municipal Utility District No 21","Special District",31763472,31577020,0,0,0,0,0
"TX","Waller County Improvement District No 2","Special District",11315687,2900000,0,0,0,0,0
"TX","Dodd City Independent School District","School District",6195282,3960000,0,0,0,694471,1032683
"TX","Bloom Academy Charter School","Charter School",128585,0,0,0,5000,0,0
"TX","Falls City Independent School District","School District",31418773,28250354,0,0,0,1138748,1488191
"TX","Travis County Municipal Utility District No 20","Special District",340676,0,0,0,0,0,0
"TX","West Ranch Management District","Special District",23052962,22388805,0,0,0,0,0
"TX","Tara Glen Municipal Utility District","Special District",204088,199059,0,0,0,0,0
"TX","West Harris County Municipal Utility District No 5","Special District",25173664,19820259,0,0,0,0,0
"TX","Weston Municipal Utility District","Special District",21448770,20567624,0,0,0,0,0
"TX","West Harris County Municipal Utility District No 1","Special District",152218,0,0,0,0,0,0
"TX","Gatesville Independent School District","School District",43075021,24507376,0,0,0,6757737,9239509
"TX","Dell City Independent School District","School District",990996,0,0,0,0,400360,568249
"TX","Mhmr Authority of Brazos Valley","Special District",2903128,0,265001,114181,0,0,0
"TX","Westador Municipal Utility District","Special District",882880,494945,0,0,0,0,0
"TX","Odessa College District","Public Higher Education",114061821,64235000,721365,111683,0,9890177,27921686
"TX","White Oak Bend Municipal Utility District","Special District",723918,530000,0,0,0,0,0
"TX","Laredo Independent School District","School District",580354248,321907367,2769084,0,8000000,82289307,100448289
"TX","West Harris County Municipal Utility District No 7","Special District",20984724,20546021,0,0,0,0,0
"TX","La Vega Independent School District","School District",65327306,38871929,0,0,1290865,9367616,12364681
"TX","Northeast Texas Community College","Community College District",62167919,36253861,161810,0,0,5340834,16681381
"TX","Stafford Municipal School District","School District",147730151,114771979,27450,0,0,9729213,13230649
"TX","Irion County Independent School District","School District",5754834,4830543,0,0,0,325284,517608
"TX","Johnson City Independent School District","School District",21203141,15075358,0,0,0,2018109,2645745
"NY","Lindenhurst","General Purpose",32019106,8095000,237356,812916,0,793978,7303060
"TX","Ricardo Independent School District","School District",6484801,0,0,32524,0,2156542,2616490
"TX","Roby Consolidated Independent School District","School District",2546766,0,0,0,0,845187,1287157
"TX","Reve Preparatory Charter School","Charter School",94044,0,0,0,0,0,0
"TX","Williamson County Municipal Utility District No 29","Special District",322210,0,0,0,0,0,0
"TX","Inspire Academies","Charter School",11795504,10113771,0,0,681810,0,0
"TX","Nova Charter School","Charter School",4518907,4359750,0,0,0,0,0
"TX","Williamson County Municipal Utility District No 28","Special District",20258025,15045845,0,0,0,0,0
"TX","A+ Charter Schools Inc","Charter School",30093894,28469925,0,114962,0,0,0
"UT","Francis","General Purpose",6280684,5122045,0,0,0,67892,0
"TX","Iowa Park Consolidated Independent School District","School District",49455965,35132301,0,0,0,3790449,5463068
"UT","Brian Head","General Purpose",11537130,9265135,60772,0,0,499813,0
