"state","name","category","total_liabilities","bonds_outstanding","compensated_absences","leases","loans_outstanding","net_pension_liability","net_opeb_liability"
"MN","Ada","General Purpose",0,341000,0,0,0,539591,0
"MO","Lake Saint Louis","General Purpose",8241396,4961496,790874,70094,0,0,0
"MN","Marshall","General Purpose",70784827,47710180,1401597,0,0,6584090,570799
"MA","Billerica","General Purpose",611977919,157441249,4299000,0,0,157213941,258733949
"MN","Paynesville","General Purpose",15028263,13211298,111672,0,0,1079894,32403
"MO","and Country","General Purpose",5556016,0,112678,61026,0,3812179,445819
"MO","Christian County","General Purpose",0,8976649,283286,36075,0,0,0
"MO","Mansfield","General Purpose",1292684,455462,0,84942,752280,0,0
"MO","Mosby","General Purpose",15688,0,0,0,0,0,0
"MO","Jackson","General Purpose",9575781,7288841,138285,480000,0,0,0
"MI","Kalamazoo","General Purpose",449575866,241752371,8561061,822018,7718638,0,171552329
"NE","Beaver","General Purpose",132340,0,0,0,0,0,0
"NE","Bellevue","General Purpose",100548081,79541742,5554933,1090129,0,2713536,3290668
"ND","New Town","General Purpose",13517134,11942000,0,0,244656,1330478,0
"NY","Hancock","General Purpose",0,376558,0,0,0,796041,0
"NE","Beemer","General Purpose",0,405000,0,0,0,0,0
"NE","Cozad","General Purpose",2400836,420000,0,0,0,0,0
"NC","New Hanover County","General Purpose",971374798,348282717,11106221,0,95717722,52495721,406914976
"NY","Essex County","General Purpose",391334437,22665000,1161749,0,0,25211033,324078303
"NY","Geneseo","General Purpose",2482721,0,65441,0,0,482102,0
"NH","Bristol","General Purpose",10683120,2111496,304630,160185,0,5806456,467043
"NM","Dona Ana County","General Purpose",146438072,14317000,6218428,0,0,77429888,26431734
"NY","Watson","General Purpose",0,0,0,0,0,0,0
"NE","Brown County","General Purpose",0,2308352,0,0,123332,0,0
"MI","Adams Township","General Purpose",861,0,0,0,0,0,0
"OK","Northern Oklahoma College","Community College District",55216031,0,428359,31878303,0,19638818,2009202
"MN","Moorhead","General Purpose",270359119,210029167,3310569,0,174882,23339758,2217466
"IL","Lockport Township","General Purpose",443305,0,222530,0,150388,0,0
"NV","West Wendover","General Purpose",20557981,11463549,349366,557379,0,7590767,0
"NY","Cortland County","General Purpose",246913716,40872351,1784385,0,0,29612416,131944310
"NY","Oyster Bay","General Purpose",1416912874,491792770,27274898,55855,0,74081920,558778764
"PA","Chester County","General Purpose",740035948,559704540,11794285,3896150,0,17207877,10387000
"AZ","Navajo County Community College District","Community College District",20379794,0,452419,0,0,17163097,0
"CA","South Orange County Community College District","Community College District",311050853,0,6675312,0,0,230459792,0
"NY","Adirondack Community College","Community College District",37582968,0,0,340353,0,6428228,21390692
