"abbreviation","name","category","population"
"IL","Garrett Township","General Purpose","1425"
"IL","Grandview Township","General Purpose","548"
"IL","Garfield Township","General Purpose","1520"
"IL","Goodfarm Township","General Purpose","366"
"IL","Grandville Township","General Purpose","367"
"IL","Glasford","General Purpose","981"
"IL","Germantown Hills","General Purpose","3460"
"IL","Gifford","General Purpose","1083"
"IL","Gilberts","General Purpose","8073"
"IL","Gridley","General Purpose","1416"
"IL","Glencoe","General Purpose","8900"
"IL","Golden","General Purpose","627"
"IL","Goodfield","General Purpose","981"
"IL","Freeburg","General Purpose","4262"
"IL","Freeman Spur","General Purpose","286"
"IL","Green Oaks","General Purpose","3862"
"IL","Galesburg Township","General Purpose","31273"
"IL","Gridley Township","General Purpose","1897"
"IL","Friends Creek Township","General Purpose","1382"
"IL","Godfrey Township","General Purpose","17759"
"IL","Grand Detour Township","General Purpose","666"
"IL","Granville Township","General Purpose","2780"
"IL","German Township","General Purpose","336"
"IL","Galatia Township","General Purpose","1190"
"IL","Gardner Township","General Purpose","4216"
"IL","Greenbush Township","General Purpose","526"
"IL","Garden Hill Township","General Purpose","145"
"IL","Gray Township","General Purpose","1081"
"IL","Fulton Township","General Purpose","4056"
"IL","Greene Township","General Purpose","484"
"IL","Heyworth","General Purpose","2885"
"IL","Hebron","General Purpose","1200"
"PA","Lower Macungie Township","General Purpose","32405"
"IL","Hardin","General Purpose","922"
"PA","Kingston Township","General Purpose","6911"
"PA","Loyalsock Township","General Purpose","10970"
"IL","Hazel Crest","General Purpose","13837"
"PA","Sugarloaf Township","General Purpose","4011"
"IL","Harwood Heights","General Purpose","8505"
"IL","Hinckley","General Purpose","2048"
"IL","Hanover","General Purpose","784"
"IL","Homer","General Purpose","1171"
"PA","Deer Creek Township","General Purpose","477"
"PA","Ross Township","General Purpose","5805"
"PA","Plymouth Township","General Purpose","17597"
"IL","Hensley Township","General Purpose","1228"
"PA","Hanover Township","General Purpose","2608"
"IL","Hoosier Township","General Purpose","321"
"IL","Hutsonville Township","General Purpose","1130"
"IL","Hunter Township","General Purpose","232"
"PA","Tunkhannock Township","General Purpose","4239"
"IL","Highland Township","General Purpose","279"
"PA","Jackson Township","General Purpose","8117"
"IL","Indian Point Township","General Purpose","1481"
"IL","Hope Township","General Purpose","661"
"IL","Harmon Township","General Purpose","357"
"IL","Homer Glen","General Purpose","24591"
"IL","Homewood","General Purpose","19089"
"IL","Hillside","General Purpose","8043"
"IL","Inverness","General Purpose","7508"
"IL","Industry Township","General Purpose","688"
"IL","Hartland Township","General Purpose","1991"
"IL","Henry Township","General Purpose","2498"
"IL","Hopewell Township","General Purpose","527"
"IL","Hillsboro Township","General Purpose","6859"
"IL","Hollis Township","General Purpose","1864"
"IL","Hardin Township","General Purpose","205"
"IL","Hennepin Township","General Purpose","1199"
"IL","Harrisburg Township","General Purpose","10442"
"IL","Indian Prairie Township","General Purpose","618"
"IL","Hawthorne Township","General Purpose","261"
"IL","Hopkins Township","General Purpose","2080"
"IL","Lakemoor","General Purpose","6048"
"IL","Kingston","General Purpose","1170"
"PA","Upper Dublin Township","General Purpose","26327"
"IL","Lake Bluff","General Purpose","5662"
"IL","Jerome","General Purpose","1607"
"PA","Bethlehem Township","General Purpose","23962"
"ME","Baldwin","General Purpose","1601"
"PA","Bushkill Township","General Purpose","8485"
"PA","Rockefeller Township","General Purpose","2228"
"PA","Keating Township","General Purpose","298"
"PA","Upper Mahantongo Township","General Purpose","625"
"IL","La Grange Township","General Purpose","1115"
"IL","Johnson Township","General Purpose","368"
"IL","Lake Township","General Purpose","943"
"IL","Lamotte Township","General Purpose","1938"
"IL","Kingston Township","General Purpose","3535"
"IL","Laclede Township","General Purpose","888"
"IL","Kane Township","General Purpose","936"
"IL","Jersey Township","General Purpose","9859"
"IL","Knox Township","General Purpose","4841"
"IL","La Salle Township","General Purpose","12852"
"IL","Lamoine Township","General Purpose","484"
"IL","Iuka Township","General Purpose","965"
"IL","Kinmundy Township","General Purpose","1147"
"IL","Kincaid","General Purpose","1410"
"IL","La Grange","General Purpose","15581"
"IL","Itasca","General Purpose","9416"
"IL","La Moille","General Purpose","691"
"IL","Ladd","General Purpose","1218"
"IL","Lakewood","General Purpose","3928"
"IL","Lacon Township","General Purpose","2311"
"IL","Keithsburg Township","General Purpose","652"
"IL","Jubilee Township","General Purpose","1674"
"IL","Kinderhook Township","General Purpose","804"
"IL","Lakewood Township","General Purpose","433"
"IL","Kent Township","General Purpose","670"
"IL","Keith Township","General Purpose","386"
"IL","Jackson Township","General Purpose","4070"
"IL","Kansas Township","General Purpose","436"
"IL","Long Grove","General Purpose","8026"
"ME","Oakfield","General Purpose","688"
"ME","Limerick","General Purpose","2953"
"IL","Libertyville","General Purpose","20490"
"PA","Forks Township","General Purpose","358"
"PA","Cranberry Township","General Purpose","6346"
"PA","Charleston Township","General Purpose","3426"
"IL","Lemont","General Purpose","17075"
"PA","Covington Township","General Purpose","1018"
"PA","Richmond Township","General Purpose","2282"
"PA","Gregg Township","General Purpose","4565"
"PA","Kelly Township","General Purpose","4843"
"PA","West Buffalo Township","General Purpose","3003"
"PA","Pine Grove Township","General Purpose","2567"
"IL","Leroy Township","General Purpose","472"
"IL","Leepertown Township","General Purpose","350"
"IL","Ludlow Township","General Purpose","4235"
"IL","Locust Township","General Purpose","1793"
"PA","Somerset Township","General Purpose","2646"
"IL","Looking Glass Township","General Purpose","6287"
"IL","Licking Township","General Purpose","426"
"IL","Linder Township","General Purpose","325"
"IL","Lomax Township","General Purpose","781"
"IL","Loda Township","General Purpose","1403"
"IL","Lisbon Township","General Purpose","948"
"IL","Lynn Township","General Purpose","297"
"IL","Long Point Township","General Purpose","476"
"IL","Lexington Township","General Purpose","2382"
"IL","Leef Township","General Purpose","621"
"IL","Lynchburg Township","General Purpose","261"
"IL","Lovington Township","General Purpose","1563"
"IL","Lowe Township","General Purpose","1707"
"IL","Lynnville Township","General Purpose","612"
"IL","Lynwood","General Purpose","9279"
"IL","Lovington","General Purpose","1069"
"IL","Lena","General Purpose","2750"
"ME","Houlton","General Purpose","5813"
"IL","Mahomet","General Purpose","8505"
"IL","Magnolia Township","General Purpose","1021"
"IL","Madison Township","General Purpose","804"
"IL","Littleton Township","General Purpose","312"
"IL","Love Township","General Purpose","246"
"IL","Lively Grove Township","General Purpose","665"
"ME","Sweden","General Purpose","394"
"ME","Woodville","General Purpose","237"
"ME","Willimantic","General Purpose","141"
"IL","Maryville","General Purpose","7900"
"IL","Matteson","General Purpose","19418"
"IL","Melrose Township","General Purpose","338"
"IL","Meridian Township","General Purpose","552"
"IL","Mattoon Township","General Purpose","15235"
"IL","Mayfield Township","General Purpose","932"
"IL","Media Township","General Purpose","359"
"IL","Middleport Township","General Purpose","4075"
"IL","Milford Township","General Purpose","1538"
"IL","Milks Grove Township","General Purpose","202"
"IL","Menominee Township","General Purpose","1077"
"IL","Mendota Township","General Purpose","7251"
"IL","Miller Township","General Purpose","607"
"IL","May Township","General Purpose","293"
"IL","Mercer Township","General Purpose","3879"
"IL","Maryland Township","General Purpose","508"
"IL","Martinsburg Township","General Purpose","405"
"IL","Mascoutah Township","General Purpose","8683"
"IL","Maywood","General Purpose","23640"
"IL","Millstadt Township","General Purpose","6466"
"IL","Metamora Township","General Purpose","4418"
"IL","Millstadt","General Purpose","3873"
"IL","Melvin","General Purpose","421"
"IL","Mendon","General Purpose","942"
"ME","Wayne","General Purpose","1159"
"IL","Newark","General Purpose","1030"
"IL","Morton Grove","General Purpose","23142"
"IL","Monee","General Purpose","5119"
"IL","Mokena","General Purpose","20293"
"IL","Newmansville Township","General Purpose","46"
"IL","Newcomb Township","General Purpose","1289"
"PA","South Strabane Township","General Purpose","9454"
"IL","Mosquito Township","General Purpose","376"
"IL","Morgan Township","General Purpose","348"
"PA","North Huntingdon Township","General Purpose","30442"
"IL","Neoga Township","General Purpose","3093"
"PA","Mehoopany Township","General Purpose","896"
"PA","Conewago Township","General Purpose","8238"
"PA","Lower Windsor Township","General Purpose","7550"
"PA","Springfield Township","General Purpose","5731"
"IL","Mona Township","General Purpose","309"
"IL","Morris Township","General Purpose","7503"
"IL","Nettle Creek Township","General Purpose","489"
"IL","Montebello Township","General Purpose","3367"
"IL","Moore's Prairie Township","General Purpose","340"
"IL","Na-Au-Say Township","General Purpose","8796"
"IL","Newport Township","General Purpose","6776"
"IL","Nelson Township","General Purpose","831"
"IL","Mound Township","General Purpose","267"
"IL","Moro Township","General Purpose","3518"
"IL","New Boston Township","General Purpose","1149"
"IL","Monroe Township","General Purpose","1489"
"IL","Newburg Township","General Purpose","913"
"IL","New Salem Township","General Purpose","552"
"IL","New Athens Township","General Purpose","2490"
"IL","New Berlin Township","General Purpose","1507"
"IL","Moweaqua Township","General Purpose","1897"
"IL","Newell Township","General Purpose","13310"
"IL","Monmouth Township","General Purpose","10095"
"IL","Nashville Township","General Purpose","3459"
"IL","Morton","General Purpose","16301"
"IL","Mulberry Grove","General Purpose","588"
"IL","Mundelein","General Purpose","31385"
"SC","Anderson County","General Purpose","198759"
"RI","Smithfield","General Purpose","21767"
"IL","Odell","General Purpose","987"
"IL","Oswego","General Purpose","34833"
"SC","Beaufort County","General Purpose","186844"
"SC","Berkeley County","General Purpose","217937"
"RI","Burrillville","General Purpose","16727"
"IL","Oblong Township","General Purpose","2659"
"IL","Northern Township","General Purpose","464"
"IL","Oquawka Township","General Purpose","1864"
"IL","Osco Township","General Purpose","448"
"IL","Oxford Township","General Purpose","1174"
"IL","Onarga Township","General Purpose","1588"
"IL","Norton Township","General Purpose","933"
"IL","Ontario Township","General Purpose","905"
"IL","Orange Township","General Purpose","534"
"IL","Northville Township","General Purpose","7196"
"IL","Ophir Township","General Purpose","489"
"IL","Osage Township","General Purpose","269"
"IL","Otter Creek Township","General Purpose","2857"
"IL","Palmyra Township","General Purpose","2776"
"IL","Odell Township","General Purpose","1208"
"IL","Oran Township","General Purpose","367"
"IL","Omphghent Township","General Purpose","2353"
"IL","Odin Township","General Purpose","1655"
"IL","North Henderson Township","General Purpose","397"
"IL","Olney Township","General Purpose","10122"
"IL","Oconee Township","General Purpose","759"
"IL","Okaw Township","General Purpose","898"
"IL","Oakwood Township","General Purpose","3356"
"IL","Oakdale Township","General Purpose","575"
"IL","Owen Township","General Purpose","3683"
"IL","Oakwood Hills","General Purpose","2058"
"IL","Oblong","General Purpose","1391"
"IL","North Riverside","General Purpose","6564"
"IL","Ogden","General Purpose","810"
"IL","Ohio","General Purpose","488"
"IL","Olympia Fields","General Purpose","4884"
"IL","Orion","General Purpose","1816"
"IL","Park Forest","General Purpose","21682"
"IL","Oak Brook","General Purpose","8077"
"IL","Orland Hills","General Purpose","7152"
"IL","North Utica","General Purpose","1344"
"IL","Northbrook","General Purpose","33400"
"IL","Pleasant Hill","General Purpose","932"
"IL","Peoria Township","General Purpose","102288"
"IL","Phoenix","General Purpose","1948"
"IL","Pearl","General Purpose","793"
"IL","Payson Township","General Purpose","1750"
"IL","Panther Creek Township","General Purpose","267"
"IL","Philadelphia Township","General Purpose","205"
"IL","Philo Township","General Purpose","1916"
"IL","Pixley Township","General Purpose","567"
"IL","Pleasant Grove Township","General Purpose","1289"
"IL","Paw Paw Township","General Purpose","331"
"IL","Paris Township","General Purpose","9257"
"IL","Patton Township","General Purpose","5033"
"IL","Peach Orchard Township","General Purpose","566"
"IL","Pella Township","General Purpose","164"
"IL","Pleasant Township","General Purpose","698"
"IL","Patterson Township","General Purpose","600"
"IL","Papineau Township","General Purpose","468"
"IL","Pleasant Valley Township","General Purpose","263"
"IL","Persifer Township","General Purpose","946"
"IL","Peru Township","General Purpose","10254"
"IL","Pontiac Township","General Purpose","12892"
"IL","Pin Oak Township","General Purpose","3940"
"IL","Pitman Township","General Purpose","487"
"IL","Pine Rock Township","General Purpose","942"
"IL","Pearl Township","General Purpose","271"
"IL","Perry Township","General Purpose","577"
"IL","Pleasant Hill Township","General Purpose","1214"
"IL","Pleasant Vale Township","General Purpose","554"
"IL","Pickaway Township","General Purpose","175"
"IL","Penn Township","General Purpose","320"
"IL","Pekin Township","General Purpose","28638"
"IL","Point Pleasant Township","General Purpose","155"
"IL","Plum Hill Township","General Purpose","517"
"IL","Phillips Township","General Purpose","1192"
"IL","Peotone Township","General Purpose","4428"
"IL","Pecatonica Township","General Purpose","4193"
"IL","Riverside","General Purpose","8742"
"IL","Riverwoods","General Purpose","3626"
"SC","Marlboro County","General Purpose","26825"
"IL","Quincy Township","General Purpose","40780"
"IL","Rantoul","General Purpose","12769"
"IL","Roanoke","General Purpose","2019"
"IL","Robbins","General Purpose","5486"
"IL","Pittsburg","General Purpose","561"
"IL","Peotone","General Purpose","4152"
"IL","Rochester","General Purpose","3729"
"IL","Plainfield","General Purpose","43926"
"IL","Rantoul Township","General Purpose","11104"
"SC","West Pelzer","General Purpose","931"
"SC","Bamberg","General Purpose","3282"
"IL","Prairieton Township","General Purpose","431"
"SC","Hilton Head Island","General Purpose","40055"
"SC","Gaffney","General Purpose","12782"
"IL","Schaumburg","General Purpose","74184"
"IL","Ramsey Township","General Purpose","1817"
"IL","Raritan Township","General Purpose","262"
"IL","Prairie Green Township","General Purpose","173"
"IL","Quarry Township","General Purpose","1116"
"IL","Richwood Township","General Purpose","613"
"IL","Rawlins Township","General Purpose","441"
"IL","Rio Township","General Purpose","497"
"IL","River Forest Township","General Purpose","11199"
"IL","Reynolds Township","General Purpose","283"
"IL","Randolph Township","General Purpose","4423"
"IL","Raccoon Township","General Purpose","1485"
"IL","Roberts Township","General Purpose","864"
"IL","Preemption Township","General Purpose","1674"
"IL","Richland Grove Township","General Purpose","2172"
"IL","Raymond Township","General Purpose","1138"
"IL","Radnor Township","General Purpose","3560"
"IL","Preston Township","General Purpose","1226"
"IL","Prairie Du Long Township","General Purpose","2209"
"IL","Rochester Township","General Purpose","5374"
"IL","Richland Township","General Purpose","732"
"IL","Ridge Township","General Purpose","419"
"IL","Ridott Township","General Purpose","1375"
"IL","Richview Township","General Purpose","325"
"IL","Reed Township","General Purpose","7065"
"IL","Roanoke Township","General Purpose","2502"
"IL","River Grove","General Purpose","10093"
"SC","Mount Pleasant","General Purpose","86668"
"IL","Scales Mound","General Purpose","360"
"SC","Orangeburg County","General Purpose","87476"
"IL","Round Lake","General Purpose","18444"
"IL","Savanna Township","General Purpose","3490"
"IL","Sangamon Valley Township","General Purpose","302"
"IL","Rockton","General Purpose","7473"
"IL","River Forest","General Purpose","11132"
"IL","Round Lake Beach","General Purpose","27607"
"IL","Saunemin","General Purpose","402"
"IL","Romeoville","General Purpose","39632"
"IL","Roselle","General Purpose","22794"
"IL","Sadorus Township","General Purpose","946"
"IL","Rosamond Township","General Purpose","406"
"IL","Santa Fe Township","General Purpose","1147"
"IL","Sandwich Township","General Purpose","7665"
"IL","Sargent Township","General Purpose","282"
"IL","Rockbridge Township","General Purpose","1536"
"IL","Roodhouse Township","General Purpose","2111"
"IL","Rubicon Township","General Purpose","323"
"IL","Rome Township","General Purpose","1645"
"IL","Rosedale Township","General Purpose","430"
"IL","Ruyle Township","General Purpose","395"
"IL","Salina Township","General Purpose","1340"
"IL","Rutland Township","General Purpose","3568"
"IL","Rooks Creek Township","General Purpose","543"
"IL","Round Grove Township","General Purpose","355"
"IL","Saunemin Township","General Purpose","638"
"IL","Salem Township","General Purpose","8921"
"IL","Sandoval Township","General Purpose","2209"
"IL","Saratoga Township","General Purpose","265"
"IL","Salt Creek Township","General Purpose","214"
"IL","Rountree Township","General Purpose","227"
"IL","Rock Island Township","General Purpose","17395"
"IL","Rose Township","General Purpose","1814"
"IL","Rural Township","General Purpose","332"
"IL","Rock Grove Township","General Purpose","1327"
"IL","Rock Run Township","General Purpose","2135"
"IL","Sand Prairie Township","General Purpose","1389"
"IL","Ross Township","General Purpose","1536"
"IL","Skokie","General Purpose","63978"
"SC","Myrtle Beach","General Purpose","32795"
"IL","Seneca","General Purpose","2268"
"IL","Sherman","General Purpose","4701"
"SC","Edisto Beach","General Purpose","406"
"IL","South Holland","General Purpose","21732"
"IL","Sherrard","General Purpose","598"
"SC","Winnsboro","General Purpose","3237"
"SC","Johnsonville","General Purpose","1492"
"SC","Scotia","General Purpose","201"
"IL","Shabbona","General Purpose","920"
"IL","Shiloh","General Purpose","13090"
"IL","Sheffield","General Purpose","882"
"IL","Southern View","General Purpose","1599"
"IL","Spillertown","General Purpose","199"
"IL","Sheridan","General Purpose","2712"
"IL","Shorewood","General Purpose","17249"
"IL","Sleepy Hollow","General Purpose","3313"
"IL","Somonauk","General Purpose","1881"
"IL","Selby Township","General Purpose","2391"
"IL","Somer Township","General Purpose","1115"
"IL","Seven Hickory Township","General Purpose","279"
"IL","Southwest Township","General Purpose","92"
"IL","Shabbona Township","General Purpose","1446"
"IL","South Grove Township","General Purpose","509"
"IL","South Hurricane Township","General Purpose","300"
"IL","South Twigg Township","General Purpose","128"
"IL","South Muddy Township","General Purpose","336"
"IL","Spring Garden Township","General Purpose","3301"
"IL","Sparta Township","General Purpose","1109"
"IL","Sheridan Township","General Purpose","459"
"IL","Seneca Township","General Purpose","2913"
"IL","Shaws Point Township","General Purpose","509"
"IL","South Otter Township","General Purpose","444"
"IL","South Fillmore Township","General Purpose","231"
"IL","South Litchfield Township","General Purpose","3260"
"IL","Spring Creek Township","General Purpose","571"
"IL","Senachwine Township","General Purpose","727"
"IL","Shiloh Valley Township","General Purpose","11720"
"IL","Smithton Township","General Purpose","4263"
"IL","Shelbyville Township","General Purpose","4591"
"IL","Sigel Township","General Purpose","800"
"IL","Spring Grove Township","General Purpose","990"
"IL","Stonefort","General Purpose","288"
"IL","Summit","General Purpose","11278"
"IL","Streamwood","General Purpose","39978"
"MN","Houston","General Purpose","960"
"IL","Stonington","General Purpose","868"
"IL","Steger","General Purpose","9411"
"IL","Tamalco Township","General Purpose","536"
"IL","Franklin Park","General Purpose","18012"
"IL","Steeleville","General Purpose","1955"
"IL","Swansea","General Purpose","13518"
"IL","Third Lake","General Purpose","1171"
"IL","St. Anne","General Purpose","1193"
"IL","St. Joseph","General Purpose","3959"
"IL","Stanford","General Purpose","586"
"IL","Stockton","General Purpose","1746"
"IL","Spring Township","General Purpose","874"
"IL","Stonington Township","General Purpose","1059"
"IL","Stanford Township","General Purpose","573"
"IL","Sugar Creek Township","General Purpose","6255"
"IL","Sumpter Township","General Purpose","1952"
"IL","Squaw Grove Township","General Purpose","2779"
"IL","Texas Township","General Purpose","1209"
"IL","Symmes Township","General Purpose","1074"
"IL","Stockton Township","General Purpose","2309"
"IL","Thompson Township","General Purpose","810"
"IL","St. Anne Township","General Purpose","2088"
"IL","Sublette Township","General Purpose","737"
"IL","St. Jacob Township","General Purpose","2699"
"IL","Stevenson Township","General Purpose","1252"
"IL","Steuben Township","General Purpose","1109"
"IL","Sullivan Township","General Purpose","6287"
"IL","Spring Lake Township","General Purpose","1842"
"IL","Swan Township","General Purpose","260"
"IL","Walnut Township","General Purpose","1655"
"IL","Urbana Township","General Purpose","7243"
"IL","Warren","General Purpose","1332"
"IL","Victor Township","General Purpose","296"
"IL","Vermont Township","General Purpose","939"
"IL","Wade Township","General Purpose","4420"
"IL","Virgil Township","General Purpose","1966"
"IL","Truro Township","General Purpose","807"
"IL","Victoria Township","General Purpose","359"
"IL","Troy Grove Township","General Purpose","1293"
"IL","Vernon Hills","General Purpose","26253"
"IL","Ursa","General Purpose","610"
"IL","Warrensburg","General Purpose","1142"
"IL","Timberlane","General Purpose","943"
"IL","Villa Park","General Purpose","21836"
"IL","Tremont","General Purpose","2141"
"IL","Wadsworth","General Purpose","3707"
"IL","Thornton","General Purpose","2448"
"IL","Utica Township","General Purpose","2018"
"IL","Wallace Township","General Purpose","474"
"IL","Waltham Township","General Purpose","429"
"IL","Viola Township","General Purpose","334"
"IL","Union Township","General Purpose","228"
"IL","Waldo Township","General Purpose","242"
"IL","Walnut Grove Township","General Purpose","441"
"IL","Towanda Township","General Purpose","1214"
"IL","Venice Township","General Purpose","5591"
"IL","Tonti Township","General Purpose","979"
"IL","Trivoli Township","General Purpose","1007"
"IL","Todds Point Township","General Purpose","419"
"IL","Tower Hill Township","General Purpose","1187"
"IL","Waddams Township","General Purpose","766"
"IL","Tremont Township","General Purpose","2550"
"IL","Tompkins Township","General Purpose","886"
"IL","Venedy Township","General Purpose","389"
"SC","North","General Purpose","725"
"SC","Sumter","General Purpose","39982"
"SC","Woodruff","General Purpose","4232"
"IL","Wilmette","General Purpose","27418"
"IL","Winthrop Harbor","General Purpose","6745"
"SD","Beadle County","General Purpose","18157"
"SC","West Columbia","General Purpose","17265"
"SC","Forest Acres","General Purpose","10380"
"IL","Woodridge","General Purpose","33598"
"IL","Wheatfield Township","General Purpose","481"
"IL","Woodbury Township","General Purpose","598"
"IL","Waynesville Township","General Purpose","692"
"IL","Woodland Township","General Purpose","401"
"IL","Woodville Township","General Purpose","225"
"IL","Wauponsee Township","General Purpose","2361"
"IL","Willow Hill Township","General Purpose","629"
"IL","West Galena Township","General Purpose","3135"
"IL","Woodbine Township","General Purpose","561"
"IL","West Lincoln Township","General Purpose","7379"
"IL","Western Mound Township","General Purpose","261"
"IL","Winnebago","General Purpose","2989"
"IL","West Dundee","General Purpose","7352"
"IL","Washburn","General Purpose","1098"
"IL","Wauconda","General Purpose","13737"
"IL","Willow Springs","General Purpose","5643"
"IL","Woodson","General Purpose","490"
"IL","Wheeling","General Purpose","38562"
"IL","Westfield","General Purpose","571"
"IL","Wayne","General Purpose","1021"
"IL","Whitefield Township","General Purpose","282"
"IL","Witt Township","General Purpose","1104"
"IL","White Rock Township","General Purpose","704"
"IL","Woosung Township","General Purpose","372"
"IL","Williams Township","General Purpose","3539"
"IL","Windsor Township","General Purpose","1436"
"IL","Winslow Township","General Purpose","599"
"IL","Wesley Township","General Purpose","2215"
"IL","Wilmington Township","General Purpose","6156"
"IL","Winnebago Township","General Purpose","5111"
"KY","Winchester","General Purpose","18486"
"IL","Wysox Township","General Purpose","1284"
"IL","Orion Township","General Purpose","1159"
"IN","Boone County","General Purpose","65875"
"IN","Decatur County","General Purpose","26737"
"IN","Washington County","General Purpose","27827"
"IN","Ferdinand","General Purpose","2205"
"IN","Westfield","General Purpose","39493"
"IN","Rensselaer","General Purpose","5878"
"IN","Bicknell","General Purpose","2868"
"IN","Stinesville","General Purpose","217"
"IN","Waynetown","General Purpose","959"
"IN","Roachdale","General Purpose","895"
"KS","Coffeyville","General Purpose","9481"
"MA","Shelburne","General Purpose","1848"
"KS","Stanton County","General Purpose","2060"
"KS","Bogue","General Purpose","136"
"IN","White County","General Purpose","24182"
"KS","Liberal","General Purpose","19826"
"KY","Pineville","General Purpose","1734"
"MA","Hudson","General Purpose","19944"
"KS","Dickinson County","General Purpose","18902"
"MA","Hamilton","General Purpose","8051"
"MA","Buckland","General Purpose","1874"
"MA","Erving","General Purpose","1767"
"KY","Newport","General Purpose","15033"
"IN","Vigo County","General Purpose","107516"
"IL","Worden","General Purpose","1030"
"KS","Lenexa","General Purpose","53553"
"KS","Leavenworth County","General Purpose","81095"
"LA","Harahan","General Purpose","9406"
"LA","Rayne","General Purpose","8153"
"MA","Ayer","General Purpose","8145"
"MI","Baraga","General Purpose","1980"
"MA","Warren","General Purpose","5218"
"MI","Amber Township","General Purpose","2583"
"MI","Argyle Township","General Purpose","717"
"MI","Addison","General Purpose","588"
"IL","Waterford Township","General Purpose","182"
"ME","Limestone","General Purpose","2190"
"MI","Bear Lake","General Purpose","280"
"MI","Bellaire","General Purpose","1067"
"ME","Knox","General Purpose","801"
"MD","Lonaconing","General Purpose","1128"
"MD","Galena","General Purpose","581"
"MD","Queenstown","General Purpose","676"
"MD","Berlin","General Purpose","4638"
"MI","Allen","General Purpose","186"
"MI","Alpha","General Purpose","135"
"MI","Applegate","General Purpose","231"
"SD","Fall River County","General Purpose","6687"
"ME","Brownville","General Purpose","1187"
"ME","Berwick","General Purpose","7676"
"ME","Bucksport","General Purpose","4915"
"MI","Armada (Macomb County)","General Purpose","1733"
"MI","Bancroft","General Purpose","500"
"MI","Barry County","General Purpose","60586"
"MI","Barton Hills","General Purpose","302"
"MI","Athens","General Purpose","1000"
"IL","Young Hickory Township","General Purpose","597"
"IN","New Chicago","General Purpose","1959"
"MI","Benzonia (Benzie County)","General Purpose","503"
"MI","Bethel Township","General Purpose","1421"
"MI","Bismarck Township","General Purpose","370"
"MI","Bohemia Township","General Purpose","71"
"IN","Liberty Township","General Purpose","2188"
"MI","Breckenridge","General Purpose","1279"
"MI","Bloomingdale","General Purpose","441"
"MI","Camden","General Purpose","508"
"MI","Carney","General Purpose","185"
"MI","Beverly Hills","General Purpose","10425"
"MI","Breedsville","General Purpose","192"
"MI","Beulah","General Purpose","341"
"MI","Berrien County","General Purpose","154259"
"MI","Britton","General Purpose","567"
"MI","Berrien Springs","General Purpose","1743"
"MI","Brooklyn","General Purpose","1188"
"MI","Capac","General Purpose","1838"
"MI","Carleton","General Purpose","2363"
"MI","Bethany Township","General Purpose","1359"
"MI","Brown City","General Purpose","1248"
"MS","Moss Point","General Purpose","13398"
"MO","Lake Ozark","General Purpose","1792"
"SD","Kingsbury County","General Purpose","4952"
"MI","Byron","General Purpose","557"
"MI","Port Sanilac","General Purpose","584"
"LA","Clayton","General Purpose","672"
"ME","Hancock","General Purpose","2394"
"UT","Provo","General Purpose","117335"
"VA","Clarke County","General Purpose","14508"
"VA","Campbell County","General Purpose","55010"
"VA","Dinwiddie County","General Purpose","28208"
"UT","Ogden City","General Purpose","87031"
"VA","Charles City County","General Purpose","7004"
"VA","Charlotte County","General Purpose","12119"
"VA","Giles County","General Purpose","16837"
"VA","Buckingham County","General Purpose","17065"
"MI","Carsonville","General Purpose","496"
"NJ","Atlantic","General Purpose","38429"
"MI","Buckley","General Purpose","714"
"VA","Highland County","General Purpose","2212"
"VA","Onancock","General Purpose","1223"
"VA","Berryville","General Purpose","4338"
"IL","North Fork Township","General Purpose","372"
"IL","Omaha Township","General Purpose","450"
"IL","Ridgway Township","General Purpose","847"
"VA","Northumberland County","General Purpose","12275"
"IL","Shawnee Township","General Purpose","211"
"VA","Patrick County","General Purpose","17665"
"VA","Nottoway County","General Purpose","15434"
"VA","Prince George County","General Purpose","37809"
"VA","Prince William County","General Purpose","463023"
"VA","Scott County","General Purpose","21865"
"VA","Shenandoah County","General Purpose","2323"
"VA","Rockingham County","General Purpose","80227"
"VA","Mathews County","General Purpose","8779"
"VA","Buchanan County","General Purpose","1169"
"VA","Madison County","General Purpose","242"
"VA","Middlesex County","General Purpose","10679"
"VA","Washington County","General Purpose","127"
"VA","Smyth County","General Purpose","30656"
"IL","Walkerville Township","General Purpose","222"
"IL","White Hall Township","General Purpose","2866"
"SD","Minnehaha County","General Purpose","188616"
"IL","Wrights Township","General Purpose","296"
"IL","Erienna Township","General Purpose","2451"
"OH","Fort Recovery","General Purpose","1435"
"IL","Mazon Township","General Purpose","1434"
"SD","Nisland","General Purpose","224"
"SD","Brookings","General Purpose","23938"
"IL","Crook Township","General Purpose","303"
"IL","Crouch Township","General Purpose","363"
"IL","Flannigan Township","General Purpose","297"
"SD","Kranzburg","General Purpose","175"
"IL","Mcleansboro Township","General Purpose","3703"
"IL","Mayberry Township","General Purpose","473"
"IL","South Crouch Township","General Purpose","252"
"KS","Sawyer","General Purpose","129"
"IL","Dahlgren Township","General Purpose","1181"
"IL","Twigg Township","General Purpose","561"
"IL","Appanoose Township","General Purpose","410"
"IL","Augusta Township","General Purpose","752"
"IL","Chili Township","General Purpose","619"
"IL","Dallas Township","General Purpose","940"
"AR","Dell","General Purpose","196"
"IL","Durham Township","General Purpose","261"
"IL","South Flannigan Township","General Purpose","113"
"IL","Fountain Green Township","General Purpose","272"
"LA","Clinton","General Purpose","1531"
