"abbreviation","name","category","population"
"TX","Missouri City","General Purpose",74497
"TX","Odessa","General Purpose",116861
"TX","Fairview","General Purpose",8950
"TX","Frisco","General Purpose",177286
"TX","Weslaco","General Purpose",40358
"UT","Harrisville","General Purpose",6535
"UT","Bluffdale","General Purpose",13484
"UT","Washington County","General Purpose",165662
"UT","Washington Terrace","General Purpose",9152
"TX","Wimberley","General Purpose",3019
"TX","Williamson County","General Purpose",547545
"VA","Dumfries","General Purpose",5230
"UT","South Jordan","General Purpose",70954
"SD","Aberdeen","General Purpose",28388
"WI","Antigo","General Purpose",1375
"OH","Seneca County","General Purpose",55243
"VT","Milton","General Purpose",10940
"TX","Washington County","General Purpose",35043
"TX","Montague County","General Purpose",19539
"AR","Pine Bluff","General Purpose",42984
"NJ","Mahwah Township","General Purpose",26759
"UT","Woodland Hills","General Purpose",1548
"VA","Fairfax","General Purpose",24097
"WI","Muscoda","General Purpose",780
"WI","Plover","General Purpose",1628
"WI","Forest County","General Purpose",8970
"VA","King William County","General Purpose",16708
"WI","Jefferson County","General Purpose",84832
"WI","Brookfield","General Purpose",6272
"VA","Manassas Park","General Purpose",16591
"WY","Uinta County","General Purpose",20495
"WI","Hayward","General Purpose",3517
"NY","Portland","General Purpose",4727
"WY","Natrona County","General Purpose",79547
"WI","Superior","General Purpose",2204
"WV","Middlebourne","General Purpose",766
"WY","Albany County","General Purpose",38332
"WI","Walworth County","General Purpose",103082
"OK","Watonga","General Purpose",2871
"PA","Meadville","General Purpose",12973
"OK","Grant County","General Purpose",4395
"PA","East Hempfield Township","General Purpose",24548
"UT","Alta","General Purpose",385
"WV","Morgantown","General Purpose",30547
"WV","Putnam County","General Purpose",56792
"MN","Fountain Prairie Township","General Purpose",184
"TN","Lookout Mountain","General Purpose",1872
"MN","Godfrey Township","General Purpose",319
"OK","South Coffeyville","General Purpose",752
"KS","Fort Scott","General Purpose",7813
"IL","Burlington","General Purpose",633
"IL","Lake Villa","General Purpose",8716
"NJ","Lakehurst Borough","General Purpose",2697
"MI","Barton Township","General Purpose",789
"GA","Cumming","General Purpose",6284
"MI","Batavia Township","General Purpose",1316
"MI","Bearinger Township","General Purpose",354
"IL","Godfrey","General Purpose",17650
"WI","Holland","General Purpose",2250
"MI","Beaugrand Township","General Purpose",1134
"GA","Mount Zion","General Purpose",1798
"OK","Okmulgee","General Purpose",11998
"TX","Bellaire","General Purpose",18797
"VA","Waynesboro","General Purpose",22327
"MI","Beaver Creek Township","General Purpose",1711
"MI","Belknap Township","General Purpose",719
"MI","Kinderhook Township","General Purpose",1480
"MI","Bentley Township","General Purpose",831
"IN","Grandview","General Purpose",713
"MI","Bessemer (Gogebic County)","General Purpose",1761
"IL","Brookfield","General Purpose",18694
"MN","Jadis Township","General Purpose",566
"AK","Anchorage","General Purpose",294356
"MN","Angora Township","General Purpose",250
"AK","Bristol Bay Borough","General Purpose",867
"GA","Sugar Hill","General Purpose",23180
"WI","Hillsboro","General Purpose",834
"IL","East Galena Township","General Purpose",1234
"IL","East Fork Township","General Purpose",2455
"IN","Newport","General Purpose",490
"MI","Irving Township","General Purpose",3345
"MI","Mastodon Township","General Purpose",616
"MI","Marathon Township","General Purpose",4514
"MI","Lamotte Township","General Purpose",866
"MI","Lilley Township","General Purpose",795
"MI","Leoni Township","General Purpose",13695
"MI","Leroy Township","General Purpose",1196
"MI","Manlius Township","General Purpose",3164
