state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
OR,Prairie City SD 4,prairie city sch dist 4,prairie 4,4110110,38501201300000,170.00000,NA
OR,Port Orford-Langlois SD 2CJ,pt orford langlois sch dist 2j,port orford langlois,4110020,38500801000000,229.00000,port orford-langlois school district no. 2-cj
OR,Reynolds SD 7,reynolds school dist 7,reynolds 7,4110520,38502601400000,11071.00000,NA
OR,Riddle SD 70,riddle sch dist 70,riddle 70,4110530,38501001900000,398.00000,NA
OR,Riverdale SD 51J,riverdale sch dist 51j,riverdale 51,4110560,38502602100000,648.00000,riverdale school district no. 51 j
OR,Rogue River SD 35,rogue river sch dist 35,rogue river 35,4110680,38501502000000,1102.00000,NA
OR,Scio SD 95,scio school dist 95,scio,4111040,38502205000000,863.00000,scio school district
OR,Seaside SD 10,seaside sch dist 10,seaside,4111100,38500401100000,1622.00000,seaside school district
OR,Sherman County SD,sherman county school dist,sherman,4111250,38502850100000,267.00000,sherman county school district
OR,Silver Falls SD 4J,silver falls school district 4j,silver falls,4111450,38502430100000,3984.00000,silver falls school district
OR,Siuslaw SD 97J,siuslaw sch dist 97j,siuslaw 97,4105100,38502002100000,1355.00000,siuslaw school district no. 97-j
OR,South Umpqua SD 19,south umpqua sch dist 19,south umpqua 19,4111610,38501070200000,1521.00000,NA
OR,South Wasco County SD 1,south wasco county schl dist 1,south wasco 1,4100021,38503330100000,226.00000,south wasco county school district no. 1
OR,Spray SD 1,spray sch dist 1,spray 1,4111640,38503500500000,64.00000,NA
OR,St Helens SD 502,st helens sch dist 502,st helens 502,4111720,38500501900000,2835.00000,NA
OR,Suntex SD 10,suntex sch dist 10,suntex,4111910,38501301800000,4.00000,NA
OR,Three Rivers/Josephine County SD,three rivers/josephine co sch dist,three rivers/josephine,4106900,38501700200000,4815.00000,NA
OR,Tigard-Tualatin SD 23J,tigard sch dist 23j,tigard tualatin 23,4112240,38503404500000,12625.00000,tigard-tualatin school district 23j
OR,Troy SD 54,troy sch dist 54,troy 54,4112360,38503201700000,3.00000,NA
OR,Ukiah SD 80R,ukiah sch dist 80,ukiah0r,4112540,38503002200000,29.00000,NA
OR,Vernonia SD 47J,vernonia sch dist 47 j,vernonia 47,4112930,38500502400000,581.00000,vernonia school district no. 47
OR,West Linn-Wilsonville SD 3J,west linn-wilsonville sch dist 3j,west linn wilsonville 3,4113170,38500305200000,9808.00000,west linn-wilsonville school district no. 3jt
OR,Yamhill Carlton SD 1,yamhill-carlton school dist #1,yamhill carlton 1,4100016,38503603000000,1048.00000,NA
OR,Yoncalla SD 32,yoncalla sch dist 32,yoncalla 32,4113650,38501002600000,265.00000,NA
OR,Chemawa Indian School,NA,chemawa indian school,5900164,NA,337.00000,NA
