state,acfrs_original_name,nces_original_name,gov_unit_original_name,name,ncesid,censusid,county_nces,city_nces,student
MN, Wayzata Public Schools Independent School District No. 284 ,WAYZATA PUBLIC SCHOOL DISTRICT,wayzata sch dist 284,wayzata 284,2742160,24502704600000,Hennepin County,WAYZATA,12207.00000
MN, Willmar Independent School District 347 ,WILLMAR PUBLIC SCHOOL DISTRICT,willmar ind sch dist 347,willmar 347,2742720,24503407400000,Kandiyohi County,WILLMAR,4491.00000
MO, Belton School District 124 ,BELTON 124,belton sch dist 124,belton 124,2904620,26501900400000,Cass County,BELTON,4680.00000
MO, Cameron R-1 School District ,CAMERON R-I,cameron sch dist r 1,cameron r 1,2907020,26502500100000,Clinton County,CAMERON,1742.00000
MO, Center School District 58 ,CENTER 58,center sch dist 58,center 58,2908250,26504800400000,Jackson County,KANSAS CITY,2644.00000
MO, Charleston R-1 School District ,CHARLESTON R-I,charleston sch dist r-1,charleston r 1,2908670,26506700900000,Mississippi County,CHARLESTON,880.00000
MO, Clarkton C-4 School District ,CLARKTON C-4,clarkton sch dist c-4,clarkton c 4,2909120,26503501000000,Dunklin County,CLARKTON,357.00000
MO, Farmington R-7 School District ,FARMINGTON R-VII,farmington sch dist r-7,farmington r 7,2911910,26509401600000,St. Francois County,FARMINGTON,4072.00000
MO, Fort Osage R-1 School District ,FORT OSAGE R-I,fort osage sch dist r 1,fort osage r 1,2912290,26504800300000,Jackson County,INDEPENDENCE,5042.00000
MO, Fox C-6 School District ,FOX C-6,fox cons sch dist c 6,fox c 6,2912300,26505000300000,Jefferson County,ARNOLD,11326.00000
MO, Hancock Place School District ,HANCOCK PLACE,hancock place sch dist,hancock place,2913620,26509500800000,St. Louis County,ST LOUIS,1488.00000
MO, Hannibal School District No. 60 ,HANNIBAL 60,hannibal sch dist 60,hannibal 60,2913650,26506401300000,Marion County,HANNIBAL,3621.00000
MO, Harrisonville Cass R-Ix School District ,HARRISONVILLE R-IX,harrisonville cass r-ix,harrisonville cass r ix,2913760,26501903700000,Cass County,HARRISONVILLE,2395.00000
MO, Independence 30 School District ,INDEPENDENCE 30,independence sch dist 30,independence 30,2915480,26504801000000,Jackson County,INDEPENDENCE,14711.00000
MO, Jefferson City School District ,JEFFERSON CITY,jefferson city sch dist,jefferson,2916190,26502600600000,Cole County,JEFFERSON CITY,8998.00000
MO, Kansas City Public Schools ,KANSAS CITY 33,kansas city public schools,kansas city,2916400,26504801100000,Jackson County,KANSAS CITY,15147.00000
MO, Kennett School District No. 39 ,KENNETT 39,kennett sch dist 39,kennett 39,2916500,26503501400000,Dunklin County,KENNETT,1941.00000
MO, Kirksville R-III School District ,KIRKSVILLE R-III,kirksville r-iii school district,kirksville r iii,2916740,26500102400000,Adair County,KIRKSVILLE,2559.00000
MO, Liberty Public School District No. 53 ,LIBERTY 53,liberty sch dist 53,liberty 53,2918540,26502401600000,Clay County,LIBERTY,12583.00000
MO, Logan-Rogersville R-VIII School District ,LOGAN-ROGERSVILLE R-VIII,logan-rogersville r-viii school district,logan rogersville r viii,2919170,26503900600000,Webster County,ROGERSVILLE,2340.00000
MO, Lonedell R-14 School District ,LONEDELL R-14,lonedell  r-14 sch dist,lonedell r 14,2919200,26503601700000,Franklin County,LONEDELL,303.00000
MO, Malden R-1 School District ,MALDEN R-I,malden sch dist r 1,malden r 1,2919890,26503501500000,Dunklin County,MALDEN,968.00000
MO, Marshfield R-1 School District ,MARSHFIELD R-I,marshfield sch dist r 1,marshfield r 1,2920430,26511303700000,Webster County,MARSHFIELD,3072.00000
MO, Mexico School District No. 59 ,MEXICO 59,mexico sch dist 59,mexico 59,2920810,26500401900000,Audrain County,MEXICO,2486.00000
MO, Milan C-2 School District ,MILAN C-2,milan sch dist c 2,milan c 2,2920940,26510600400000,Sullivan County,MILAN,649.00000
MO, Neosho R-5 School District ,NEOSHO SCHOOL DISTRICT,neosho sch dist r-5,neosho r 5,2921810,26507302200000,Newton County,NEOSHO,4727.00000
MO, Normandy Schools Collaborative ,NORMANDY SCHOOLS COLLABORATIVE,normandy schools collaborative,normandy schools collaborative,2922650,26509501700000,St. Louis County,ST LOUIS,3096.00000
MO, North Callaway R-1 School District ,NORTH CALLAWAY CO. R-I,north callaway sch dist r-1,north callaway r 1,2922740,26501407200000,Callaway County,KINGDOM CITY,1067.00000
MO, Northwest R-1 School District ,NORTHWEST R-I,northwest sch dist r-1,northwest r 1,2922890,26505000700000,Jefferson County,House Springs,6216.00000
MO, Palmyra R-1 School District ,PALMYRA R-I,palmyra sch dist r 1,palmyra r 1,2923490,26506402200000,Marion County,PALMYRA,1123.00000
MO, Park Hill School District ,PARK HILL,park hill school district,park hill,2923550,26508300300000,Platte County,KANSAS CITY,12138.00000
MO, Parkway C-2 School District ,PARKWAY C-2,parkway sch dist c-2,parkway c 2,2923580,26509501800000,St. Louis County,CHESTERFIELD,17864.00000
MO, Pattonville R-3 School District ,PATTONVILLE R-III,pattonville sch dist r 3,pattonville r 3,2923700,26509501900000,St. Louis County,ST ANN,6213.00000
MO, Perry County School District No. 32 ,PERRY CO. 32,perry county school district 32,perry 32,2924530,26507903700000,Perry County,PERRYVILLE,2203.00000
MO, Raytown C-2 School District ,RAYTOWN C-2,raytown sch dist c-2,raytown c 2,2926070,26504801700000,Jackson County,RAYTOWN,8552.00000
MO, Ritenour School District ,RITENOUR,ritenour sch dist,ritenour,2926640,26509502000000,St. Louis County,ST LOUIS,6544.00000
MO, Rolla School District No. 31 ,ROLLA 31,rolla sch dist 31,rolla 31,2926890,26508106000000,Phelps County,ROLLA,4189.00000
MO, Scott City R-1 School District ,SCOTT CITY R-I,scott city school district r 1,scott city r 1,2915450,26510100200000,Scott County,SCOTT CITY,847.00000
MO, Sedalia School District 200 ,SEDALIA 200,sedalia sch dist 200,sedalia 200,2927830,26508002400000,Pettis County,SEDALIA,5141.00000
MO, Senath-Hornersville School District No.C-8 ,SENATH-HORNERSVILLE C-8,senath -hornersville sch dist c 8,senath hornersville c 8,2927870,26503501700000,Dunklin County,SENATH,756.00000
MO, Sikeston R-6 School District ,SIKESTON R-6,sikeston sch dist r 6,sikeston r 6,2928260,26510100700000,Scott County,SIKESTON,3438.00000
MO, Sullivan C-2 School District ,SULLIVAN,sullivan sch dist c 2,sullivan c 2,2929760,26503603300000,Franklin County,SULLIVAN,2140.00000
MO, Windsor C-1 School District ,WINDSOR C-1,windsor sch dist c 1,windsor c 1,2932100,26505001400000,Jefferson County,IMPERIAL,3040.00000
MS, Aberdeen School District ,ABERDEEN SCHOOL DIST,aberdeen school district,aberdeen,2800360,25504800200000,Monroe County,Aberdeen,1114.00000
MS, Alcorn School District ,ALCORN SCHOOL DIST,alcorn county school district,alcorn,2800390,25500250100000,Alcorn County,Corinth,3203.00000
MS, Amite County School District ,AMITE COUNTY SCHOOL DISTRICT,amite county school district,amite,2800420,25500350100000,Amite County,Liberty,929.00000
MS, Bay St. Louis-Waveland School District ,BAY ST LOUIS WAVELAND SCHOOL DIST,bay st louis-waveland sch dist,bay st louis waveland,2800570,25502300100000,Hancock County,Bay St. Louis,1767.00000
MS, Benton County School District ,BENTON CO SCHOOL DIST,benton county school district,benton,2800600,25500550100000,Benton County,Ashland,1019.00000
MS, Booneville School District ,BOONEVILLE SCHOOL DIST,booneville school district,booneville,2800820,25505960100000,Prentiss County,Booneville,1290.00000
MS, Calhoun County School District ,CALHOUN CO SCHOOL DIST,calhoun county school district,calhoun,2800870,25500750100000,Calhoun County,PITTSBORO,2381.00000
MS, Claiborne County School District ,CLAIBORNE CO SCHOOL DIST,claiborne county school district,claiborne,2801020,25501150100000,Claiborne County,PORT GIBSON,1374.00000
MS, Coffeeville School District ,COFFEEVILLE SCHOOL DIST,coffeeville cons sch dist,coffeeville,2801140,25508150100000,Yalobusha County,Coffeeville,464.00000
MS, East Jasper School District ,EAST JASPER CONSOLIDATED SCH DIST,east jasper cons sch dist,east jasper,2801380,25503150100000,Jasper County,Heidelberg,847.00000
MS, Enterprise School District ,ENTERPRISE SCHOOL DIST,enterprise cons sch dist,enterprise,2801440,25501250100000,Clarke County,Enterprise,937.00000
MS, Forrest County School District ,FORREST COUNTY SCHOOL DISTRICT,forrest county school district,forrest,2801490,25501850100000,Forrest County,Hattiesburg,2226.00000
MS, Greene County School District ,GREENE COUNTY SCHOOL DISTRICT,greene county school district,greene,2801590,25502150100000,Greene County,Leakesville,1755.00000
MS, Gulfport School District ,GULFPORT SCHOOL DIST,gulfport school district,gulfport,2801710,25502400300000,Harrison County,Gulfport,6576.00000
MS, Harrison County School District ,HARRISON CO SCHOOL DIST,harrison county school district,harrison,2801770,25502450100000,Harrison County,Gulfport,14780.00000
MS, Jefferson County School District ,JEFFERSON CO SCHOOL DIST,jefferson county school district,jefferson,2802220,25503250100000,Jefferson County,FAYETTE,1102.00000
MS, Jefferson Davis County School District ,JEFFERSON DAVIS CO SCHOOL DIST,jefferson davis county school district,jefferson davis,2802250,25503350100000,Jefferson Davis County,PRENTISS,1362.00000
MS, Jones County School District ,JONES CO SCHOOL DIST,jones county school district,jones,2802280,25503450100000,Jones County,Ellisville,8837.00000
MS, Lafayette County School District ,LAFAYETTE CO SCHOOL DIST,lafayette county school district,lafayette,2802370,25503650100000,Lafayette County,Oxford,2912.00000
MS, Lamar County School District ,LAMAR COUNTY SCHOOL DISTRICT,lamar county school district,lamar,2802400,25503750100000,Lamar County,Purvis,10718.00000
MS, Lawrence County School District ,LAWRENCE CO SCHOOL DIST,lawrence county school district,lawrence,2802490,25503950100000,Lawrence County,MONTICELLO,2027.00000
