"","id","county","state.name","population","state.abb"
"1175","0500000US30075","Powder River County","Montana",1694,"MT"
"1176","1600000US4284240","Westwood CDP (Cambria County)","Pennsylvania",1692,"PA"
"1177","0500000US20033","Comanche County","Kansas",1689,"KS"
"1178","0500000US46073","Jerauld County","South Dakota",1663,"SD"
"1179","0500000US30019","Daniels County","Montana",1661,"MT"
"1180","1600000US0631099","Green Valley CDP (Solano County)","California",1654,"CA"
"1181","1600000US3647554","Milton CDP (Ulster County)","New York",1650,"NY"
"1182","1600000US4840744","Lakeside town (Tarrant County)","Texas",1649,"TX"
"1183","1600000US4279680","Valley View CDP (Schuylkill County)","Pennsylvania",1595,"PA"
"1184","1600000US5312820","Clear Lake CDP (Pierce County)","Washington",1578,"WA"
"1185","0500000US20101","Lane County","Kansas",1574,"KS"
"1186","1600000US1245475","Midway CDP (Seminole County)","Florida",1524,"FL"
"1187","0500000US20199","Wallace County","Kansas",1512,"KS"
"1188","1600000US4255996","Oakland CDP (Cambria County)","Pennsylvania",1481,"PA"
"1189","1600000US4227656","Fredericksburg CDP (Lebanon County)","Pennsylvania",1448,"PA"
"1190","0500000US08061","Kiowa County","Colorado",1446,"CO"
"1191","0500000US46119","Sully County","South Dakota",1446,"SD"
"1192","0500000US48447","Throckmorton County","Texas",1440,"TX"
"1193","0500000US49031","Piute County","Utah",1438,"UT"
"1194","1600000US4256000","Oakland CDP (Lawrence County)","Pennsylvania",1437,"PA"
"1195","0500000US48045","Briscoe County","Texas",1435,"TX"
"1196","1600000US3467583","Silver Lake CDP (Cumberland County)","New Jersey",1435,"NJ"
"1197","0500000US48137","Edwards County","Texas",1422,"TX"
"1198","0500000US30011","Carter County","Montana",1415,"MT"
"1199","0500000US48101","Cottle County","Texas",1380,"TX"
"1200","0500000US08057","Jackson County","Colorado",1379,"CO"
"1201","0500000US46021","Campbell County","South Dakota",1377,"SD"
"1202","1600000US4247736","Marshallton CDP (Northumberland County)","Pennsylvania",1348,"PA"
"1203","0500000US28055","Issaquena County","Mississippi",1338,"MS"
"1204","0500000US46063","Harding County","South Dakota",1311,"SD"
"1205","0500000US20071","Greeley County","Kansas",1284,"KS"
"1206","0500000US38083","Sheridan County","North Dakota",1265,"ND"
"1207","0500000US46069","Hyde County","South Dakota",1262,"SD"
"1208","0500000US48433","Stonewall County","Texas",1245,"TX"
"1209","1600000US5312840","Clear Lake CDP (Skagit County)","Washington",1228,"WA"
"1210","0500000US06003","Alpine County","California",1204,"CA"
"1211","0500000US30033","Garfield County","Montana",1173,"MT"
"1212","0500000US48173","Glasscock County","Texas",1116,"TX"
"1213","0500000US48155","Foard County","Texas",1095,"TX"
"1214","0500000US30079","Prairie County","Montana",1088,"MT"
"1215","0500000US16025","Camas County","Idaho",1077,"ID"
"1216","0500000US48345","Motley County","Texas",1063,"TX"
"1217","1600000US4228828","Georgetown CDP (Lancaster County)","Pennsylvania",1058,"PA"
"1218","1600000US0631092","Green Valley CDP (Los Angeles County)","California",1036,"CA"
"1219","1600000US4284248","Westwood CDP (Chester County)","Pennsylvania",1003,"PA"
"1220","1600000US3566330","San Antonito CDP (Bernalillo County)","New Mexico",989,"NM"
"1221","1600000US0673690","Spring Valley CDP (Lake County)","California",964,"CA"
"1222","0500000US38007","Billings County","North Dakota",945,"ND"
"1223","0500000US30109","Wibaux County","Montana",937,"MT"
"1224","0500000US46075","Jones County","South Dakota",917,"SD"
"1225","1600000US4777820","Walnut Grove CDP (Sumner County)","Tennessee",911,"TN"
"1226","1600000US3955342","Newport CDP (Washington County)","Ohio",895,"OH"
"1227","0500000US08079","Mineral County","Colorado",865,"CO"
"1228","1600000US4278608","Unionville CDP (Butler County)","Pennsylvania",849,"PA"
"1229","1600000US4261512","Pleasantville borough (Venango County)","Pennsylvania",846,"PA"
"1230","1600000US0639759","Lakeside CDP (Kern County)","California",843,"CA"
"1231","0500000US48393","Roberts County","Texas",827,"TX"
"1232","0500000US30037","Golden Valley County","Montana",823,"MT"
"1233","0500000US16033","Clark County","Idaho",790,"ID"
"1234","0500000US08053","Hinsdale County","Colorado",788,"CO"
"1235","1600000US4853160","Oak Ridge town (Kaufman County)","Texas",771,"TX"
"1236","0500000US30103","Treasure County","Montana",762,"MT"
"1237","0500000US48443","Terrell County","Texas",760,"TX"
"1238","0500000US48263","Kent County","Texas",753,"TX"
"1239","1600000US3538540","La Madera CDP (Sandoval County)","New Mexico",729,"NM"
"1240","1600000US5168885","Rose Hill CDP (Lee County)","Virginia",729,"VA"
"1241","1600000US4227648","Fredericksburg CDP (Crawford County)","Pennsylvania",728,"PA"
"1242","0500000US38087","Slope County","North Dakota",706,"ND"
"1243","0500000US08111","San Juan County","Colorado",705,"CO"
"1244","1600000US3630609","Greenville CDP (Greene County)","New York",688,"NY"
"1245","1600000US3568430","San Jose CDP (Rio Arriba County)","New Mexico",670,"NM"
"1246","1600000US4237944","Jefferson borough (York County)","Pennsylvania",658,"PA"
"1247","0500000US35021","Harding County","New Mexico",657,"NM"
"1248","1600000US3656363","Parishville CDP","New York",642,"NY"
"1249","0500000US48033","Borden County","Texas",631,"TX"
"1250","1600000US4237552","Jacksonville CDP (Indiana County)","Pennsylvania",620,"PA"
"1251","0500000US48311","McMullen County","Texas",600,"TX"
"1252","1600000US4200100","Aaronsburg CDP (Centre County)","Pennsylvania",593,"PA"
"1253","1600000US4278624","Unionville CDP (Chester County)","Pennsylvania",577,"PA"
"1254","1600000US3954684","New Haven CDP (Hamilton County)","Ohio",572,"OH"
"1255","1600000US0614450","Cold Springs CDP (El Dorado County)","California",556,"CA"
"1256","1600000US3957792","Oakwood village (Paulding County)","Ohio",546,"OH"
"1257","1600000US4871264","Sunset CDP (Montague County)","Texas",543,"TX"
"1258","1600000US4066510","Shady Grove CDP (Cherokee County)","Oklahoma",519,"OK"
"1259","1600000US4247728","Marshallton CDP (Chester County)","Pennsylvania",500,"PA"
"1260","0500000US30069","Petroleum County","Montana",496,"MT"
"1261","1600000US0642142","Lockwood CDP (Amador County)","California",495,"CA"
"1262","1600000US3557990","Placitas CDP (Doña Ana County)","New Mexico",488,"NM"
"1263","1600000US4066520","Shady Grove CDP (McIntosh County)","Oklahoma",487,"OK"
"1264","1600000US3536930","La Cueva CDP (Santa Fe County)","New Mexico",473,"NM"
"1265","1600000US3656341","Parish village","New York",447,"NY"
"1266","1600000US2807322","Bogue Chitto CDP (Lincoln County)","Mississippi",437,"MS"
"1267","1600000US3505010","Arroyo Hondo CDP (Taos County)","New Mexico",428,"NM"
"1268","1600000US2028412","Greeley County unified government (balance)","Kansas",410,"KS"
"1269","0500000US31117","McPherson County","Nebraska",399,"NE"
"1270","1600000US0612412","Centerville CDP (Fresno County)","California",378,"CA"
"1271","1600000US0642146","Lockwood CDP (Monterey County)","California",368,"CA"
"1272","1600000US4253344","Newburg borough (Cumberland County)","Pennsylvania",364,"PA"
"1273","1600000US4200104","Aaronsburg CDP (Washington County)","Pennsylvania",361,"PA"
"1274","1600000US4777760","Walnut Grove CDP (Hardin County)","Tennessee",359,"TN"
"1275","1600000US3954698","New Haven CDP (Huron County)","Ohio",356,"OH"
"1276","1600000US4834130","Hilltop CDP (Frio County)","Texas",356,"TX"
"1277","0500000US48261","Kenedy County","Texas",350,"TX"
"1278","1600000US4840738","Lakeside town (San Patricio County)","Texas",338,"TX"
"1279","1600000US3970044","Salem Heights CDP (Columbiana County)","Ohio",336,"OH"
"1280","1600000US3467650","Silver Lake CDP (Warren County)","New Jersey",333,"NJ"
"1281","1600000US3505002","Arroyo Hondo CDP (Santa Fe County)","New Mexico",331,"NM"
"1282","1600000US1277470","Whitfield CDP (Santa Rosa County)","Florida",312,"FL"
"1283","1600000US0117968","County Line town","Alabama",311,"AL"
"1284","1600000US0152320","Mount Olive CDP (Coosa County)","Alabama",311,"AL"
"1285","1600000US4814882","Chula Vista CDP (Zavala County)","Texas",307,"TX"
"1286","1600000US4843462","Loma Linda East CDP (Jim Wells County)","Texas",305,"TX"
"1287","1600000US4220664","Eagleville CDP (Centre County)","Pennsylvania",285,"PA"
"1288","1600000US3579070","Torreon CDP (Sandoval County)","New Mexico",281,"NM"
"1289","1600000US4844110","Los Ebanos CDP (Starr County)","Texas",281,"TX"
"1290","0500000US48269","King County","Texas",265,"TX"
