state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
NJ,South Hackensack School District,south hackensack twp sch dist,south hackensack,3415240,31500205900000,299.00000,NA
NJ,South Harrison Township School District,south harrison twp sch dist,south harrison,3415270,31500801600000,331.00000,NA
NJ,South Hunterdon Regional School District,south hunterdon regional sch dist,south hunterdon regional,3400769,31501050300000,952.00000,NA
NJ,South Orange-Maplewood School District,south orange-maplewood school dist,south orange maplewood,3415330,31500701200000,7353.00000,south orange and maplewood school district board of education
NJ,South Plainfield School District,south plainfield boro school dist,south plainfield,3415360,31501201800000,3400.00000,borough of south plainfield school distrcit
NJ,Southern Regional School District,south regional high sch dist,southern regional,3415480,31501550100000,2905.00000,southern regional school district
NJ,South River Public School District,south river boro sch dist,south river,3415390,31501201900000,2361.00000,south river borough board of education
NJ,Southampton Township School District,southampton twp sch dist,southampton,3415420,31500302900000,704.00000,NA
NJ,Spotswood Public School District,spotswood boro sch dist,spotswood,3415540,31501202000000,1683.00000,NA
NJ,Spring Lake Borough,spring lake boro sch dist,spring lake,3415570,31501304300000,152.00000,NA
NJ,Spring Lake Heights School District,spring lake hght boro sch dist,spring lake heights,3415600,31501304400000,343.00000,NA
NJ,Stanhope School District,stanhope boro sch dist,stanhope,3415720,31501901700000,311.00000,NA
NJ,Sterling Regional School District,sterling high sch dist,sterling regional,3402880,31500450100000,939.00000,NA
NJ,Stillwater Township School District,stillwater twp sch dist,stillwater,3415750,31501901800000,247.00000,NA
NJ,Stone Harbor School District,stone harbor sch dist,stone harbor,3415810,31500500600000,89.00000,NA
NJ,Stow Creek Township School District,stow creek twp sch dist,stow creek,3415840,31500601000000,125.00000,NA
NJ,Stratford School District,stratford boro sch dist,stratford,3415870,31500403200000,895.00000,NA
NJ,Summit Public School District,summit city school district,summit,3415900,31202001230100,4001.00000,NA
NJ,Sussex-Wantage Regional School District,sussex wantage regional school dist,sussex wantage regional,3415960,31501902100000,1049.00000,NA
NJ,Swedesboro-Woolwich School District,swedesboro-woolwich sch dist,swedesboro woolwich,3415990,31500801700000,1583.00000,NA
