state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
IN,Mississinewa Community School Corp,mississinewa community school corporation,mississinewa,1806870,1.55027E+13,2529,NA
IN,Monroe Central School Corp,monroe central school corporation,monroe central,1807080,1.55068E+13,1090,NA
IN,Yorktown Community Schools,mt pleasant township community school corporation,mt pleasant township,1807230,1.55018E+13,2685,NA
IN,School Town of Munster,munster school town,munster school town,1807350,1.55045E+13,4206,NA
IN,Nettle Creek School Corporation,nettle creek consolidated school corporation,nettle creek,1807380,1.5509E+13,1122,NA
IN,New Albany-Floyd Co Con Sch,new albany-floyd county consolidated schools,new albany floyd,1807410,1.55022E+13,11702, new albany-floyd county consolidated school corporation 
IN,New Castle Community School Corp,new castle community school corporation,new castle,1807440,1.55033E+13,3046,NA
IN,MSD OF NEW DURHAM TOWNSHIP,new durham township metropolitan school district,new durham township,1807470,1.55046E+13,872,NA
IN,Nineveh-Hensley-Jackson United,nineveh-hensley-jackson united schools,nineveh hensley jackson united schools,1807620,1.55041E+13,1981,NA
IN,Noblesville Schools,noblesville schools,noblesville schools,1807650,1.55029E+13,10676,NA
IN,North Adams Community Schools,north adams community school district,north adams,1807680,1.55002E+13,1744,NA
IN,North Harrison Com School Corp,north harrison community school corporation,north harrison,1800690,1.55032E+13,2194,NA
IN,North Lawrence Com Schools,north lawrence community schools,north lawrence,1807860,1.55048E+13,4670, north lawrence community schools - ecas 
IN,MSD NORTH POSEY CO SCHOOLS,north posey county schools,north posey schools,1807950,1.55066E+13,1471,NA
IN,North Putnam Community Schools,north putnam community schools,north putnam,1807980,1.55068E+13,1364,NA
IN,North Spencer County Sch Corp,north spencer county school district,north spencer,1808010,1.55075E+13,2091,NA
IN,North Vermillion Com Sch Corp,north vermillion community school corporation,north vermillion,1808070,1.55084E+13,764,NA
IN,North West Hendricks Schools,north west hendricks schools,north west hendricks schools,1808100,1.55033E+13,1877,NA
IN,North White School Corp,north white county consolidated school corporation,north white,1808130,1.55092E+13,891,NA
IN,Northeast School Corp,northeast sullivan county school district,northeast sullivan,1808160,1.55078E+13,828,NA
IN,Northeastern Wayne Schools,northeastern wayne school corporation,northeastern wayne,1808190,1.5509E+13,1332,NA
IN,Northern Wells Community Schools,northern wells county community school district,northern wells,1808220,1.55091E+13,2515, northern wells community schools - ecas 
IN,Northwest Allen County Schools,northwest allen county schools,northwest allen schools,1808250,1.55003E+13,7857,NA
IN,NW Indiana Special Education Coop,northwest indiana special education cooperative,northwest indiana special education cooperative,1808320,1.55045E+13,113,NA
IN,Northwestern School Corp,northwestern school corporation,northwestern,1802040,1.55034E+13,1858,NA
IN,Northwestern Con School Corp,northwestrn consolidated school district,northwestrn,1808310,1.55073E+13,1566,NA
IN,Oak Hill United School Corp,oak hill united school corporation,oak hill united,1808340,1.55053E+13,1702,NA
IN,Paoli Community School Corp,paoli community school corporation,paoli,1808640,1.55059E+13,1331,NA
IN,Penn-Harris-Madison School Corp,penn-harris-madison school corporation,penn harris madison,1808760,1.55071E+13,11373,NA
IN,Perry Central Com Schools Corp,perry central community school corporation,perry central,1801740,1.55063E+13,1250,NA
IN,Perry Township Schools,perry township metropolitan school district,perry township,1808820,1.55049E+13,16938, perry township schools 
IN,Pike County School Corp,pike county community schools,pike,1808900,1.55063E+13,1734,NA
IN,MSD PIKE TOWNSHIP,pike township metropolitan school district,pike township,1808910,1.55049E+13,11274, metropolitan school district of pike township 
IN,Plymouth Community School Corp,plymouth community schools corporation,plymouth corporation,1809060,1.5505E+13,3489,NA
IN,Portage Township Schools,portage township schools,portage township schools,1809150,1.55064E+13,7349,NA
IN,Porter County Education Services,porter county education interlocal,porter education interlocal,1809130,1.55064E+13,124,NA
IN,Porter Township School Corp,porter township school corp,porter township,1809180,1.55064E+13,1533, porter township school corporation 
IN,Randolph Central School Corp,randolph central school corporation,randolph central,1801770,1.55069E+13,1412,NA
IN,Randolph Eastern School Corp,randolph eastern school corporation,randolph eastern,1803180,1.55069E+13,900,NA
IN,Rensselaer Central School Corp,rensselaer ctl school corporation,rensselaer ctl,1809420,1.55037E+13,1598,NA
IN,Richmond Community Schools,richmond community school corporation,richmond,1809510,1.55089E+13,4820, richmond community schools - ecas 
IN,Rising Sun-Ohio Co Com,rising sun-ohio county community,rising sun ohio community,1809600,1.55058E+13,824,NA
IN,River Forest Community Sch Corp,river forest community school corporation,river forest,1804620,1.55045E+13,1585,NA
IN,Rush County Schools,rushville consolidated schools,rushville,1809750,1.5507E+13,2013,NA
IN,Salem Community Schools,salem community school district,salem,1809810,1.55088E+13,1799,NA
IN,School City of East Chicago,school city of east chicago,school city of east chicago,1802880,1.55045E+13,3846,NA
IN,Seymour Community Schools,seymour community schools,seymour,1810080,1.55036E+13,5229,NA
