state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
SD,Menno School District 33-2,menno school district 33-2,4647100,42503405500000,NA
ND,MENOKEN 33,menoken sch dist 33,3812720,35500803500000,NA
MI,Menominee Area Public Schools,menominee area public schools,2623550,23505502000000, Menominee Area Public Schools 
WI,Menominee Indian School District,menominee indian school district,5509070,50504090100000, Menominee Indian School District 
WI,Menominee Tribal School,NA,5900144,NA,NA
WI,Menomonee Falls School District,menomonee falls school district,5509060,50506803400000, School District of Menomonee Falls 
WI,Menomonie Area School District,menomonie area school district,5509090,50501750100000,NA
OH,Mentor Exempted Village,mentor ex vlg sch dist,3904549,36504300400000, Mentor Exempted Village School District 
WI,Mequon-Thiensville School District,mequon-theinsville school district,5509130,50504650100000,NA
MO,MERAMEC VALLEY R-III,meramec valley sch dist r 3,2923460,26503602400000,NA
CA,Merced City Elementary,merced city sch dist,0624600,05502402200000, Merced City School District 
CA,Merced County Office of Education,merced co spl schs oper by co supt,0691020,05102402430100,NA
CA,Merced River Union Elementary,merced river union elem sch dist,0624630,05502490100000, Merced River Union Elementary School District 
CA,Merced Union High,merced union high school dist,0624660,05502402300000, Merced City School District 
TX,MERCEDES ISD,mercedes ind sch dist 907,4830250,44510800800000, Mercedes Independent School District 
PA,Mercer Area SD,mercer area sch dist,4215120,39504302300000,NA
KY,Mercer County,mercer co sch dist,2104110,18508400300000, Mercer County School District 
IL,Mercer County School District 404,mercer county school district 404,1701395,14506600100000, Mercer County School District 404 
WV,MERCER COUNTY SCHOOLS,mercer co school district,5400840,49502800100000, Mercer County Board of Education 
WA,Mercer Island School District,mercer island school district 400,5304980,48501701400000, Mercer Island School District No. 400 
WI,Mercer School District,mercer school district 1,5509150,50502670100000,NA
NJ,Merchantville School District,merchantville boro sch dist,3409960,31500402400000,NA
IL,Meredosia-Chambersburg CUSD 11,meredosia chambersburg community unit school district 11,1725680,14506900400000,NA
CT,Meriden School District,meriden city schools,0902400,07200500430100,NA
IL,Meridian CUSD 101,meridian community unit school district 101,1726970,14507701000000, Meridian Community Unit School District No. 101 
IL,Meridian CUSD 15,meridian community unit school district 15,1700123,14505830100000,NA
IL,Meridian CUSD 223,meridian community unit school district 223,1725690,14507103800000,NA
CA,Meridian Elementary,meridian elem sch dist,0624690,05505101400000, Meridian Elementary School District 
