state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
IL,A E R O Spec Educ Coop,a e r o special education cooperative,1700024,14501640300000, A.E.R.O Special Education Cooperative 
IL,A-C Central CUSD 262,ashland-chandlerville community unit school district 262,1700105,14500920100000,NA
MN,A.C.G.C. Public School District,a.c.g.c. school district,2700106,24504730100000,NA
LA,A.E. Phillips Laboratory School,a.e. phillips laboratory school,2200056,19622000560000,NA
SC,Abbeville 60,abbeville county school district,4500690,41500100100000, Abbeville County School District 
WI,Abbotsford School District,abbotsford school district,5500030,50501050100000, Abbotsford School District 
TX,ABBOTT ISD,abbott ind sch dist 901,4807380,44510900100000, Abbott Independent School District 
CA,ABC Unified,abc unif school dist,0601620,05501970200000, ABC Unified School District 
ID,ABERDEEN DISTRICT,aberdeen school district 58,1600030,13500600100000, Aberdeen School District 58 
MS,ABERDEEN SCHOOL DIST,aberdeen school district,2800360,25504800200000, Aberdeen School District 
WA,Aberdeen School District,aberdeen school district 5,5300030,48501400100000, Aberdeen School District No.5 
SD,Aberdeen School District 06-1,aberdeen school district 6-1,4602070,42500700300000, Aberdeen School District 6-1 
TX,ABERNATHY ISD,abernathy ind sch dist 901,4807410,44509500100000, Abernathy Independent School District 
KS,Abilene,abilene unified school district 435,2003180,17502100100000, Abilene Unified School District No. 435 
TX,ABILENE ISD,abilene ind sch dist 901,4807440,44522101100000, Abilene Independent School District 
IL,Abingdon-Avon CUSD 276,abingdon - avon cusd 276,1701413,14504810100000,NA
MA,Abington,abington town schs,2501650,22301200130100,NA
PA,Abington Heights SD,abington hts sch dist,4202010,39503500100000,NA
PA,Abington SD,abington sch dist,4202040,39504600100000, Abington School District 
MT,Absarokee Elem,absarokee elem sch dist 52-c,3001710,27504840130100,NA
MT,Absarokee H S,absarokee h s dist 52,3001740,27504840130200,NA
NJ,Absecon Public Schools District,absecon school district,3400660,31500160100000, Absecon Board of Education 
TX,ACADEMY ISD,academy ind sch dist 901,4807470,44501400100000, Academy Independent School District 
CO,Academy School District No. 20 in the county of El Paso an,academy school dist 20,0801920,06502102100000,NA
LA,Acadia Parish,acadia parish school district,2200030,19500100100000,NA
CA,Acalanes Union High,acalanes union high school dist,0601650,05500700100000, Acalanes Union High School District 
VA,ACCOMACK CO PBLC SCHS,accomack county school,5100060,47100100130100,NA
TN,Achievement School District,achievement school district,4700147,43000000030100,NA
OK,ACHILLE,achille sch dist 3,4002370,37500700100000, Achille School District I-003 
ME,Acton Public Schools,acton school department,2302220,20301600130100,NA
CA,Acton-Agua Dulce Unified,acton-agua dulce unified school district,0600001,05501909400000, Acton-Agua Dulce Unified School District 
MA,Acton-Boxborough,acton-boxborough reg sch dist,2501710,22500950100000,NA
MA,Acushnet,acushnet town schs,2501740,22300300130100,NA
OK,ADA,ada sch dist 19,4002430,37506200100000, Ada Public Schools I- 19 
OH,Ada Exempted Village,ada exempted sch dist,3904518,36503300100000, Ada Exempted Village School District 
MN,ADA-BORUP PUBLIC SCHOOL DISTRICT,ada-borup school district 2854,2700126,24505400100000,NA
OK,ADAIR,adair sch dist 2,4002460,37504900100000, Adair School District I-2 
MO,ADAIR CO. R-I,adair county school district r 1,2922980,26500103500000,NA
MO,ADAIR CO. R-II,adair county school district r-2,2905790,26500100300000,NA
KY,Adair County,adair co sch dist,2100030,18500100100000, Adair County School District 
IA,Adair-Casey Comm School District,adair-casey community school district,1903090,16503970100000,NA
IL,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,adam/brwn/cass/morgn/pik/sctt roe,1700162,14617001620000,NA
CO,Adams 12 Five Star Schools,adams 12 five star schools district,0806900,06500170100000, Adams 12 Five Star Schools 
IN,Adams Central Community Schools,adams central community school district,1800060,15500100100000, Adams Central Community Schools 
NE,ADAMS CENTRAL PUBLIC SCHOOLS,adams central sch dist 090,3102770,28500180100000, Adams Central Public Schools 
OH,Adams County Ohio Valley Local,adams county/ohio valley local sch dist,3906190,36500180100000, Adams County-Ohio Valley Local School District 
MI,Adams Township School District,adams twp sch dist,2601890,23503100100000, Adams Schools 
WI,Adams-Friendship Area School District,adams-friendship school district,5500060,50500100200000,NA
NY,ADDISON CENTRAL SCHOOL DISTRICT,addison central sch dist,3602370,33505100100000, Addison Central School District 
VT,Addison Central Unified School District,addison central supervisory district,5000402,46500180200000,NA
MI,Addison Community Schools,addison comm sch dist,2601920,23504600100000, Addison Community Schools 
VT,Addison Northwest Unified School District,addison northwest school district,5000398,46500180300000, Addison Northwest School District 
IL,Addison SD 4,addison school district 4,1703150,14502200100000, Addison School District No.4 
IA,Adel DeSoto Minburn Comm School District,adel-desoto-midburn community school district,1903150,16502500100000,NA
OR,Adel SD 21,adel sch dist 21,4100990,38501900100000,NA
CA,Adelanto Elementary,adelanto elem sch dist,0601710,05503600100000, Adelanto Elementary School District 
OH,Adena Local,adena local sch dist,3904949,36507100600000, Adena Local School District 
NY,ADIRONDACK CENTRAL SCHOOL DISTRICT,adirondack central sch dist,3605040,33503301600000, Adirondack Central School District 
IL,Adlai E Stevenson HSD 125,adlai e stevenson district 125,1732580,14504970100000, Adlai E.Stevenson High School District No. 125 
WA,Adna School District,adna school district 226,5300060,48502100100000, Adna School District No 226 
TX,ADRIAN ISD,adrian sch dist 903,4807500,44518000100000, Adrian Independent School District 
MN,ADRIAN PUBLIC SCHOOL DISTRICT,adrian sch dist 511,2702730,24505302300000,NA
MI,Adrian Public Schools,adrian city sch dist,2601950,23504600200000, Adrian Public Schools 
MO,ADRIAN R-III,adrian sch dist r 3,2902850,26500700100000,NA
OR,Adrian SD 61,adrian sch dist 61,4101020,38502300100000, Adrian School District No.61 
MO,ADVANCE R-IV,advance sch dist r 4,2902880,26510400100000,NA
MO,AFFTON 101,affton sch dist 101,2902910,26509500100000,NA
OK,AFTON,afton sch dist 26,4002520,37505800100000, Afton School District I-26 
NY,AFTON CENTRAL SCHOOL DISTRICT,afton central sch dist,3602400,33500900100000, Afton Central School District 
SD,Agar-Blunt-Onida School District 58-3,agar-blunt-onida school district 58-3,4600042,42506002300000,NA
CO,Agate School District No. 300,agate school district 300,0801980,06502000100000,NA
MA,Agawam,agawam city schools,2501800,22200720130100,NA
OK,AGRA,agra sch dist 134,4002550,37504100100000, Agra School District I-134 
TX,AGUA DULCE ISD,agua dulce ind sch dist 901,4807530,44517800100000, Agua Dulce Independent School District 
AZ,Agua Fria Union High School District (4289),agua fria union high school district 216,0400450,03500750200000, Agua Fria Union High School District No. 216 
AZ,Aguila Elementary District (4249),aguila school district 63,0400480,03500700100000,NA
CO,Aguilar Reorganized School District No. 6,aguilar reorg school district 6,0802010,06503600100000,NA
IA,AGWSR Comm School District,agwsr community school district,1903060,16504200100000, Agwsr Community School District 
FL,Ahfachkee Day School,NA,5900092,NA,NA
IA,AHSTW Comm School District,ahstw school district,1904080,16507800100000, Ahstw Community School District 
SC,Aiken 01,aiken county school district,4500720,41500200100000,NA
NE,AINSWORTH COMMUNITY SCHOOLS,ainsworth school dist 10,3102790,28500900800000, Ainsworth Community Schools District No. 10 
ME,Airline CSD,airline community school district 8 (908),2302500,20500580300000,NA
MI,Airport Community Schools,airport comm sch dist,2601980,23505800100000, Airport Community Schools 
MN,AITKIN PUBLIC SCHOOL DISTRICT,aitkin ind sch dist 1,2702760,24500100100000,NA
AZ,Ajo Unified District (4409),ajo unified school district 15,0400520,03501000100000,NA
IL,Akin CCSD 91,akin community consolidated school district 91,1703210,14502800100000,NA
NY,AKRON CENTRAL SCHOOL DISTRICT,akron central sch dist,3602430,33501502600000, Akron Central School District 
OH,Akron City,akron city sch dist,3904348,36507700100000, Akron City School District 
CO,Akron School District No. R-1,akron school district 1,0802040,06506100200000, Akron School District No. R-1 
IA,Akron Westfield Comm School District,akron-westfield community school district,1903220,16507500100000, Akron-Westfield Community School District 
MI,Akron-Fairgrove Schools,akron-fairgrove sch dist,2602010,23507900100000, Akron-Fairgrove Schools 
AL,Alabaster City,alabaster city school district,0100190,01505900300000, Alabaster City Board of Education 
FL,ALACHUA,alachua county school district,1200030,10500100100000, Alachua District School Board County 
NC,Alamance-Burlington Schools,alamance county-burlington school district,3700030,34100100130100,NA
CA,Alameda County Office of Education,alameda co office of ed,0691051,05100100130100, Alameda Unified School District 
CA,Alameda Unified,alameda unified sch dist,0601770,05500100100000, Alameda Unified School District 
TN,Alamo,alamo town sch dist,4700030,43201700130100,NA
TX,ALAMO HEIGHTS ISD,alamo heights ind sch dist 901,4807590,44501500100000, Alamo Heights Independent School District 
NM,Alamo Navajo Community School,NA,5900046,NA,NA
NM,ALAMOGORDO PUBLIC SCHOOLS,alamogordo sch dist,3500030,32501900100000,NA
CO,Alamosa School District No. Re-11J,alamosa school district re 11j,0802070,06500200100000, Alamosa School District Re-11j 
MI,Alanson Public Schools,alanson public schools,2621810,23502402000000, Alanson Public Schools 
AK,Alaska Gateway School District,alaska gateway regional educational attendance area (reaa),0200050,02000000030000,NA
MI,Alba Public Schools,alba sch dist,2602040,23500500100000, Alba Public Schools 
TX,ALBA-GOLDEN ISD,alba golden ind sch dist 906,4807650,44525000100000, Alba-Golden Independent School District 
NY,ALBANY CITY SCHOOL DISTRICT,albany city school dist,3602460,33500190100000,NA
CA,Albany City Unified,albany city unified sch dist,0601860,05500100200000, Albany Unified School District 
WY,Albany County School District #1,albany co sch dist 1,5600730,51500100100000, Albany County School District No.1 
TX,ALBANY ISD,albany ind sch dist 901,4807680,44520900100000, Albany Independent School District 
MN,ALBANY PUBLIC SCHOOL DISTRICT,albany ind sch dist 745,2702930,24507300100000,NA
MO,ALBANY R-III,albany sch dist r 3,2902970,26503800200000,NA
WI,Albany School District,albany school district,5500120,50502301000000,NA
VA,ALBEMARLE CO PBLC SCHS,albemarle county school district,5100090,47100200230100,NA
IL,Albers SD 63,albers school district 63,1703270,14501400100000,NA
IA,Albert City-Truesdale Comm School District,albert-city truesdale community school district,1900031,16501100100000,NA
PA,Albert Gallatin Area SD,albert gallatin area school dist,4202100,39502670300000, Albert Gallatin Area School District 
MN,ALBERT LEA PUBLIC SCHOOL DISTRICT,albert lea ind school dist 241,2702970,24502400100000,NA
MT,Alberton K-12 Schools,alberton k-12 school district,3001860,27503140100000,NA
AL,Albertville City,albertville city school district,0100005,01504840100000, Albertville City Board of Education 
IA,Albia Comm School District,albia community school district,1903270,16506800100000, Albia Community School District 
OK,ALBION,albion sch dist 2,4002580,37506400100000,NA
NY,ALBION CENTRAL SCHOOL DISTRICT,albion central sch dist,3602520,33503700100000, Albion Central School District 
NM,ALBUQUERQUE PUBLIC SCHOOLS,albuquerque sch dist,3500060,32500100100000,NA
VT,Alburg School District,alburg town sch dist,5001770,46500700100000,NA
IA,Alburnett Comm School District,alburnett community school district,1903300,16505700100000, Alburnett Community School District 
SD,Alcester-Hudson School District 61-1,alcester-hudson school district 61-1,4600028,42506400100000,NA
TN,Alcoa,alcoa city sch dist,4700060,43200500130100,NA
MI,Alcona Community Schools,alcona comm schs,2602160,23500100100000, Alcona Community Schools 
MS,ALCORN SCHOOL DIST,alcorn county school district,2800390,25500250100000, Alcorn School District 
NY,ALDEN CENTRAL SCHOOL DISTRICT,alden central sch dist,3602550,33501500100000, Alden Central School District 
IA,Alden Comm School District,alden community school district,1900032,16504200200000, Alden Community School District 
IL,Alden Hebron SD 19,alden-hebron community consolidated school district 19,1703300,14505600100000,NA
MN,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,alden-conger isd 242,2703030,24502400200000,NA
MT,Alder Elem,alder-upper ruby elem dist 2,3017460,27502900100000,NA
TX,ALDINE ISD,aldine ind sch district 902,4807710,44510100200000, Aldine Independent School District 
TX,ALEDO ISD,aledo ind sch dist 907,4807780,44518400100000, Aledo Independent School District 
AK,Aleutian Region School District,aleutian region school district,0200010,02000000030100,NA
AK,Aleutians East Borough School District,aleutians east borough school district,0200007,02102402430100, Aleutians East Borough School District 
OK,ALEX,alex sch dist 56,4002670,37502600200000, Alex School District I-56 
ND,ALEXANDER 2,alexander school district #2,3801760,35502780100000,NA
NY,ALEXANDER CENTRAL SCHOOL DISTRICT,alexander central sch,3602580,33501900100000,NA
AL,Alexander City,alexander city school district,0100030,01506200200000, Alexander City Board of Education 
NC,Alexander County Schools,alexander co schs,3700090,34100200230100, Alexander County Board of Education 
OH,Alexander Local,alexander local sch dist,3904590,36500500100000, Alexander Local School District 
ME,Alexander Public Schools,alexander town schools,2302280,20301500230100,NA
CA,Alexander Valley Union Elementary,alexander val union elem sch dist,0601890,05504900100000,NA
NY,ALEXANDRIA CENTRAL SCHOOL DISTRICT,alexandria central sch dist,3602670,33502300500000,NA
VA,ALEXANDRIA CITY PBLC SCHS,alexandria city schools,5100120,47210100130100,NA
IN,Alexandria Community School Corp,alexandria community school corporation,1800120,15504800200000, Alexandria Community School Corporation 
MN,ALEXANDRIA PUBLIC SCHOOL DISTRICT,alexandria sch dist 206,2703060,24502100100000,NA
NJ,Alexandria Township School District,alexandria twp sch dist,3400690,31501000100000,NA
NY,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,alfred-almond central sch dist 1,3602700,33500200100000,NA
WI,Algoma School District,algoma school district,5500150,50503170100000, School District of Algoma 
IA,Algona Comm School District,algona community school district,1903360,16505500100000, Algona Community School District 
MI,Algonac Community School District,algonac comm sch dist 1,2602190,23507400100000, Algonac Community Schools 
AZ,Alhambra Elementary District (4280),alhambra elem school district 68,0400600,03500700200000, Alhambra Elementary School District No. 68 
CA,Alhambra Unified,alhambra unified school district,0600153,05501900200000, Alhambra Unified School District 
TX,ALICE ISD,alice ind sch dist 901,4807800,44512500100000, Alice Independent School District 
TX,ALIEF ISD,alief ind sch dist 903,4807830,44510100300000, Alief Independent School District 
OK,ALINE-CLEO,aline-cleo sch dist 4,4002720,37504700500000,NA
PA,Aliquippa SD,aliquippa school district,4202130,39500400100000, Aliquippa School District 
CA,Alisal Union,alisal union school district,0601950,05502700100000, Alisal Union School District 
IA,Allamakee Comm School District,allamakee community school district,1903390,16500300500000, Allamakee Community School District 
NJ,Allamuchy Township School District,allamuchy twp sch dist,3400720,31502100100000,NA
MI,Allegan Public Schools,allegan public schools,2602220,23500300100000, Allegan Public Schools 
MD,Allegany County Public Schools,allegany county public schools,2400030,21100100130100,NA
NY,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,allegany-limestone csd,3600015,33500500100000, Allegany-Limestone Central School District 
VA,ALLEGHANY CO PBLC SCHS,alleghany highlands public schools,5100152,47100300330100,NA
NC,Alleghany County Schools,alleghany co sch dist,3700120,34100300330100, Alleghany County Board of Education 
PA,Allegheny IU 3,allegheny intermediate school unit 3,4289130,39500260100000,NA
PA,Allegheny Valley SD,allegheny valley sch dist,4202190,39500270100000,NA
PA,Allegheny-Clarion Valley SD,allegeny-clarion valley school dist,4202310,39501670500000,NA
OK,ALLEN,allen sch dist 1,4002760,37506200300000, Allen School District No. 1-1 
NE,ALLEN CONSOLIDATED SCHOOLS,allen sch dist 70,3102880,28502600100000, Allen Public School District No. 70 
KY,Allen County,allen co sch dist,2100070,18500200100000, Allen County School District 
OH,Allen East Local,allen east local sch dist,3904575,36500200800000, Allen East Local School District 
TX,ALLEN ISD,allen ind sch dist 901,4807890,44504300200000, Allen Independent School District 
LA,Allen Parish,allen parish school district,2200060,19500200100000,NA
MI,Allen Park Public Schools,allen park pub sch dist,2602520,23508200100000, Allen Park Public Schools 
OK,ALLEN-BOWDEN,allen bowden sch dist 35,4002790,37501900100000, Allen-Bowden Public Schools 35 
IL,Allen-Otter Creek CCSD 65,allen-otter creek community consolidated school district 65,1703420,14505000100000,NA
SC,Allendale 01,allendale county school district 1,4500750,41500300100000,NA
IL,Allendale CCSD 17,allendale community consolidated school district 17,1703450,14509300100000,NA
NJ,Allendale Public School District,allendale public sch dist,3400750,31500200100000,NA
MI,Allendale Public Schools,allendale sch dist,2602550,23507001200000, Allendale Public Schools 
NH,Allenstown School District,allenstown school district,3301380,30500700100000,NA
CA,Allensworth Elementary,allensworth elem sch dist,0601980,05505400100000, Allensworth Elementary School District 
PA,Allentown City SD,allentown city sch dist,4202280,39503900100000, Allentown School District 
OH,Alliance City,alliance city sch dist,3904349,36507600100000, Alliance City School District 
NE,ALLIANCE PUBLIC SCHOOLS,alliance city sch dist 6,3102910,28500780100000, Alliance Public Schools District No. 6 
NJ,Alloway Twp School District,alloway twp sch dist,3400810,31501700100000,NA
WI,Alma Center School District,alma center school district,5500210,50502700500000,NA
NE,ALMA PUBLIC SCHOOLS,alma sch dist 2,3100080,28504200100000,NA
MI,Alma Public Schools,alma school district,2602640,23502900100000, Alma Public Schools 
AR,ALMA SCHOOL DISTRICT,alma sch dist 30,0502250,04501700100000, Alma School District 30 
WI,Alma School District,alma school district,5500180,50500600200000,NA
WA,Almira School District,almira school district 17,5300090,48502200100000,NA
WI,Almond-Bancroft School District,almond-bancroft school district,5500240,50505000200000,NA
MI,Almont Community Schools,almont comm sch dist 12,2602670,23504400200000, Almont Community Schools 
CA,Alpaugh Unified,alpaugh unified sch dist,0602010,05505400200000, Alpaugh Unified School District 
MI,Alpena Public Schools,alpena public schools,2602730,23500400100000, Alpena Public Schools 
AR,ALPENA SCHOOL DISTRICT,alpena sch dist 5,0502280,04500500100000, Alpena School District No.5 
NJ,Alpha Borough School District,alpha boro sch dist,3400840,31502100200000,NA
CA,Alpine County Unified,alpine co unif sch dist,0602070,05500200100000, Alpine County Unified School District 
UT,Alpine District,alpine sch dist,4900030,45502500100000, Alpine School District 
AZ,Alpine Elementary District (4161),alpine elem school district 7,0400630,03500100100000,NA
TX,ALPINE ISD,alpine ind sch dist 901,4807950,44502200100000, Alpine Independent School District 
NJ,Alpine School District,alpine public sch dist,3400870,31500200200000,NA
CA,Alpine Union Elementary,alpine union elem sch dist,0602100,05503700100000, Alpine County Unified School District 
IL,Alsip-Hazlgrn-Oaklwn SD 126,alsip-hazlgrn-oaklawn school district 126,1703480,14501607500000,NA
CA,Alta Loma Elementary,alta loma elem sch dist,0602160,05503600200000, Alta Loma School District 
CA,Alta Vista Elementary,alta vista elem sch dist,0602220,05505400300000, Alta Vista Elementary School District 
IA,Alta-Aurelia Comm School District,alta-aurelia community school district,1903480,16501100200000, Alta-Aurelia Community School District 
CA,Alta-Dutch Flat Union Elementary,alta dutch flat union elem sch dist,0602250,05503100300000, Alta-Dutch Flat Union Elementary School District 
IL,Altamont CUSD 10,altamont community unit school district 10,1703510,14502500100000,NA
AZ,Altar Valley Elementary District (4418),altar valley school district 51,0404770,03501001700000, Altar Valley Elementary School District No. 51 
MO,ALTENBURG 48,altenburg sch dist 48,2903040,26507900100000,NA
NY,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,altmar parish williamstwn central sch dist,3602820,33503800100000,NA
TX,ALTO ISD,alto ind sch dist 901,4807980,44503700200000, Alto Independent School District 
IL,Alton CUSD 11,alton community school district 11,1703600,14506000100000, Alton Community Unit School District 11 
MO,ALTON R-IV,alton sch dist r 4,2903060,26507500100000,NA
NH,Alton School District,alton town sch dist,3301440,30500100100000,NA
PA,Altoona Area SD,altoona area sch dist,4202340,39500700200000, Altoona Area School District 
WI,Altoona School District,altoona school district,5500270,50501800100000, School District of Altoona 
KS,Altoona-Midway,altoona-midway unified school district 387,2004170,17510303300000,NA
OK,ALTUS,altus sch dist 18,4002850,37503300100000, Altus Independent School District 18 
CA,Alum Rock Union Elementary,alum rock union elem sch dist,0602310,05504300400000, Alum Rock Union Elementary School District 
OK,ALVA,alva sch dist 1,4002880,37507600100000, Alva School District I-1 
TX,ALVARADO ISD,alvarado ind sch dist 901,4800011,44512600100000, Alvarado Independent School District 
CA,Alview-Dairyland Union Elementary,alview dairyland union elementary,0602360,05502000200000,NA
TN,Alvin C York Institute,alvin c york institute,4700144,43647001440000,NA
TX,ALVIN ISD,alvin ind sch dist 901,4808090,44502000100000, Alvin Independent School District 
TX,ALVORD ISD,alvord ind sch dist 901,4808100,44524900100000, Alvord Independent School District 
CA,Alvord Unified,alvord unif sch dist,0602430,05503300300000, Alvord Unified School District 
IL,AlWood CUSD 225,alwood community unit school district 225,1703660,14503700100000,NA
IL,Alxndr/Jcksn/Pulsk/Prry/Union ROE,alxndr/jcksn/pulsk/prry/union roe,1700190,14617001900000,NA
MT,Alzada Elem,alzada elem dist 56,3001950,27500600200000,NA
CA,Amador County Office of Education,amador co spl schs oper by co supt,0691001,05100300330100,NA
CA,Amador County Unified,amador co unif sch dist,0602450,05500300800000, Amador County Office of Education 
NY,AMAGANSETT UNION FREE SCHOOL DISTRICT,amagansett union free school district,3602880,33505250100000,NA
OH,Amanda-Clearcreek Local,amanda clearcreek local sch dist,3904684,36502300100000, Amanda-Clearcreek Local School District 
TX,AMARILLO ISD,amarillo independent sch dist,4808130,44518800200000, Amarillo Independent School District 
OK,AMBER-POCASSET,amber-pocasset sch dist 128,4002910,37502600300000, Amber-Pocasset School District I-128 
IL,Amboy CUSD 272,amboy community unit school district 272,1703690,14505200100000,NA
PA,Ambridge Area SD,ambridge area sch dist,4202440,39500400200000, Ambridge Area School District 
VA,AMELIA CO PBLC SCHS,amelia county school,5100180,47100400430100,NA
ID,AMERICAN FALLS JOINT DISTRICT,american falls school district 381,1600060,13503900100000, American Falls School District No. 381 
SD,AMERICAN HORSE SCHOOL,NA,5900070,NA,NA
AS,American Samoa Department of Education,NA,6000030,NA,NA
WI,Amery School District,amery school district,5500300,50504900600000, School District of Amery 
IA,Ames Comm School District,ames community school district,1903540,16508500100000, Ames Community School District 
MA,Amesbury,amesbury public schools,2501860,22200510130100,NA
MA,Amherst,amherst town public school,2501890,22300800130100,NA
NY,AMHERST CENTRAL SCHOOL DISTRICT,amherst central school dist,3602920,33501560100000, Amherst Central School District 
VA,AMHERST CO PBLC SCHS,amherst county school,5100210,47100500530100,NA
OH,Amherst Exempted Village,amherst ex vlg sch dist,3904519,36504700100000, Amherst Exempted Village School District 
TX,AMHERST ISD,amherst ind sch dist 901,4808160,44514000100000, Amherst Independent School District 
NE,AMHERST PUBLIC SCHOOLS,amherst sch dist 119,3100070,28501000100000, Amherst Public Schools District No. 119 
NH,Amherst School District,amherst school district,3301470,30500600100000,NA
MA,Amherst-Pelham,amherst-pelham reg sch dist,2501920,22500850100000,NA
MS,AMITE COUNTY SCHOOL DISTRICT,amite county school district,2800420,25500350100000, Amite County School District 
OR,Amity SD 4J,amity sch dist 4j,4101230,38503600100000, Amity School District No. 4j 
NY,AMITYVILLE UNION FREE SCHOOL DISTRICT,amityville uf sch dist,3602940,33505200300000, Amityville Union Free School District 
MS,AMORY SCHOOL DIST,amory mun sep sch dist,2800450,25504800100000,NA
AZ,Amphitheater Unified District (4406),amphitheater school district 10,0400680,03501000200000, Amphitheater Unified School District No. 10 
NY,AMSTERDAM CITY SCHOOL DISTRICT,amsterdam sch dist,3602970,33502900100000,NA
MT,Amsterdam Elem,amsterdam elem dist 75,3001980,27501600100000,NA
MT,Anaconda Elem,anaconda elem sch dist 10,3002010,27501240130100,NA
MT,Anaconda H S,anaconda h s dist 10,3002030,27501240130200,NA
WA,Anacortes School District,anacortes school district 103,5300150,48502900100000, Anacortes School District No. 103 
OK,ANADARKO,anadarko sch dist 20,4003000,37500800300000, Anadarko Public Schools I-20 
CA,Anaheim Elementary,anaheim elem sch dist,0602610,05503000200000, Anaheim Elementary School District 
CA,Anaheim Union High,anaheim union high school dist,0602630,05503000300000, Anaheim Elementary School District 
TX,ANAHUAC ISD,anahuac ind sch dist 901,4808190,44503600100000, Anahuac Independent School District 
ND,ANAMOOSE 14,anamoose sch dist 14,3801950,35502500100000,NA
IA,Anamosa Comm School District,anamosa community school district,1903570,16505300100000, Anamosa Community School District 
MI,Anchor Bay School District,anchor bay school dist,2602790,23505000200000, Anchor Bay School District 
KY,Anchorage Independent,anchorage ind sch dist,2100090,18505600100000,NA
AK,Anchorage School District,anchorage school district,0200180,02200200130100, Anchorage School District 
AL,Andalusia City,andalusia city school district,0100060,01502000100000, Andalusia City Board of Education 
OK,ANDERSON,anderson sch dist 52,4003010,37505780100000, Anderson School District C-52 
SC,Anderson 01,anderson co sch dist 1,4500780,41500400300000,NA
SC,Anderson 02,anderson co sch dist 2,4500810,41500400200000,NA
SC,Anderson 03,anderson co sch dist 3,4500840,41500400500000, Anderson County School District 3 
SC,Anderson 04,anderson co sch dist 4,4500870,41500400400000, Anderson County School District 4 
SC,Anderson 05,anderson co sch dist 5,4500900,41500400100000,NA
IN,Anderson Community School Corp,anderson community school corporation,1800150,15504800300000, Anderson Community School Corporation 
KY,Anderson County,anderson co sch dist,2100120,18500300100000, Anderson County Board of Education 
TN,Anderson County,anderson co sch dist,4700090,43100100130100,NA
MT,Anderson Elem,anderson elem dist 41,3002070,27501600300000,NA
CA,Anderson Union High,anderson union high school dist,0602700,05504500100000, Anderson Union High School District 
CA,Anderson Valley Unified,anderson valley unified sch dist,0602730,05502300200000, Anderson Valley Unified School District 
TX,ANDERSON-SHIRO CISD,anderson-shiro cons sch dist 901,4808230,44509300100000, Anderson-Shiro Consolidated Independent School District 
NY,ANDES CENTRAL SCHOOL DISTRICT,andes central sch dist,3603000,33501300100000,NA
SD,Andes Central School District 11-1,andes central school district 11-1,4639540,42501205000000, Andes Central School District No. 11-1 
KS,Andover,andover unified school district 385,2003360,17500800100000, Andover Unified School District No. 385 
MA,Andover,andover town schs,2501950,22300500230100,NA
NY,ANDOVER CENTRAL SCHOOL DISTRICT,andover central sch dist,3603030,33500200400000,NA
ME,Andover Public Schools,andover public schools,2314823,20300900110100,NA
NJ,Andover Regional School District,andover reg sch dist,3400900,31501900100000,NA
CT,Andover School District,andover town schools,0900030,07300700130100,NA
NH,Andover School District,andover town sch dist,3301500,30500700200000,NA
IA,Andrew Comm School District,andrew community school district,1903630,16504900100000, Andrew Community School District 
TX,ANDREWS ISD,andrews ind sch dist 901,4808280,44500200100000, Andrews Independent School District 
UT,Aneth Community School,NA,5900094,NA,NA
TX,ANGLETON ISD,angleton ind sch dist 902,4808310,44502000200000, Angleton Independent School District 
NM,ANIMAS PUBLIC SCHOOLS,animas school district,3500090,32501270100000,NA
IA,Ankeny Comm School District,ankeny community school district,1903690,16507700200000, Ankeny Community School District 
MI,Ann Arbor Public Schools,ann arbor city sch dist 1,2602820,23508100100000, Ann Arbor Public Schools 
IL,Anna CCSD 37,anna community consolidated school district 37,1703750,14509100300000,NA
TX,ANNA ISD,anna ind sch dist 902,4808340,44504300400000, Anna Independent School District 
IL,Anna Jonesboro CHSD 81,anna jonesboro community school district 81,1703780,14509100400000,NA
OH,Anna Local,anna local sch dist,3910004,36507500100000, Anna Local School District 
MN,ANNANDALE PUBLIC SCHOOL DISTRICT,annandale sch dist 876,2703150,24508600200000, Annandale Independent School District No. 876 
IL,Annawan CUSD 226,annawan community unit school district 226,1703810,14503700200000,NA
MD,Anne Arundel County Public Schools,anne arundel co schs,2400060,21100200230100, Anne Arundel County Board of Education 
AK,Annette Island School District,annette island regional educational attendance area (reaa),0200525,02000000031800,NA
AL,Anniston City,anniston city school district,0100090,01500800200000, Anniston City Board of Education 
PA,Annville-Cleona SD,annville cleona sch dist,4202490,39503850100000, Annville-Cleona School District 
MN,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,anoka-hennepin sch dist 11,2703180,24500200200000,NA
NE,ANSELMO-MERNA PUBLIC SCHOOLS,anselmo-merna sch dist 15,3100010,28502108200000, Anselmo Merna Public Schools 
NE,ANSLEY PUBLIC SCHOOLS,ansley sch dist 44,3103060,28502100400000, Ansley School District No. 44 
NC,Anson County Schools,anson co sch,3700180,34100400430100, Anson County Board of Education 
TX,ANSON ISD,anson ind sch dist 901,4808400,44512700100000, Anson Independent School District 
