state,nces_original_name,gov_unit_original_name,name,ncesid,censusid
IN,Rising Sun-Ohio Co Com,rising sun-ohio county community,rising sun ohio community,1809600,15505800400000
IN,River Forest Community Sch Corp,river forest community school corporation,river forest,1804620,15504501400000
IN,Rush County Schools,rushville consolidated schools,rushville,1809750,15507000900000
IN,Salem Community Schools,salem community school district,salem,1809810,15508801400000
IN,School City of East Chicago,school city of east chicago,school city of east chicago,1802880,15504500600000
IN,Seymour Community Schools,seymour community schools,seymour,1810080,15503600900000
IN,Southwestern Con Sch Shelby Co,shelby county southwestern consolidated schools,shelby southwestern,1810830,15507300500000
IN,Shelbyville Central Schools,shelbyville central school district,shelbyville central,1810140,15507370200000
IN,Shenandoah School Corporation,shenandoah school corporation,shenandoah,1808280,15503370200000
IN,Smith-Green Community Schools,smith-green community school district,smith green,1810230,15509200700000
IN,South Central Com School Corp,south central community school corporation,south central,1802190,15504600300000
IN,South Gibson School Corporation,south gibson school corporation,south gibson,1810350,15502670300000
IN,South Newton School Corp,south newton school corporation,south newton,1810470,15505650100000
IN,South Putnam Community Schools,south putnam community schools,south putnam,1810500,15506770200000
IN,South Ripley Com Sch Corp,south ripley community school corporation,south ripley,1810530,15506970100000
IN,South Spencer County Sch Corp,south spencer county school district,south spencer,1810560,15507470200000
IN,Southeast Dubois Co Sch Corp,southeast dubois county school corporation,southeast dubois,1810640,15501900400000
IN,Southeast Fountain School Corp,southeast fountain county school corporation,southeast fountain,1810620,15502370100000
IN,Lewis Cass Schools,southeastern cass county school district,southeastern cass,1810680,15500970200000
IN,Southern Hancock Co Com Sch Corp,southern hancock county community school corporation,southern hancock,1810710,15503070300000
IN,South Harrison Com Schools,southern harrison community schools,southern harrison,1810360,15503100200000
IN,Southside Sp Srvs Of Marion Co,southside special services of marion co,southside special services of marion co,1800105,15504930200000
IN,MSD SOUTHWEST ALLEN COUNTY SCHLS,southwest allen county metropolitan school district,southwest allen,1800030,15500280100000
IN,Southwest School Corporation,southwest sullivan county school corporation,southwest sullivan,1810860,15507770200000
IN,School Town of Speedway,speedway city schools,speedway city schools,1810920,15504901000000
IN,Springs Valley Com School Corp,spring valley school corporation,spring valley,1810980,15505900100000
IN,MSD STEUBEN COUNTY,steuben county metropolitan school district,steuben,1811100,15507600100000
IN,Sunman-Dearborn Com Sch Corp,sunman-dearborn community corporation school district,sunman dearborn community corporation,1811190,15501580100000
IN,Tell City-Troy Twp School Corp,tell city-troy township school corporation,tell city troy township,1811260,15506200600000
IN,Tippecanoe Valley School Corp,tippecanoe valley school corporation,tippecanoe valley,1811370,15504301200000
IN,Tri-County School Corporation,tri county consolidated school corporation,tri,1811430,15509170300000
IN,Tri-Township Cons School Corp,tri-township consolidated school corporation,tri township,1800107,15504610200000
IN,Union-North United School Corp,union-north united school corporation,union north united,1811910,15507180200000
IN,Valparaiso Community Schools,valparaiso community schools,valparaiso,1811970,15506401200000
IN,MSD WABASH COUNTY SCHOOLS,wabash county metropolitan school district,wabash,1812180,15508500300000
IN,Wabash City Schools,wabash city schools,wabash city schools,1812150,15508500800000
IN,MSD WARREN COUNTY,warren county metropolitan school district,warren,1806080,15508670100000
IN,MSD WARREN TOWNSHIP,warren township metropolitan school district,warren township,1812360,15504901100000
IN,Washington Community Schools,washington community school inc,washington,1812450,15501401000000
IN,MSD WASHINGTON TOWNSHIP,washington township metropolitan school district,washington township,1812720,15504900700000
IN,Wawasee Community School Corp,wawasee community school corporation,wawasee,1805550,15504370100000
IN,West Lafayette Com School Corp,west lafayette community school corporation,west lafayette,1812870,15507901100000
IN,Western Boone Co Com Sch Dist,western boone county community school corporation,western boone,1812990,15500670100000
IN,Western Wayne Schools,western wayne schools,western wayne schools,1813050,15508970300000
IN,School City of Whiting,whiting city school,whiting city school,1813200,15504502000000
IN,Zionsville Community Schools,zionsville community schools,zionsville,1802830,15500600300000
