"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"1","IL","A E R O Spec Educ Coop","a e r o special education cooperative","1700024","14501640300000","Cook County","213.00000"," a.e.r.o special education cooperative "
"2","IL","A-C Central CUSD 262","ashland-chandlerville community unit school district 262","1700105","14500920100000","Cass County","395.00000",NA
"3","MN","A.C.G.C. Public School District","a.c.g.c. school district","2700106","24504730100000","Meeker County","865.00000",NA
"4","LA","A.E. Phillips Laboratory School","a.e. phillips laboratory school","2200056","19622000560000","Lincoln Parish","410.00000",NA
"5","SC","Abbeville 60","abbeville county school district","4500690","41500100100000","Abbeville County","2965.00000"," abbeville county school district "
"6","WI","Abbotsford School District","abbotsford school district","5500030","50501050100000","Clark County","747.00000"," abbotsford school district "
"7","TX","ABBOTT ISD","abbott ind sch dist 901","4807380","44510900100000","Hill County","288.00000"," abbott independent school district "
"8","CA","ABC Unified","abc unif school dist","0601620","05501970200000","Los Angeles County","20269.00000"," abc unified school district "
"9","ID","ABERDEEN DISTRICT","aberdeen school district 58","1600030","13500600100000","Bingham County","705.00000"," aberdeen school district 58 "
"10","MS","ABERDEEN SCHOOL DIST","aberdeen school district","2800360","25504800200000","Monroe County","1114.00000"," aberdeen school district "
"11","WA","Aberdeen School District","aberdeen school district 5","5300030","48501400100000","Grays Harbor County","3500.00000"," aberdeen school district no.5 "
"12","SD","Aberdeen School District 06-1","aberdeen school district 6-1","4602070","42500700300000","Brown County","4495.00000"," aberdeen school district 6-1 "
"13","TX","ABERNATHY ISD","abernathy ind sch dist 901","4807410","44509500100000","Hale County","818.00000"," abernathy independent school district "
"14","KS","Abilene","abilene unified school district 435","2003180","17502100100000","Dickinson County","1532.00000"," abilene unified school district no. 435 "
"15","TX","ABILENE ISD","abilene ind sch dist 901","4807440","44522101100000","Taylor County","16612.00000"," abilene independent school district "
"16","IL","Abingdon-Avon CUSD 276","abingdon - avon cusd 276","1701413","14504810100000","Knox County","964.00000",NA
"17","MA","Abington","abington town schs","2501650","22301200130100","Plymouth County","2143.00000",NA
"18","PA","Abington Heights SD","abington hts sch dist","4202010","39503500100000","Lackawanna County","3425.00000","abington heights school district"
"19","PA","Abington SD","abington sch dist","4202040","39504600100000","Montgomery County","8534.00000"," abington school district "
"20","MT","Absarokee Elem","absarokee elem sch dist 52-c","3001710","27504840130100","Stillwater County","127.00000",NA
"21","MT","Absarokee H S","absarokee h s dist 52","3001740","27504840130200","Stillwater County","80.00000",NA
"22","NJ","Absecon Public Schools District","absecon school district","3400660","31500160100000","Atlantic County","908.00000"," absecon board of education "
"23","TX","ACADEMY ISD","academy ind sch dist 901","4807470","44501400100000","Bell County","1723.00000"," academy independent school district "
"24","CO","Academy School District No. 20 in the county of El Paso an","academy school dist 20","0801920","06502102100000","El Paso County","26603.00000",NA
"25","LA","Acadia Parish","acadia parish school district","2200030","19500100100000","Acadia Parish","9739.00000","acadia parish school board"
"26","CA","Acalanes Union High","acalanes union high school dist","0601650","05500700100000","Contra Costa County","5635.00000"," acalanes union high school district "
"27","VA","ACCOMACK CO PBLC SCHS","accomack county school","5100060","47100100130100","Accomack County","5161.00000",NA
"28","TN","Achievement School District","achievement school district","4700147","43000000030100","Davidson County","11169.00000",NA
"29","OK","ACHILLE","achille sch dist 3","4002370","37500700100000","Bryan County","339.00000"," achille school district i-003 "
"30","ME","Acton Public Schools","acton school department","2302220","20301600130100","York County","233.00000",NA
"31","CA","Acton-Agua Dulce Unified","acton-agua dulce unified school district","0600001","05501909400000","Los Angeles County","1042.00000"," acton-agua dulce unified school district "
"32","MA","Acton-Boxborough","acton-boxborough reg sch dist","2501710","22500950100000","Middlesex County","5411.00000",NA
"33","MA","Acushnet","acushnet town schs","2501740","22300300130100","Bristol County","1010.00000",NA
"34","OK","ADA","ada sch dist 19","4002430","37506200100000","Pontotoc County","2564.00000"," ada public schools i- 19 "
"35","OK","ADA","ada sch dist 19","4002430","37506200100000","Pontotoc County","2564.00000"," ada school district no.1-19 "
"36","OH","Ada Exempted Village","ada exempted sch dist","3904518","36503300100000","Hardin County","863.00000"," ada exempted village school district "
"37","MN","ADA-BORUP PUBLIC SCHOOL DISTRICT","ada-borup school district 2854","2700126","24505400100000","Norman County","673.00000",NA
"38","OK","ADAIR","adair sch dist 2","4002460","37504900100000","Mayes County","1069.00000"," adair school district i-2 "
"39","OK","ADAIR","adair sch dist 2","4002460","37504900100000","Mayes County","1069.00000"," adair school district no. i-2 "
"40","MO","ADAIR CO. R-I","adair county school district r 1","2922980","26500103500000","Adair County","225.00000",NA
"41","MO","ADAIR CO. R-II","adair county school district r-2","2905790","26500100300000","Adair County","144.00000",NA
"42","KY","Adair County","adair co sch dist","2100030","18500100100000","Adair County","2763.00000"," adair county school district "
"43","IA","Adair-Casey Comm School District","adair-casey community school district","1903090","16503970100000","Guthrie County","259.00000",NA
"44","IL","Adam/Brwn/Cass/Morgn/Pik/Sctt ROE","adam/brwn/cass/morgn/pik/sctt roe","1700162","14617001620000","Adams County","139.00000",NA
"45","CO","Adams 12 Five Star Schools","adams 12 five star schools district","0806900","06500170100000","Adams County","38707.00000"," adams 12 five star schools "
"46","IN","Adams Central Community Schools","adams central community school district","1800060","15500100100000","Adams County","1304.00000"," adams central community schools "
"47","NE","ADAMS CENTRAL PUBLIC SCHOOLS","adams central sch dist 090","3102770","28500180100000","Adams County","970.00000"," adams central public schools "
"48","NE","ADAMS CENTRAL PUBLIC SCHOOLS","adams central sch dist 090","3102770","28500180100000","Adams County","970.00000"," adams central school district no. 90 "
"49","OH","Adams County Ohio Valley Local","adams county/ohio valley local sch dist","3906190","36500180100000","Adams County","3752.00000"," adams county-ohio valley local school district "
"50","MI","Adams Township School District","adams twp sch dist","2601890","23503100100000","Houghton County","486.00000"," adams schools "
"51","MI","Adams Township School District","adams twp sch dist","2601890","23503100100000","Houghton County","486.00000"," adams township school district "
"52","WI","Adams-Friendship Area School District","adams-friendship school district","5500060","50500100200000","Adams County","1435.00000",NA
"53","NY","ADDISON CENTRAL SCHOOL DISTRICT","addison central sch dist","3602370","33505100100000","Steuben County","1090.00000"," addison central school district "
"54","VT","Addison Central Unified School District","addison central supervisory district","5000402","46500180200000","Addison County","1808.00000",NA
"55","MI","Addison Community Schools","addison comm sch dist","2601920","23504600100000","Lenawee County","806.00000"," addison community schools "
"56","VT","Addison Northwest Unified School District","addison northwest school district","5000398","46500180300000","Addison County","953.00000"," addison northwest school district "
"57","IL","Addison SD 4","addison school district 4","1703150","14502200100000","DuPage County","3843.00000"," addison school district no.4 "
"58","IA","Adel DeSoto Minburn Comm School District","adel-desoto-midburn community school district","1903150","16502500100000","Dallas County","2046.00000",NA
"59","OR","Adel SD 21","adel sch dist 21","4100990","38501900100000","Lake County","12.00000",NA
"60","CA","Adelanto Elementary","adelanto elem sch dist","0601710","05503600100000","San Bernardino County","8208.00000"," adelanto elementary school district "
"61","OH","Adena Local","adena local sch dist","3904949","36507100600000","Ross County","1244.00000"," adena local school district "
"62","NY","ADIRONDACK CENTRAL SCHOOL DISTRICT","adirondack central sch dist","3605040","33503301600000","Oneida County","1212.00000"," adirondack central school district "
"63","IL","Adlai E Stevenson HSD 125","adlai e stevenson district 125","1732580","14504970100000","Lake County","4271.00000"," adlai e.stevenson high school district no. 125 "
"64","WA","Adna School District","adna school district 226","5300060","48502100100000","Lewis County","642.00000"," adna school district no 226 "
"65","TX","ADRIAN ISD","adrian sch dist 903","4807500","44518000100000","Oldham County","128.00000"," adrian independent school district "
"66","MN","ADRIAN PUBLIC SCHOOL DISTRICT","adrian sch dist 511","2702730","24505302300000","Nobles County","568.00000",NA
"67","MI","Adrian Public Schools","adrian city sch dist","2601950","23504600200000","Lenawee County","2863.00000"," adrian public schools "
"68","MO","ADRIAN R-III","adrian sch dist r 3","2902850","26500700100000","Bates County","719.00000",NA
"69","OR","Adrian SD 61","adrian sch dist 61","4101020","38502300100000","Malheur County","292.00000"," adrian school district no.61 "
"70","MO","ADVANCE R-IV","advance sch dist r 4","2902880","26510400100000","Stoddard County","468.00000",NA
"71","MO","AFFTON 101","affton sch dist 101","2902910","26509500100000","St. Louis County","2605.00000","affton school district"
"72","OK","AFTON","afton sch dist 26","4002520","37505800100000","Ottawa County","478.00000"," afton school district i-26 "
"73","NY","AFTON CENTRAL SCHOOL DISTRICT","afton central sch dist","3602400","33500900100000","Chenango County","538.00000"," afton central school district "
"74","SD","Agar-Blunt-Onida School District 58-3","agar-blunt-onida school district 58-3","4600042","42506002300000","Sully County","268.00000",NA
"75","CO","Agate School District No. 300","agate school district 300","0801980","06502000100000","Elbert County","44.00000",NA
"76","MA","Agawam","agawam city schools","2501800","22200720130100","Hampden County","3670.00000",NA
"77","OK","AGRA","agra sch dist 134","4002550","37504100100000","Lincoln County","296.00000"," agra school district i-134 "
"78","TX","AGUA DULCE ISD","agua dulce ind sch dist 901","4807530","44517800100000","Nueces County","385.00000"," agua dulce independent school district "
"79","AZ","Agua Fria Union High School District (4289)","agua fria union high school district 216","0400450","03500750200000","Maricopa County","8359.00000"," agua fria union high school district no. 216 "
"80","AZ","Aguila Elementary District (4249)","aguila school district 63","0400480","03500700100000","Maricopa County","145.00000",NA
"81","CO","Aguilar Reorganized School District No. 6","aguilar reorg school district 6","0802010","06503600100000","Las Animas County","121.00000",NA
"82","IA","AGWSR Comm School District","agwsr community school district","1903060","16504200100000","Hardin County","670.00000"," agwsr community school district "
"83","FL","Ahfachkee Day School",NA,"5900092",NA,"Hendry County","166.00000",NA
"84","IA","AHSTW Comm School District","ahstw school district","1904080","16507800100000","Pottawattamie County","736.00000"," ahstw community school district "
"85","SC","Aiken 01","aiken county school district","4500720","41500200100000","Aiken County","24184.00000",NA
"86","NE","AINSWORTH COMMUNITY SCHOOLS","ainsworth school dist 10","3102790","28500900800000","Brown County","427.00000"," ainsworth community schools district no. 10 "
"87","ME","Airline CSD","airline community school district 8 (908)","2302500","20500580300000","Hancock County","56.00000",NA
"88","MI","Airport Community Schools","airport comm sch dist","2601980","23505800100000","Monroe County","2614.00000"," airport community schools "
"89","MN","AITKIN PUBLIC SCHOOL DISTRICT","aitkin ind sch dist 1","2702760","24500100100000","Aitkin County","1172.00000",NA
"90","AZ","Ajo Unified District (4409)","ajo unified school district 15","0400520","03501000100000","Pima County","441.00000",NA
"91","IL","Akin CCSD 91","akin community consolidated school district 91","1703210","14502800100000","Franklin County","106.00000",NA
"92","NY","AKRON CENTRAL SCHOOL DISTRICT","akron central sch dist","3602430","33501502600000","Erie County","1403.00000"," akron central school district "
"93","OH","Akron City","akron city sch dist","3904348","36507700100000","Summit County","21298.00000"," akron city school district "
"94","CO","Akron School District No. R-1","akron school district 1","0802040","06506100200000","Washington County","371.00000"," akron school district no. r-1 "
"95","IA","Akron Westfield Comm School District","akron-westfield community school district","1903220","16507500100000","Plymouth County","642.00000"," akron-westfield community school district "
"96","MI","Akron-Fairgrove Schools","akron-fairgrove sch dist","2602010","23507900100000","Tuscola County","319.00000"," akron-fairgrove schools "
"97","AL","Alabaster City","alabaster city school district","0100190","01505900300000","Shelby County","6293.00000"," alabaster city board of education "
"98","FL","ALACHUA","alachua county school district","1200030","10500100100000","Alachua County","29761.00000"," alachua district school board county "
"99","NC","Alamance-Burlington Schools","alamance county-burlington school district","3700030","34100100130100","Alamance County","23148.00000",NA
"100","CA","Alameda County Office of Education","alameda co office of ed","0691051","05100100130100","Alameda County","339.00000"," alameda unified school district "
"101","CA","Alameda Unified","alameda unified sch dist","0601770","05500100100000","Alameda County","9372.00000"," alameda unified school district "
"102","TN","Alamo","alamo town sch dist","4700030","43201700130100","Crockett County","643.00000"," alamo board of education "
"103","TN","Alamo","alamo town sch dist","4700030","43201700130100","Crockett County","643.00000"," alamo city schools "
"104","TX","ALAMO HEIGHTS ISD","alamo heights ind sch dist 901","4807590","44501500100000","Bexar County","4944.00000"," alamo heights independent school district "
"105","NM","Alamo Navajo Community School",NA,"5900046",NA,"Socorro County","323.00000",NA
"106","NM","ALAMOGORDO PUBLIC SCHOOLS","alamogordo sch dist","3500030","32501900100000","Otero County","5901.00000",NA
"107","CO","Alamosa School District No. Re-11J","alamosa school district re 11j","0802070","06500200100000","Alamosa County","2298.00000"," alamosa school district re-11j "
"108","MI","Alanson Public Schools","alanson public schools","2621810","23502402000000","Emmet County","221.00000"," alanson public schools "
"109","AK","Alaska Gateway School District","alaska gateway regional educational attendance area (reaa)","0200050","02000000030000","Southeast Fairbanks Census Area","409.00000",NA
"110","MI","Alba Public Schools","alba sch dist","2602040","23500500100000","Antrim County","110.00000"," alba public schools "
"111","TX","ALBA-GOLDEN ISD","alba golden ind sch dist 906","4807650","44525000100000","Wood County","881.00000"," alba-golden independent school district "
"112","NY","ALBANY CITY SCHOOL DISTRICT","albany city school dist","3602460","33500190100000","Albany County","8904.00000","city school district of the city of albany"
"113","CA","Albany City Unified","albany city unified sch dist","0601860","05500100200000","Alameda County","3586.00000"," albany unified school district "
"114","WY","Albany County School District #1","albany co sch dist 1","5600730","51500100100000","Albany County","4067.00000"," albany county school district no.1 "
"115","TX","ALBANY ISD","albany ind sch dist 901","4807680","44520900100000","Shackelford County","522.00000"," albany independent school district "
"116","MN","ALBANY PUBLIC SCHOOL DISTRICT","albany ind sch dist 745","2702930","24507300100000","Stearns County","1795.00000",NA
"117","MO","ALBANY R-III","albany sch dist r 3","2902970","26503800200000","Gentry County","442.00000",NA
"118","WI","Albany School District","albany school district","5500120","50502301000000","Green County","338.00000",NA
"119","VA","ALBEMARLE CO PBLC SCHS","albemarle county school district","5100090","47100200230100","Charlottesville city","14404.00000",NA
"120","IL","Albers SD 63","albers school district 63","1703270","14501400100000","Clinton County","198.00000",NA
"121","IA","Albert City-Truesdale Comm School District","albert-city truesdale community school district","1900031","16501100100000","Buena Vista County","114.00000",NA
"122","PA","Albert Gallatin Area SD","albert gallatin area school dist","4202100","39502670300000","Fayette County","3288.00000"," albert gallatin area school district "
"123","MN","ALBERT LEA PUBLIC SCHOOL DISTRICT","albert lea ind school dist 241","2702970","24502400100000","Freeborn County","3572.00000",NA
"124","MT","Alberton K-12 Schools","alberton k-12 school district","3001860","27503140100000","Mineral County","149.00000",NA
"125","AL","Albertville City","albertville city school district","0100005","01504840100000","Marshall County","5824.00000"," albertville city board of education "
"126","IA","Albia Comm School District","albia community school district","1903270","16506800100000","Monroe County","1198.00000"," albia community school district "
"127","OK","ALBION","albion sch dist 2","4002580","37506400100000","Pushmataha County","61.00000","albion public schools"
"128","NY","ALBION CENTRAL SCHOOL DISTRICT","albion central sch dist","3602520","33503700100000","Orleans County","1892.00000"," albion central school district "
"129","NM","ALBUQUERQUE PUBLIC SCHOOLS","albuquerque sch dist","3500060","32500100100000","Bernalillo County","88312.00000",NA
"130","VT","Alburg School District","alburg town sch dist","5001770","46500700100000","Grand Isle County","230.00000",NA
"131","IA","Alburnett Comm School District","alburnett community school district","1903300","16505700100000","Linn County","695.00000"," alburnett community school district "
"132","SD","Alcester-Hudson School District 61-1","alcester-hudson school district 61-1","4600028","42506400100000","Union County","390.00000",NA
"133","TN","Alcoa","alcoa city sch dist","4700060","43200500130100","Blount County","2134.00000"," alcoa city schools "
"134","MI","Alcona Community Schools","alcona comm schs","2602160","23500100100000","Alcona County","692.00000"," alcona community schools "
"135","MS","ALCORN SCHOOL DIST","alcorn county school district","2800390","25500250100000","Alcorn County","3203.00000"," alcorn school district "
"136","NY","ALDEN CENTRAL SCHOOL DISTRICT","alden central sch dist","3602550","33501500100000","Erie County","1592.00000"," alden central school district "
"137","IA","Alden Comm School District","alden community school district","1900032","16504200200000","Hardin County","173.00000"," alden community school district "
"138","IL","Alden Hebron SD 19","alden-hebron community consolidated school district 19","1703300","14505600100000","McHenry County","410.00000",NA
"139","MN","ALDEN-CONGER PUBLIC SCHOOL DISTRICT","alden-conger isd 242","2703030","24502400200000","Freeborn County","478.00000",NA
"140","MT","Alder Elem","alder-upper ruby elem dist 2","3017460","27502900100000","Madison County","25.00000",NA
"141","TX","ALDINE ISD","aldine ind sch district 902","4807710","44510100200000","Harris County","67259.00000"," aldine independent school district "
"142","TX","ALEDO ISD","aledo ind sch dist 907","4807780","44518400100000","Parker County","6437.00000"," aledo independent school district "
"143","AK","Aleutian Region School District","aleutian region school district","0200010","02000000030100","Anchorage Municipality","29.00000",NA
"144","AK","Aleutians East Borough School District","aleutians east borough school district","0200007","02102402430100","Aleutians East Borough","234.00000"," aleutians east borough school district "
"145","OK","ALEX","alex sch dist 56","4002670","37502600200000","Grady County","318.00000"," alex school district i-56 "
"146","ND","ALEXANDER 2","alexander school district #2","3801760","35502780100000","McKenzie County","281.00000",NA
"147","NY","ALEXANDER CENTRAL SCHOOL DISTRICT","alexander central sch","3602580","33501900100000","Genesee County","801.00000",NA
"148","AL","Alexander City","alexander city school district","0100030","01506200200000","Tallapoosa County","3036.00000"," alexander city board of education "
"149","NC","Alexander County Schools","alexander co schs","3700090","34100200230100","Alexander County","4826.00000"," alexander county board of education "
"150","OH","Alexander Local","alexander local sch dist","3904590","36500500100000","Athens County","1456.00000"," alexander local school district "
"151","ME","Alexander Public Schools","alexander town schools","2302280","20301500230100","Washington County","42.00000",NA
"152","CA","Alexander Valley Union Elementary","alexander val union elem sch dist","0601890","05504900100000","Sonoma County","112.00000","alexander valley union school district"
"153","NY","ALEXANDRIA CENTRAL SCHOOL DISTRICT","alexandria central sch dist","3602670","33502300500000","Jefferson County","498.00000",NA
"154","VA","ALEXANDRIA CITY PBLC SCHS","alexandria city schools","5100120","47210100130100","Alexandria city","16295.00000",NA
"155","IN","Alexandria Community School Corp","alexandria community school corporation","1800120","15504800200000","Madison County","1635.00000"," alexandria community school corporation "
"156","MN","ALEXANDRIA PUBLIC SCHOOL DISTRICT","alexandria sch dist 206","2703060","24502100100000","Douglas County","4236.00000","independent school district no. 206 alexandria public schools"
"157","NJ","Alexandria Township School District","alexandria twp sch dist","3400690","31501000100000","Hunterdon County","479.00000",NA
"158","NY","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","alfred-almond central sch dist 1","3602700","33500200100000","Allegany County","622.00000",NA
"159","WI","Algoma School District","algoma school district","5500150","50503170100000","Kewaunee County","704.00000"," school district of algoma "
"160","IA","Algona Comm School District","algona community school district","1903360","16505500100000","Kossuth County","1530.00000"," algona community school district "
"161","MI","Algonac Community School District","algonac comm sch dist 1","2602190","23507400100000","St. Clair County","1417.00000"," algonac community schools "
"162","AZ","Alhambra Elementary District (4280)","alhambra elem school district 68","0400600","03500700200000","Maricopa County","12307.00000"," alhambra elementary school district no. 68 "
"163","CA","Alhambra Unified","alhambra unified school district","0600153","05501900200000","Los Angeles County","16278.00000"," alhambra unified school district "
"164","TX","ALICE ISD","alice ind sch dist 901","4807800","44512500100000","Jim Wells County","4870.00000"," alice independent school district "
"165","TX","ALIEF ISD","alief ind sch dist 903","4807830","44510100300000","Harris County","45300.00000"," alief independent school district "
"166","OK","ALINE-CLEO","aline-cleo sch dist 4","4002720","37504700500000","Alfalfa County","128.00000","aline-cleo school district i-4"
"167","PA","Aliquippa SD","aliquippa school district","4202130","39500400100000","Beaver County","960.00000"," aliquippa school district "
"168","CA","Alisal Union","alisal union school district","0601950","05502700100000","Monterey County","8524.00000"," alisal union school district "
"169","IA","Allamakee Comm School District","allamakee community school district","1903390","16500300500000","Allamakee County","1152.00000"," allamakee community school district "
"170","NJ","Allamuchy Township School District","allamuchy twp sch dist","3400720","31502100100000","Warren County","426.00000",NA
"171","MI","Allegan Public Schools","allegan public schools","2602220","23500300100000","Allegan County","2399.00000"," allegan public schools "
"172","MD","Allegany County Public Schools","allegany county public schools","2400030","21100100130100","Allegany County","8437.00000",NA
"173","NY","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT","allegany-limestone csd","3600015","33500500100000","Cattaraugus County","1185.00000"," allegany-limestone central school district "
"174","VA","ALLEGHANY CO PBLC SCHS","alleghany highlands public schools","5100152","47100300330100","Alleghany County","2024.00000",NA
"175","NC","Alleghany County Schools","alleghany co sch dist","3700120","34100300330100","Alleghany County","1452.00000"," alleghany county board of education "
"176","PA","Allegheny IU 3","allegheny intermediate school unit 3","4289130","39500260100000","Allegheny County","538.00000",NA
"177","PA","Allegheny Valley SD","allegheny valley sch dist","4202190","39500270100000","Allegheny County","940.00000",NA
"178","PA","Allegheny-Clarion Valley SD","allegeny-clarion valley school dist","4202310","39501670500000","Clarion County","646.00000","allegheny-clarion valley school district"
"179","OK","ALLEN","allen sch dist 1","4002760","37506200300000","Pontotoc County","500.00000"," allen school district no. 1-1 "
"180","NE","ALLEN CONSOLIDATED SCHOOLS","allen sch dist 70","3102880","28502600100000","Dixon County","149.00000"," allen public school district no. 70 "
"181","KY","Allen County","allen co sch dist","2100070","18500200100000","Allen County","3172.00000"," allen county school district "
"182","OH","Allen East Local","allen east local sch dist","3904575","36500200800000","Allen County","1127.00000"," allen east local school district "
"183","TX","ALLEN ISD","allen ind sch dist 901","4807890","44504300200000","Collin County","21880.00000"," allen independent school district "
"184","LA","Allen Parish","allen parish school district","2200060","19500200100000","Allen Parish","4205.00000","allen parish school board"
"185","MI","Allen Park Public Schools","allen park pub sch dist","2602520","23508200100000","Wayne County","3845.00000"," allen park public schools "
"186","OK","ALLEN-BOWDEN","allen bowden sch dist 35","4002790","37501900100000","Creek County","325.00000"," allen-bowden public schools 35 "
"187","IL","Allen-Otter Creek CCSD 65","allen-otter creek community consolidated school district 65","1703420","14505000100000","LaSalle County","68.00000",NA
"188","SC","Allendale 01","allendale county school district 1","4500750","41500300100000","Allendale County","1109.00000",NA
"189","IL","Allendale CCSD 17","allendale community consolidated school district 17","1703450","14509300100000","Wabash County","149.00000",NA
"190","NJ","Allendale Public School District","allendale public sch dist","3400750","31500200100000","Bergen County","872.00000",NA
"191","MI","Allendale Public Schools","allendale sch dist","2602550","23507001200000","Ottawa County","2668.00000"," allendale public schools "
"192","NH","Allenstown School District","allenstown school district","3301380","30500700100000","Merrimack County","356.00000",NA
"193","CA","Allensworth Elementary","allensworth elem sch dist","0601980","05505400100000","Tulare County","82.00000"," allensworth elementary school district "
"194","PA","Allentown City SD","allentown city sch dist","4202280","39503900100000","Lehigh County","16730.00000"," allentown school district "
"195","OH","Alliance City","alliance city sch dist","3904349","36507600100000","Stark County","3084.00000"," alliance city school district "
"196","NE","ALLIANCE PUBLIC SCHOOLS","alliance city sch dist 6","3102910","28500780100000","Box Butte County","1429.00000"," alliance public schools district no. 6 "
"197","NJ","Alloway Twp School District","alloway twp sch dist","3400810","31501700100000","Salem County","326.00000",NA
"198","WI","Alma Center School District","alma center school district","5500210","50502700500000","Jackson County","598.00000",NA
"199","NE","ALMA PUBLIC SCHOOLS","alma sch dist 2","3100080","28504200100000","Harlan County","344.00000",NA
"200","MI","Alma Public Schools","alma school district","2602640","23502900100000","Gratiot County","2027.00000"," alma public schools "
"201","AR","ALMA SCHOOL DISTRICT","alma sch dist 30","0502250","04501700100000","Crawford County","3297.00000"," alma school district 30 "
"202","AR","ALMA SCHOOL DISTRICT","alma sch dist 30","0502250","04501700100000","Crawford County","3297.00000"," alma school district no. 30 "
"203","WI","Alma School District","alma school district","5500180","50500600200000","Buffalo County","241.00000",NA
"204","WA","Almira School District","almira school district 17","5300090","48502200100000","Lincoln County","130.00000",NA
"205","WI","Almond-Bancroft School District","almond-bancroft school district","5500240","50505000200000","Portage County","377.00000",NA
"206","MI","Almont Community Schools","almont comm sch dist 12","2602670","23504400200000","Lapeer County","1463.00000"," almont community schools "
"207","CA","Alpaugh Unified","alpaugh unified sch dist","0602010","05505400200000","Tulare County","336.00000"," alpaugh unified school district "
"208","MI","Alpena Public Schools","alpena public schools","2602730","23500400100000","Alpena County","3643.00000"," alpena public schools "
"209","AR","ALPENA SCHOOL DISTRICT","alpena sch dist 5","0502280","04500500100000","Boone County","514.00000"," alpena school district no.5 "
"210","NJ","Alpha Borough School District","alpha boro sch dist","3400840","31502100200000","Warren County","211.00000",NA
"211","CA","Alpine County Unified","alpine co unif sch dist","0602070","05500200100000","Alpine County","70.00000"," alpine county unified school district "
"212","CA","Alpine County Unified","alpine co unif sch dist","0602070","05500200100000","Alpine County","70.00000"," alpine union school district "
"213","UT","Alpine District","alpine sch dist","4900030","45502500100000","Utah County","83540.00000"," alpine school district "
"214","AZ","Alpine Elementary District (4161)","alpine elem school district 7","0400630","03500100100000","Apache County","62.00000",NA
"215","TX","ALPINE ISD","alpine ind sch dist 901","4807950","44502200100000","Brewster County","1025.00000"," alpine independent school district "
"216","NJ","Alpine School District","alpine public sch dist","3400870","31500200200000","Bergen County","157.00000",NA
"217","CA","Alpine Union Elementary","alpine union elem sch dist","0602100","05503700100000","San Diego County","1635.00000"," alpine county unified school district "
"218","CA","Alpine Union Elementary","alpine union elem sch dist","0602100","05503700100000","San Diego County","1635.00000"," alpine union school district "
"219","IL","Alsip-Hazlgrn-Oaklwn SD 126","alsip-hazlgrn-oaklawn school district 126","1703480","14501607500000","Cook County","1599.00000","alsip hazelgreen and oak lawn school district 126"
"220","CA","Alta Loma Elementary","alta loma elem sch dist","0602160","05503600200000","San Bernardino County","6059.00000"," alta loma school district "
"221","CA","Alta Vista Elementary","alta vista elem sch dist","0602220","05505400300000","Tulare County","539.00000"," alta vista elementary school district "
"222","IA","Alta-Aurelia Comm School District","alta-aurelia community school district","1903480","16501100200000","Buena Vista County","818.00000"," alta-aurelia community school district "
"223","CA","Alta-Dutch Flat Union Elementary","alta dutch flat union elem sch dist","0602250","05503100300000","Placer County","100.00000"," alta-dutch flat union elementary school district "
"224","IL","Altamont CUSD 10","altamont community unit school district 10","1703510","14502500100000","Effingham County","661.00000",NA
"225","AZ","Altar Valley Elementary District (4418)","altar valley school district 51","0404770","03501001700000","Pima County","610.00000"," altar valley elementary school district no. 51 "
"226","MO","ALTENBURG 48","altenburg sch dist 48","2903040","26507900100000","Perry County","98.00000",NA
"227","NY","ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT","altmar parish williamstwn central sch dist","3602820","33503800100000","Oswego County","1153.00000","altmar-parish-williamstown central school district"
"228","TX","ALTO ISD","alto ind sch dist 901","4807980","44503700200000","Cherokee County","631.00000"," alto independent school district "
"229","IL","Alton CUSD 11","alton community school district 11","1703600","14506000100000","Madison County","6084.00000"," alton community unit school district 11 "
"230","MO","ALTON R-IV","alton sch dist r 4","2903060","26507500100000","Oregon County","681.00000","alton r-iv school district"
"231","NH","Alton School District","alton town sch dist","3301440","30500100100000","Belknap County","441.00000",NA
"232","PA","Altoona Area SD","altoona area sch dist","4202340","39500700200000","Blair County","7486.00000"," altoona area school district "
"233","WI","Altoona School District","altoona school district","5500270","50501800100000","Eau Claire County","1702.00000"," school district of altoona "
"234","KS","Altoona-Midway","altoona-midway unified school district 387","2004170","17510303300000","Wilson County","181.00000",NA
"235","OK","ALTUS","altus sch dist 18","4002850","37503300100000","Jackson County","3366.00000"," altus independent school district 18 "
"236","CA","Alum Rock Union Elementary","alum rock union elem sch dist","0602310","05504300400000","Santa Clara County","9118.00000"," alum rock union elementary school district "
"237","OK","ALVA","alva sch dist 1","4002880","37507600100000","Woods County","1031.00000"," alva school district i-1 "
"238","TX","ALVARADO ISD","alvarado ind sch dist 901","4800011","44512600100000","Johnson County","3663.00000"," alvarado independent school district "
"239","CA","Alview-Dairyland Union Elementary","alview dairyland union elementary","0602360","05502000200000","Madera County","385.00000",NA
"240","TN","Alvin C York Institute","alvin c york institute","4700144","43647001440000","Fentress County","516.00000",NA
"241","TX","ALVIN ISD","alvin ind sch dist 901","4808090","44502000100000","Brazoria County","27022.00000"," alvin independent school district "
"242","TX","ALVORD ISD","alvord ind sch dist 901","4808100","44524900100000","Wise County","738.00000"," alvord independent school district "
