"","state","nces_original_name","gov_unit_original_name","ncesid","censusid","county_nces","student","acfrs_original_name"
"10193","CA","Ramona City Unified","ramona city unif sch dist","0631710","05503703600000","San Diego County","5381.00000"," ramona unified school district "
"10194","MT","Ramsay Elem","ramsay elem dist 3","3021850","27504700300000","Silver Bow County","152.00000",NA
"10195","IL","Ramsey CUSD 204","ramsey community unit school district 204","1733090","14502600300000","Fayette County","432.00000",NA
"10196","NJ","Ramsey School District","ramsey boro sch dist","3413590","31500204800000","Bergen County","2711.00000","ramsey board of education"
"10197","CA","Rancho Santa Fe Elementary","rancho santa fe elem sch dist","0631740","05503703700000","San Diego County","561.00000"," rancho santa fe elementary school district "
"10198","NJ","Rancocas Valley Regional High School District","rancocas valley reg high school dist","3413620","31500302500000","Burlington County","2107.00000","rancocas valley regional high school district"
"10199","WI","Randall J1 School District","randall joint school district 1","5512390","50503001800000","Kenosha County","715.00000",NA
"10200","MA","Randolph","randolph town schs","2509930","22301102030100","Norfolk County","2742.00000",NA
"10201","NY","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT","randolph academy union free school district","3607440","33636074400000","Cattaraugus County","19.00000",NA
"10202","IN","Randolph Central School Corp","randolph central school corporation","1801770","15506870100000","Randolph County","1412.00000",NA
"10203","NY","RANDOLPH CENTRAL SCHOOL DISTRICT","randolph central school dist","3624090","33500501900000","Cattaraugus County","916.00000"," randolph central school district "
"10204","AL","Randolph County","randolph county school district","0102820","01505600100000","Randolph County","2176.00000"," randolph county board of education "
"10205","GA","Randolph County","randolph co sch dist","1304350","11512000100000","Randolph County","819.00000"," randolph county board of education "
"10206","GA","Randolph County","randolph co sch dist","1304350","11512000100000","Randolph County","819.00000"," school district randolph county "
"10207","NC","Randolph County School System","randolph co sch","3703780","34107607630200","Randolph County","15971.00000",NA
"10208","WV","RANDOLPH COUNTY SCHOOLS","randolph co sch dist","5401260","49504200100000","Randolph County","3870.00000"," randolph county board of education "
"10209","IN","Randolph Eastern School Corp","randolph eastern school corporation","1803180","15506870200000","Randolph County","900.00000",NA
"10210","TX","RANDOLPH FIELD ISD","randolph field ind school district 906","4836450","44501501100000","Bexar County","1427.00000"," randolph field independent school district "
"10211","MN","RANDOLPH PUBLIC SCHOOL DISTRICT","randolph sch dist 195","2730150","24501900900000","Dakota County","695.00000",NA
"10212","NE","RANDOLPH PUBLIC SCHOOLS","randolph sch dist 45","3175930","28501406800000","Cedar County","270.00000"," randolph public schools "
"10213","WI","Randolph School District","randolph school district","5512420","50501105400000","Dodge County","561.00000",NA
"10214","IN","Randolph Southern School Corp","randolph southern school corporation","1810740","15506870300000","Randolph County","487.00000"," randolph southern school corporation "
"10215","NJ","Randolph Township School District","randolph twp sch dist","3413650","31501403300000","Morris County","4542.00000"," randolph township school district "
"10216","WI","Random Lake School District","random lake school district","5512450","50506005100000","Sheboygan County","742.00000",NA
"10217","CO","Rangely School District RE4","rangely school dist re-4","0806180","06505200600000","Rio Blanco County","518.00000",NA
"10218","TX","RANGER ISD","ranger ind sch dist 907","4836480","44506700700000","Eastland County","368.00000"," ranger independent school district "
"10219","MS","RANKIN CO SCHOOL DIST","rankin co sch dist","2803830","25506150100000","Rankin County","19160.00000"," rankin county school district "
"10220","IL","Rankin CSD 98","rankin school district 98","1733120","14509003200000","Tazewell County","195.00000",NA
"10221","TX","RANKIN ISD","rankin ind sch dist 902","4836510","44523100200000","Upton County","303.00000"," rankin independent school district "
"10222","IL","Rantoul City SD 137","rantoul school district 137","1733210","14501001400000","Champaign County","1819.00000","rantoul city schools district no. 137"
"10223","IL","Rantoul Township HSD 193","rantoul township high school district 193","1733240","14501001500000","Champaign County","784.00000","rantoul township high school disrtict no. 193"
"10224","MT","Rapelje Elem","rapelje elem sch dist 32","3021870","27504840430100","Stillwater County","35.00000",NA
"10225","MT","Rapelje H S","rapelje h s dist 32","3021900","27504840430200","Stillwater County","22.00000",NA
"10226","SD","Rapid City Area School District 51-4","rapid city area school district 51-4","4659820","42505205300000","Pennington County","13620.00000"," rapid city area school district no. 51-4 "
"10227","MI","Rapid River Public Schools","rapid river school dist","2629340","23502101300000","Delta County","303.00000"," rapid river public schools "
"10228","LA","Rapides Parish","rapides parish school district","2201290","19504000100000","Rapides Parish","22855.00000","rapides parish school board"
"10229","VA","RAPPAHANNOCK CO PBLC SCHS","rappahannock county schs","5103210","47107907930100","Rappahannock County","791.00000",NA
"10230","NM","RATON PUBLIC SCHOOLS","raton school district","3502190","32500400400000","Colfax County","938.00000",NA
"10231","OK","RATTAN","rattan sch dist 1","4025500","37506401600000","Pushmataha County","466.00000"," rattan school district i-01 "
"10232","OK","RATTAN","rattan sch dist 1","4025500","37506401600000","Pushmataha County","466.00000"," rattan school district no. i-001 "
"10233","MT","Rau Elem","rau elem dist 21","3021960","27504202500000","Richland County","59.00000",NA
"10234","NY","RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT","ravena coeymans selkirk central sch dist","3624150","33500100400000","Albany County","1886.00000"," ravena-coeymans-selkirk central school district "
"10235","CA","Ravendale-Termo Elementary","ravendale-termo elementary school district","0631830","05501801200000","Lassen County","7.00000"," ravendale-termo elementary school district "
"10236","OH","Ravenna City","ravenna city sch dist","3904468","36506701100000","Portage County","2228.00000"," ravenna city school district "
"10237","NE","RAVENNA PUBLIC SCHOOLS","ravenna city sch dist 69","3175960","28501009100000","Buffalo County","437.00000"," ravenna public schools district no. 69 "
