acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
North Chicago Community Unit School District No. 187,NA,33038,2020,School District,62285375,39213564,4859869,254690,0,0,1599349,0,15800953,0,556950,242160,28568429,0,53573082,10562910,71820761,0,0,0,82383671,FALSE,th chicago cusd 187,0.7560402958979577, Below 1%,Illinois,NA,NA
North Dupage Special Education Cooperative,NA,42073,2020,School District,689089,0,689089,0,0,0,432177,0,4880605,0,0,10796026,8164614,0,425334,317901,19068073,0,0,0,19385974,FALSE,th dupage spec educ coop,0.03554575075773856, Below 1%,Illinois,NA,NA
North Greene Unit School District No.3,NA,33003,2020,School District,9805929,9776000,0,29929,0,0,0,0,0,0,0,0,0,0,13297028,190516,13106512,0,0,0,13297028,FALSE,th greene unit sd 3,0.7374526849157571, Below 1%,Illinois,NA,NA
North Mac CUSD 34,NA,54709,2020,School District,18999656,18965000,25375,0,9281,0,1663053,0,0,0,0,0,0,0,21693130,-11316533,33009663,0,0,0,21693130,FALSE,th mac cusd 34,0.8758374655939462, Below 1%,Illinois,NA,NA
North Palos Elementary School District 117,NA,32940,2020,School District,22822055,19434202,3342274,0,0,0,4324793,0,23513029,0,45569,521748,21225340,0,48690589,10803802,59633875,0,0,0,70437677,FALSE,th palos esd 117,0.32400351590243387, Below 1%,Illinois,NA,NA
North Shore School District 112,NA,33035,2020,School District,107304398,53563939,8943495,0,0,0,5156997,0,39486994,0,152973,1557283,33295648,50000,80018772,11315152,103606551,0,0,0,114921703,FALSE,th shore sd 112,0.9337174371667639, Below 1%,Illinois,NA,NA
Northfield Township High School District 225,NA,150843,2020,School District,205452894,76748499,8520116,247326,0,0,20379760,0,98224366,0,1332827,670699,140352293,0,141331282,1091523,281262751,0,0,0,282354274,FALSE,thfield twp hsd 225,0.7276422314754831, Below 1%,Illinois,NA,NA
"Northwest Suburban Special Education Organization, SEJA No. 805",NA,32966,2020,School District,20031314,0,2719189,0,0,0,3143690,0,13990539,0,177896,33830228,25756238,0,265134,-841076,60692676,0,0,0,59851600,FALSE,"thwest suburban special education organization, seja 805",0.3346830159928891, Below 1%,Illinois,NA,NA
O'fallon Community Consolidated School District No. 90,NA,33124,2020,School District,0,29634985,0,181928,0,0,2334632,0,0,0,0,0,0,0,42622952,-6651379,49274331,0,0,0,42622952,FALSE,o'fallon ccsd 90,0, Below 1%,Illinois,NA,NA
O'fallon Township High School District No. 203,NA,42796,2020,School District,31470878,31275000,46768,149110,0,0,1351673,0,0,0,0,0,0,0,37333090,1311750,36021340,0,0,0,37333090,FALSE,o'fallon twp hsd 203,0.8429754408220697, Below 1%,Illinois,NA,NA
Oak Park River Forest High School District 200,NA,32942,2020,School District,73403062,0,10880914,0,0,0,9578807,0,52607369,0,335972,3300065,51471975,50000,73818882,856692,127784230,0,0,0,128640922,FALSE,oak park river forest hsd 200,0.5706042902895239, Below 1%,Illinois,NA,NA
Ogle County Educational Cooperative,NA,43637,2020,School District,492761,0,492761,0,0,0,412974,0,0,0,0,0,0,0,11136609,98313,11038296,0,0,0,11136609,FALSE,ogle county educational cooperative,0.04424695165287746, Below 1%,Illinois,NA,NA
Paris Union School District No. 95,NA,32996,2020,School District,7573762,0,823762,0,5911877,0,838123,0,0,0,0,0,0,0,19455277,421347,19033930,0,0,0,19455277,FALSE,paris union sd 95,0.38929088493574265, Below 1%,Illinois,NA,NA
Park Forest-Chicago Heights School District 163,NA,32946,2020,School District,26215191,25750000,355779,109412,0,0,0,0,0,0,0,0,0,0,41267858,1153692,40114166,0,0,0,41267858,FALSE,park forest-chicago heights sd 163,0.635244770881978, Below 1%,Illinois,NA,NA
Park Ridge-Niles School District 64,NA,50081,2020,School District,81777007,10502424,5050296,605503,0,0,9519204,0,55872907,0,226673,3678515,38726019,0,75277574,-813290,118495398,0,0,0,117682108,FALSE,park ridge-niles sd 64,0.6948975370155674, Below 1%,Illinois,NA,NA
Paxton-Buckley-Loda Community Unit District No. 10,NA,50112,2020,School District,31923458,31230000,693458,0,0,0,1240235,0,0,0,0,0,0,0,23348647,-9988416,33337063,0,0,0,23348647,FALSE,paxton-buckley-loda community unit district 10,1.3672508732518849,1 - 5%,Illinois,NA,NA
Pekin Community High School District No. 303,NA,33139,2020,School District,8390118,8390118,0,0,0,0,0,0,0,0,0,618790,9005480,0,23343815,3459572,29508513,0,0,0,32968085,FALSE,pekin chsd 303,0.2544921247321463, Below 1%,Illinois,NA,NA
Pekin Public Schools District No. 108,NA,33140,2020,School District,3697181,3265000,350000,0,82181,0,0,0,0,0,0,0,0,0,55781278,1695222,54086056,0,0,0,55781278,FALSE,pekin sd 108,0.06627996224826545, Below 1%,Illinois,NA,NA
Perandoe Special Education District,NA,40342,2020,School District,0,0,0,0,0,0,0,0,0,0,0,3322903,2896625,0,533088,357361,6395255,0,0,0,6752616,FALSE,perandoe special education district,0, Below 1%,Illinois,NA,NA
Plainfield Community Consolidated School District 202,NA,45341,2020,School District,433690092,182718687,33773691,24987124,7835000,0,23572752,0,160452553,0,350285,8387203,93263201,847105,293773327,24356625,371914211,0,0,0,396270836,FALSE,plainfield ccsd 202,1.0944284882978368,1 - 5%,Illinois,NA,NA
Posen-Robbins Elementary School District 143 1/2,NA,32947,2020,School District,14900532,14998201,-128563,30894,0,0,1318174,0,10413461,0,0,13704,13127097,229002,18660167,211793,31818177,0,0,0,32029970,FALSE,posen-robbins esd 143 1/2,0.4652059305706499, Below 1%,Illinois,NA,NA
Rantoul City Schools District No. 137,NA,32886,2020,School District,19649601,17965000,1684631,0,0,0,1023674,0,0,0,0,0,0,0,33225693,-356128,33581821,0,0,0,33225693,FALSE,rantoul city schools district 137,0.59139777761746, Below 1%,Illinois,NA,NA
Rantoul Township High School Disrtict No. 193,NA,167517,2020,School District,3398567,3378000,20567,0,0,0,1187749,0,0,0,0,0,0,0,15974647,562297,15412350,0,0,0,15974647,FALSE,rantoul twp high school disrtict 193,0.21274754928856957, Below 1%,Illinois,NA,NA
Reavis High School District Number 220,NA,50799,2020,School District,72040217,72040217,0,0,0,0,3153061,0,17672736,0,0,919070,2105502,0,34117659,-203681,37345912,0,0,0,37142231,FALSE,reavis hsd number 220,1.9395770006384376,1 - 5%,Illinois,NA,NA
Region III Special Education Cooperative,NA,33085,2020,School District,444807,0,444807,0,0,0,292646,0,0,0,0,0,0,0,6082355,112152,5970203,0,0,0,6082355,FALSE,region iii spec educ coop,0.0731307199267389, Below 1%,Illinois,NA,NA
Rhodes Public School District 84.5,NA,167518,2020,School District,5451068,5445000,6068,0,0,0,2034650,0,5367388,0,0,344287,5134444,50000,11970571,2277823,15221479,0,0,0,17499302,FALSE,rhodes sd 84 5,0.3115020244807479, Below 1%,Illinois,NA,NA
Rochelle Community Consolidated Elementary School District No. 231,NA,44400,2020,School District,8720161,6985000,161,0,1735000,0,1067288,0,9733478,0,0,0,0,0,23763116,-2024869,25787985,0,0,0,23763116,FALSE,rochelle community consolidated esd 231,0.3669620179441114, Below 1%,Illinois,NA,NA
Rock Island-Milan School District No. 41,NA,33114,2020,School District,101741859,42314522,5417461,0,0,0,8226049,0,45304138,0,479689,876267,47011683,0,72114047,6496235,113505762,0,0,0,120001997,FALSE,rock island-milan sd 41,0.8478347156172743, Below 1%,Illinois,NA,NA
Round Lake Area Schools Community Unit District No 116,NA,33039,2020,School District,133276687,52119002,12659120,0,0,0,4725588,0,63118911,0,342546,756706,47450278,0,99195674,7298780,140103878,0,0,0,147402658,FALSE,round lake area schools community unit district 116,0.9041674608065752, Below 1%,Illinois,NA,NA
Salem Elementary School District 111,NA,33090,2020,School District,1898559,1755000,0,41372,0,143559,0,0,0,0,0,0,0,0,10803478,659905,10143573,0,0,0,10803478,FALSE,salem esd 111,0.17573590652936028, Below 1%,Illinois,NA,NA
Skokie/Morton Grove School District No. 69,NA,46301,2020,School District,62005357,44269687,714260,278621,0,0,1419211,45635,15270937,0,52641,649991,13698126,0,30657536,677297,44328356,0,0,0,45005653,FALSE,skokie/morton grove sd 69,1.3777237495032013,1 - 5%,Illinois,NA,NA
"South Suburban College, Community School District No. 510",NA,32973,2020,School District,54071493,24818708,4800203,0,0,0,0,0,21287792,0,1006332,0,0,0,56765705,-1610940,58376645,4203556,106338077,0,110541633,FALSE,"south suburban college, csd 510",0.48915048142992423, Below 1%,Illinois,NA,NA
Southern Will County Cooperative for Special Education,NA,33161,2020,School District,0,0,0,0,0,0,878523,0,9351729,0,0,0,0,0,15920980,36915,15884065,0,0,0,15920980,FALSE,southern will county cooperative for special education,0, Below 1%,Illinois,NA,NA
Southwest Cook County Cooperative Association for Special Education,NA,32964,2020,School District,16201006,0,2669959,0,0,0,2007687,0,11477565,0,45795,23090776,7158109,0,2538901,-452827,33240613,0,0,0,32787786,FALSE,southwest cook county cooperative association for special education,0.4941171081206886, Below 1%,Illinois,NA,NA
Special Education Association of Peoria County,NA,40463,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28070505,1354500,26716005,0,0,0,28070505,FALSE,special education association of peoria county,0, Below 1%,Illinois,NA,NA
Special Education District of Lake County,NA,167533,2020,School District,39770355,2706637,10504042,0,0,0,4234281,0,22205987,0,119408,41965857,40638034,0,452687,1596728,81459850,0,0,0,83056578,FALSE,special education district of lake county,0.47883450001997435, Below 1%,Illinois,NA,NA
Special Education District of Mchenry County,NA,41935,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635048,-45382,5680430,0,0,0,5635048,FALSE,special education district of mchenry county,0, Below 1%,Illinois,NA,NA
Speed S.E.J.A. 802,NA,32965,2020,School District,2127,0,2127,0,0,0,0,0,0,0,0,0,0,0,28200997,-569693,28770690,0,0,0,28200997,FALSE,speed s e j a 802,7.542286536890877e-5, Below 1%,Illinois,NA,NA
Sterling Community Unit District No.5,NA,33152,2020,School District,49952838,25765446,3854604,806684,0,0,2181509,0,17235090,0,107495,676195,17146895,170850,33030660,1770981,49253619,4494895,0,0,51024600,FALSE,sterling community unit district 5,0.978995190555144, Below 1%,Illinois,NA,NA
Streator Educational Service District No. 44,NA,167536,2020,School District,4653825,4655000,-1175,0,0,0,0,0,0,0,0,0,0,0,26921041,-378013,27299054,0,0,0,26921041,FALSE,streator educational service district 44,0.17286942952911813, Below 1%,Illinois,NA,NA
Tazewell-Mason Counties Special Education Association,NA,33141,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11792949,278876,11514073,0,0,0,11792949,FALSE,tazewell-mason counties special education association,0, Below 1%,Illinois,NA,NA
Township High School District 211,NA,224226,2020,School District,159657637,0,12392012,0,0,0,11748745,11606403,133729925,0,1786955,7014749,113807481,0,241360137,2892528,359289839,0,0,0,362182367,FALSE,twp hsd 211,0.44082112092442094, Below 1%,Illinois,NA,NA
Township High School District 214,NA,224227,2020,School District,199392206,33606090,7966967,579242,0,0,15559596,0,139465247,0,2215064,12513212,108338681,23026,247155609,20035989,347994539,0,0,0,368030528,FALSE,twp hsd 214,0.5417817024135563, Below 1%,Illinois,NA,NA
Triad Community Unit District No.2,NA,33084,2020,School District,48401005,45109730,2774,549396,2739105,0,2648099,0,0,0,0,0,0,0,58910601,-2519071,61429672,0,0,0,58910601,FALSE,triad community unit district 2,0.8216009373253551, Below 1%,Illinois,NA,NA
Troy Community Consolidated School District 30-C,NA,66017,2020,School District,58365000,58365000,0,5781374,0,0,0,0,649632,0,0,0,0,0,78474090,3189431,75284659,0,0,0,78474090,FALSE,troy ccsd 30-c,0.7437486691467209, Below 1%,Illinois,NA,NA
Valley View Public Schools Community Unit District,NA,33159,2020,School District,548128910,340061264,19480719,2331740,4735043,0,31684865,0,148597662,0,0,8213888,127644540,50000,258175981,15018817,379065592,0,8022940,0,394084409,FALSE,valley view public schools community unit district,1.3908921476769207,1 - 5%,Illinois,NA,NA
Vermilion Association of Special Education,NA,61700,2020,School District,4778163,0,17858,0,0,0,230487,0,0,0,0,0,0,0,7823470,480087,7343383,0,0,0,7823470,FALSE,vermilion association of special education,0.6107472771033825, Below 1%,Illinois,NA,NA
Vermilion County School District 2 Westville Commmunity Unit,NA,167550,2020,School District,34974388,2920000,9981,0,0,0,893072,0,0,0,0,0,0,0,17922405,377675,17544730,0,0,0,17922405,FALSE,vermilion county sd 2 westville commmunity unit,1.951433861694343,1 - 5%,Illinois,NA,NA
West Aurora School District 129,NA,33021,2020,School District,263212711,130820359,15806703,5413710,0,0,15664502,0,94909333,0,598104,2190233,94607441,0,163860196,25052620,235605250,0,0,0,260657870,FALSE,west aurora sd 129,1.0098015110765695,1 - 5%,Illinois,NA,NA
West Carroll Community School Dist No 314,NA,167554,2020,School District,8208435,8150000,13592,44843,0,0,2544285,0,0,0,0,0,0,0,19937508,2234610,17702898,0,0,0,19937508,FALSE,west carroll community school dist 314,0.41170817335847587, Below 1%,Illinois,NA,NA
West Central Illinois Special Education Cooperative,NA,33061,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15387336,411556,14975780,0,0,0,15387336,FALSE,west central illis spec educ coop,0, Below 1%,Illinois,NA,NA
West Chicago Elementary School - District 33,NA,167555,2020,School District,82968421,30993443,9603068,0,0,0,6634228,0,35737682,0,0,252582,36802199,0,65200147,2733871,99521057,0,0,0,102254928,FALSE,west chicago elementary school - district 33,0.8113879949140447, Below 1%,Illinois,NA,NA
West Harvey Dixmoor School District 147,NA,32958,2020,School District,4465785,4465000,785,0,0,0,636141,0,6058132,0,0,32594,10262196,0,14737076,5219776,19812090,0,0,0,25031866,FALSE,west harvey dixmoor sd 147,0.17840399912655333, Below 1%,Illinois,NA,NA
Westchester Public School District 92 1/2,NA,167556,2020,School District,14262789,13459431,0,803358,0,0,1099418,0,8067016,0,0,419005,7547725,0,15549545,896804,22619471,0,0,0,23516275,FALSE,westchester sd 92 1/2,0.6065071530248732, Below 1%,Illinois,NA,NA
Williamson County Special Education District,NA,42005,2020,School District,14518090,0,119662,0,0,220000,611469,0,12502182,0,0,229801,16596216,0,12362178,-517479,29705674,0,0,0,29188195,FALSE,williamson county special education district,0.497395950657449, Below 1%,Illinois,NA,NA
Zion Benton Township High School District No. 126,NA,196594,2020,School District,35829459,4602143,937577,785645,4652693,0,1806231,721540,22903445,0,141726,1986925,18408754,0,48729754,11353392,57772041,0,0,0,69125433,FALSE,zion benton twp hsd 126,0.5183252739986454, Below 1%,Illinois,NA,NA
