acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Community Consolidated School District 59,NA,64826,2020,School District,135505056,37686462,14948226,0,0,0,15545647,0,66941122,0,307173,1006760,56947252,50000,108606049,3809103,162800958,0,0,0,166610061,FALSE,ccsd 59,0.8133065625610688, Below 1%,Illinois,NA,NA
Community Consolidated School District No. 65,NA,44008,2020,School District,75138470,75025785,112685,0,0,0,8543901,0,78271291,0,0,2289697,76000645,289800,127019266,6214786,199384622,0,0,0,205599408,FALSE,ccsd 65,0.36546053673461937, Below 1%,Illinois,NA,NA
Community Unit School District 100,NA,42064,2020,School District,23434987,23020559,89543,1326785,0,0,1964231,0,0,0,0,0,0,0,38467923,41332,38426591,0,0,0,38467923,FALSE,cusd 100,0.6092085346016732, Below 1%,Illinois,NA,NA
Community Unit School District 303,NA,33020,2020,School District,175456463,33145608,19291323,0,1295002,0,21311503,0,96860618,0,827809,7228136,84174425,50000,175362688,8745653,258069596,0,0,0,266815249,FALSE,cusd 303,0.657595334815365, Below 1%,Illinois,NA,NA
Community Unit School District No. 140,NA,65415,2020,School District,0,882400,0,151075,0,0,0,0,0,0,0,0,0,0,30950070,1499576,29450494,0,0,0,30950070,FALSE,cusd 140,0, Below 1%,Illinois,NA,NA
Community Unit School District No. 20,NA,189368,2020,School District,5280064,5280000,64,0,0,0,507621,1380102,0,0,0,0,0,0,16200527,256735,15943792,0,0,0,16200527,FALSE,cusd 20,0.32591927410756455, Below 1%,Illinois,NA,NA
Consolidated High School District 230,NA,32910,2020,School District,28897009,28874413,22596,0,0,0,9924540,0,88844741,0,0,4815670,65608103,0,126838777,4284949,192977601,0,0,0,197262550,FALSE,consolidated hsd 230,0.14649009150495115, Below 1%,Illinois,NA,NA
Cook County Midlothian School District No. 143,NA,167447,2020,School District,2375000,2375000,0,0,0,0,1010681,0,10955044,0,0,635820,3157904,0,20004375,2400951,21397148,0,0,0,23798099,FALSE,cook county midlothian sd 143,0.09979788721779836, Below 1%,Illinois,NA,NA
Cook County School District 104,NA,32955,2020,School District,42868407,24387239,765032,2665641,0,0,2613562,0,12303681,0,133252,293681,14475478,0,28790923,2215665,41344417,0,0,0,43560082,FALSE,cook county sd 104,0.9841213567963439, Below 1%,Illinois,NA,NA
Cook County School District 151,NA,32952,2020,School District,13997167,13820971,176196,0,0,0,1435699,0,10707958,0,0,40021,12379883,96730,24786343,1468472,35834505,0,0,0,37302977,FALSE,cook county sd 151,0.37522922098147826, Below 1%,Illinois,NA,NA
Cooperative Association for Special Education,NA,47194,2020,School District,13916937,0,1155583,0,0,0,2092335,0,10669019,0,0,18335555,13038143,0,1664978,2473722,30564954,0,0,0,33038676,FALSE,cooperative association for special education,0.4212316801072779, Below 1%,Illinois,NA,NA
Country Club Hill School District 160,NA,171229,2020,School District,13772610,13584173,0,0,188437,0,631146,14657,9479517,0,0,46003,6127790,0,16655585,1484046,21345332,0,0,0,22829378,FALSE,country club hill sd 160,0.6032845047289506, Below 1%,Illinois,NA,NA
Crete-Monee School District 201-U,NA,33154,2020,School District,131894294,84709296,7350571,558753,0,0,4692593,0,33473711,0,265615,791860,34872117,50000,71945022,5210151,102448848,0,0,0,107658999,FALSE,crete-monee sd 201-u,1.2251116509080675,1 - 5%,Illinois,NA,NA
"Dewitt, Livingston, Logan, and Mclean  Counties Regional Office of Education No. 17",NA,171053,2020,School District,2304337,0,309863,1825,0,0,343390,0,1649259,0,0,486165,1557505,0,4702862,520901,6225631,0,0,0,6746532,FALSE,"dewitt, livingston, logan, and mclean counties roe 17",0.34155874455201574, Below 1%,Illinois,NA,NA
Dolton West School District 148,NA,32916,2020,School District,31962939,25206997,6755942,0,0,0,347829,0,0,0,0,0,0,0,55111809,-1395704,56507513,0,0,0,55111809,FALSE,dolton west sd 148,0.5799653391889205, Below 1%,Illinois,NA,NA
Downers Grove Grade School District No. 58,NA,32983,2020,School District,69124459,10305191,5592785,766823,0,0,11028427,0,41307700,0,123533,2816989,35475774,50000,63797799,-255795,102396357,0,0,0,102140562,FALSE,downers grove grade sd 58,0.6767581619533286, Below 1%,Illinois,NA,NA
Dupage County School District 45,NA,32990,2020,School District,69323228,34590491,3761066,0,0,0,5783474,0,24893322,0,294875,222856,20733914,0,45468246,-2085468,68510484,0,0,0,66425016,FALSE,dupage county sd 45,1.0436313331110074,1 - 5%,Illinois,NA,NA
East Alton Elementary School District No. 13,NA,33079,2020,School District,4416175,4118600,251500,46075,0,0,1121954,0,0,0,0,0,0,0,14386691,498668,13888023,0,0,0,14386691,FALSE,east alton esd 13,0.30696252529508, Below 1%,Illinois,NA,NA
East Peoria Elementary School District No. 86,NA,33137,2020,School District,11476705,11476705,0,0,0,0,0,0,0,0,0,0,0,0,28216293,1248902,26967391,0,0,0,28216293,FALSE,east peoria esd 86,0.4067403538799374, Below 1%,Illinois,NA,NA
East St. Louis Area Joint Agreement,NA,33122,2020,School District,79695594,23390239,8048682,0,0,0,3413306,13936524,38397772,0,3608697,2001662,66535690,0,67092517,6385717,129244152,0,0,0,135629869,FALSE,east st louis area joint agreement,0.5875961879753788, Below 1%,Illinois,NA,NA
Eastern Illinois Area of Special Education,NA,47463,2020,School District,1849896,0,1849896,0,0,0,0,0,0,0,0,0,0,0,23610771,642179,22968592,0,0,0,23610771,FALSE,eastern illis area of special education,0.07834966507446961, Below 1%,Illinois,NA,NA
Echo Joint Agreement,NA,32962,2020,School District,1673985,0,-301145,0,1975130,0,2351720,0,11698748,0,0,22353738,20040607,0,5550798,4150983,43794160,0,0,0,47945143,FALSE,echo joint agreement,0.03491458978441257, Below 1%,Illinois,NA,NA
