state.abb,county,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,id,state.name,population
IA,Dallas County,2020,General Purpose,41463401,0,5221357,0,0,25455000,7475146,0,1688633,0,1530254,5300519,7241181,628208,35136561,7508695,40797774,0,0,0,48306469,0500000US19049,Iowa,99678
NC,Cleveland County,2020,General Purpose,127725395,11165000,11760747,582019,0,0,18449412,161170,20120659,0,4410314,17303787,21972008,4827703,95692634,-9468606,149264738,0,0,0,139796132,0500000US37045,North Carolina,99519
MI,Lenawee County,2020,General Purpose,49458350,22036912,4996146,4844624,0,0,15561221,262329,282865,0,1736582,24747538,15225323,0,26970485,6215420,60727926,1267996,1073019,0,66943346,0500000US26091,Michigan,99423
IA,Dubuque County,2020,General Purpose,51983816,28883751,4076020,747572,205561,0,10354574,0,2068064,0,5648274,13959499,7377941,5306505,46471352,12258775,60856522,0,0,0,73115297,0500000US19061,Iowa,99266
TN,Madison County,2020,General Purpose,95147236,73696253,2751792,1135831,0,8276000,0,4968985,6471574,0,2815786,13862715,11841010,94000,58803008,15655863,68944870,0,0,0,84600733,0500000US47113,Tennessee,98823
GA,Floyd County,2020,General Purpose,58159833,2675885,7048903,646508,2750000,2562012,24150014,0,6453119,0,4754241,18381688,8207647,2753953,73685923,-4910897,107940108,0,0,0,103029211,0500000US13115,Georgia,98584
IA,Story County,2020,General Purpose,25121536,9404148,2158012,1762566,0,0,8711623,0,1508183,0,912814,4218380,5809355,2912373,33667347,5177895,41429560,0,0,0,46607455,0500000US19169,Iowa,98537
ND,Burleigh County,2020,General Purpose,120603980,56410585,4731950,509188,6927227,0,49164701,0,1197388,0,1662941,10633910,14357668,1662441,35380353,-521997,62556369,0,0,0,62034372,0500000US38015,North Dakota,98458
TN,Sevier County,2020,General Purpose,132567941,72970270,4249008,0,49721699,0,0,11915145,4726964,0,0,19379348,6356005,251474,65118982,7885253,83220556,0,0,0,91105809,0500000US47155,Tennessee,98380
OH,Ashtabula County,2020,General Purpose,119315696,20406165,6646693,4590606,10622144,160714,43540857,588160,30164030,0,3126582,21430566,46945796,1037975,38673793,7310079,100778051,0,0,0,108088130,0500000US39007,Ohio,97574
TX,Bastrop County,2020,General Purpose,86503467,42487870,4060428,93338,0,0,4834705,0,34187316,0,839810,12571459,6116890,4709187,47239433,4885184,65751785,0,0,0,70636969,0500000US48021,Texas,97216
MN,Sherburne County,2020,General Purpose,100629952,41817257,7185318,0,395744,0,34995551,0,8500432,0,7735650,30374906,37656706,1309538,65487566,18152741,116675975,0,0,0,134828716,0500000US27141,Minnesota,97183
VA,Roanoke County,2020,General Purpose,268253281,176726541,19085918,0,0,0,51689185,0,11610305,0,6196165,12950046,31976337,0,175224579,-5911289,226062251,0,0,0,220150962,0500000US51161,Virginia,96929
GA,Walton County,2020,General Purpose,130273100,63133165,7369912,0,10241743,27922734,16961476,0,0,0,2459202,25490369,3326907,387747,71505902,1846004,98864921,0,0,0,100710925,0500000US13297,Georgia,96673
SC,Lancaster County,2020,General Purpose,110172717,43158490,8174706,620000,0,0,51456686,0,4070482,0,1606138,17433516,5070517,3349607,71204211,18361177,78696674,0,0,0,97057851,0500000US45057,South Carolina,96016
OH,Geauga County,2020,General Purpose,121933159,13637372,8181321,10723,10718212,0,47307948,437630,32547017,13619,3558106,17305627,28401265,1121851,64064677,11626333,99267087,0,0,0,110893420,0500000US39055,Ohio,95397
NJ,Cape May County,2020,General Purpose,407987377,144660000,0,896329,4050659,0,123639108,0,353365411,0,7477088,0,0,0,196485831,12293942,184191889,0,0,0,196485831,0500000US34009,New Jersey,95263
MI,Grand Traverse County,2020,General Purpose,67433298,11999615,5289159,0,0,0,45276805,0,1603080,0,2990643,39611844,18566976,0,33274569,5278353,86175036,0,0,0,91453389,0500000US26055,Michigan,95238
OR,Benton County,2020,General Purpose,92278533,24386177,5487796,0,6265000,0,47599257,0,4602021,533956,3938282,24724145,33081450,1003151,33576640,1751126,90634260,0,0,0,92385386,0500000US41003,Oregon,95184
NC,Nash County,2020,General Purpose,149678652,19916442,6433602,63962,3374665,0,15004573,151721,58715917,0,2948920,12624980,19011390,2524993,75593726,2796009,106959080,0,0,0,109755089,0500000US37127,North Carolina,94970
IA,Pottawattamie County,2020,General Purpose,22809822,0,2314768,0,0,3320000,12505127,0,2261430,0,2408497,7062503,11190677,3384742,57852018,7704183,71785757,0,0,0,79489940,0500000US19155,Iowa,93667
NY,Steuben County,2020,General Purpose,234685568,34672406,0,0,0,0,42205650,0,89319538,0,6172397,23984956,43035748,15125064,113991932,1303115,194834585,0,0,0,196137700,0500000US36101,New York,93584
GA,Rockdale County,2020,General Purpose,233905267,81656764,14783942,0,0,20531090,30601118,0,71213178,0,3757261,50342091,9557078,1049183,87855530,3927581,144876301,0,0,0,148803882,0500000US13247,Georgia,93570
WI,St. Croix County,2020,General Purpose,75807768,52277857,9742425,0,0,8104000,0,0,1296926,0,4386560,34301802,17206313,316031,50816161,9453409,93186898,0,0,0,102640307,0500000US55109,Wisconsin,93536
OH,Tuscarawas County,2020,General Purpose,72539028,6354951,4900788,236311,4958211,0,32169614,174250,21317907,50351,2476392,10083979,28765389,3101278,37813719,6432850,73331515,0,0,0,79764365,0500000US39157,Ohio,93263
TX,Bowie County,2020,General Purpose,35725560,21327170,2805876,110674,0,390919,4816476,0,5535517,0,233963,10857527,4118063,0,29915147,-4870125,49760862,0,0,0,44890737,0500000US48037,Texas,92893
MD,Calvert County,2020,General Purpose,298296746,155533187,47536064,0,0,11118014,24610217,0,37603994,0,14222663,39481640,9485075,1313715,308418626,35988334,322710722,0,0,0,358699056,0500000US24009,Maryland,92783
KY,Madison County,2020,General Purpose,0,12020000,0,307329,1842975,0,0,0,0,0,0,13165914,389840,0,19113360,-1864430,34533544,0,0,0,32669114,0500000US21151,Kentucky,92701
