"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"11","Austin","44222700100000",38712,"General Purpose",15202009000,6967251000,536339000,27022000,0,366480000,3003314000,0,3504494000,0,180250000,2646659000,214917000,208269000,1176219000,-333681000,4579745000,0,0,0,4246064000,FALSE,"1600000US4805000","Austin city","Texas",961855,"TX","CITY OF AUSTIN","AUSTIN","TRAVIS"
"12","Jacksonville","10201600300000",32292,"General Purpose",6319925000,2317159000,199668000,0,79526000,75170000,2985785000,0,261160000,0,145220000,267416000,280509000,41783000,1533763000,-40535000,2164006000,81845000,3622000,0,2123471000,FALSE,"1600000US1235000","Jacksonville city","Florida",949611,"FL","CITY OF JACKSONVILLE","JACKSONVILLE","DUVAL"
"13","Fort Worth","44222001100000",38708,"General Purpose",6248476000,2116025000,379448000,1473000,243824000,56890000,2259058000,0,970878000,0,160866000,681717000,662064000,283756000,962521000,2075307000,514751000,0,0,0,2590058000,FALSE,"1600000US4827000","Fort Worth city","Texas",918915,"TX","CITY OF FORT WORTH","FORT WORTH","TARRANT"
"14","Columbus","36202500300000",44337,"General Purpose",7128521000,4753916000,239192000,0,0,44334000,1466875000,0,471418000,0,116703000,785156000,330695000,104070000,1248105000,271881000,2196145000,0,0,0,2468026000,FALSE,"1600000US3918000","Columbus city","Ohio",905748,"OH","CITY OF COLUMBUS","COLUMBUS","FRANKLIN"
"15","Indianapolis","15204900800000",33244,"General Purpose",2742963000,1264678000,155357000,28473000,0,119772000,867115000,0,259666000,0,43268000,111523000,343609000,42026000,759827000,239334000,1017651000,0,0,0,1256985000,FALSE,"1600000US1836003","Indianapolis city (balance)","Indiana",887642,"IN","CITY OF INDIANAPOLIS","INDIANAPOLIS","MARION"
"16","Charlotte","34206000100000",36713,"General Purpose",6759442000,3320636000,575342000,0,274074000,346539000,618604000,0,531962000,0,87508000,959272000,107838000,223111000,994777000,258473000,2026525000,0,0,0,2284998000,FALSE,"1600000US3712000","Charlotte city","North Carolina",874579,"NC","CITY OF CHARLOTTE","CHARLOTTE","MECKLENBURG"
"17","San Francisco","05203800100000",54175,"General Purpose",9729942000,8849541000,286714000,0,0,0,278176000,0,256506000,0,21807000,0,0,49292000,1112261000,-216924000,1378477000,943879000,168382000,0,1161553000,FALSE,"1600000US0667000","San Francisco city","California",873965,"CA","CITY AND COUNTY OF SAN FRANCISCO","SAN FRANCISCO","SAN FRANCISCO"
"18","Seattle","48201702100000",39553,"General Purpose",9163846000,5619166000,643409000,168000,0,91115000,1471420000,276045000,673085000,0,143102000,2387041000,395179000,72292000,1727222000,196967000,4384767000,0,0,0,4581734000,FALSE,"1600000US5363000","Seattle city","Washington",737015,"WA","CITY OF SEATTLE","SEATTLE","KING"
"19","Denver","06201600100000",42941,"General Purpose",11288224000,7772948000,713552000,420341000,0,7565000,1699959000,17721000,249680000,0,197846000,1112258000,329212000,147029000,2119106000,35655000,3671950000,0,0,0,3707605000,FALSE,"1600000US0820000","Denver city","Colorado",715522,"CO","CITY AND COUNTY OF DENVER","DENVER","DENVER"
"20","Government of the District of Columbia","09200100100000",47298,"General Purpose",17091665000,6800186000,2362726000,74743000,367423000,0,229413000,596347000,0,19048000,494687000,1204996000,5851947000,278833000,9061957000,-156882000,16554615000,0,0,0,16397733000,FALSE,"1600000US1150000","Washington city","District of Columbia",689545,"DC","CITY OF WASHINGTON DC","WASHINGTON","WASHINGTON DC"
"21","Oklahoma City","37205501500000",125837,"General Purpose",2204253000,1079235000,125893000,11000,0,16803000,288492000,11458000,425090000,0,92640000,187223000,103849000,53927000,732291000,67477000,1009813000,0,0,0,1077290000,FALSE,"1600000US4055000","Oklahoma City city","Oklahoma",681054,"OK","CITY OF OKLAHOMA CITY","OKLAHOMA CITY","OKLAHOMA"
"22","El Paso","44207100200000",43166,"General Purpose",2782722728,1608864857,175729645,7552341,0,7059380,590743738,0,156786139,0,69805882,248370140,90009016,31837251,562855469,88901985,844169891,0,0,0,933071876,FALSE,"1600000US4824000","El Paso city","Texas",678815,"TX","CITY OF EL PASO","EL PASO","EL PASO"
"23","Boston","22201300100000",34032,"General Purpose",6518670000,1208360000,591067000,56410000,0,23308000,1754871000,0,2273281000,0,250008000,305892000,788801000,38382000,3126113000,613786000,3645402000,0,0,0,4259188000,FALSE,"1600000US2507000","Boston city","Massachusetts",675647,"MA","CITY OF BOSTON","BOSTON","SUFFOLK"
"24","Portland","38202600300000",37572,"General Purpose",9174347541,3226187185,330486470,27847077,171949990,0,5078795811,0,84298521,7679943,96499054,1200566770,61943758,218326797,849680285,79069857,2251447753,0,0,0,2330517610,FALSE,"1600000US4159000","Portland city","Oregon",652503,"OR","CITY OF PORTLAND","PORTLAND","MULTNOMAH"
"25","Las Vegas","29200200200000",35519,"General Purpose",1814290240,646092887,97549812,1754720,0,0,878316585,0,55107913,0,48860079,330284946,146134231,252074885,496501417,266783614,958211865,0,0,0,1224995479,FALSE,"1600000US3240000","Las Vegas city","Nevada",641903,"NV","CITY OF LAS VEGAS","LAS VEGAS","CLARK"
"26","Detroit","23208200400000",34317,"General Purpose",5377049394,2822384399,466040162,0,26503010,0,1792678121,37262730,0,0,98596755,783231122,345717294,34525983,991664813,-27406870,2182546082,0,0,0,2155139212,FALSE,"1600000US2622000","Detroit city","Michigan",639111,"MI","CITY OF DETROIT","DETROIT","WAYNE"
"27","Memphis","43207900500000",38563,"General Purpose",4403060000,1870382000,605559000,28184000,296682000,53532000,578293000,0,933940000,0,132839000,2002165000,60921000,13834000,792533000,-55604000,2925057000,0,0,0,2869453000,FALSE,"1600000US4748000","Memphis city","Tennessee",633104,"TN","CITY OF MEMPHIS","MEMPHIS","SHELBY"
"28","Baltimore","21200400100000",33980,"General Purpose",9195780000,4003667000,821471000,157753000,13919000,0,1875711000,9121000,1245666000,0,175875000,743585000,378546000,314112000,1756858000,-115150000,3308251000,0,0,0,3193101000,FALSE,"1600000US2404000","Baltimore city","Maryland",585708,"MD","CITY OF BALTIMORE","BALTIMORE","BALTIMORE CITY"
"29","Milwaukee","50204100900000",39892,"General Purpose",4631245000,1322744000,189324000,0,303147000,180000000,850751000,0,1690355000,0,50710000,408224000,165929000,13549000,700924000,-296004000,1584630000,98587,4931,493,1288626000,FALSE,"1600000US5553000","Milwaukee city","Wisconsin",577222,"WI","CITY OF MILWAUKEE","MILWAUKEE","MILWAUKEE"
"30","Albuquerque","32200100100000",35917,"General Purpose",2308654159,631777067,201164074,0,25544834,0,773785015,0,256989344,0,47498529,220210849,89662962,69351254,740933930,37016534,1083142461,0,12673342,0,1120158995,FALSE,"1600000US3502000","Albuquerque city","New Mexico",564559,"NM","CITY OF ALBUQUERQUE","ALBUQUERQUE","BERNALILLO"
