state,acfrs_original_name,name
IN, switzerland county school corporation - ecas ,switzerland county
IN, taylor community school corporation - ecas ,taylor
IN, the bloomington project school ,the bloomington project school
IN, tippecanoe school corporation - ecas ,tippecanoe
IN, tipton community school corporation - ecas ,tipton
IN, tri-central community schools - ecas ,tri central
IN, tri-county school corporation - ecas ,tri county
IN, tri-county school corporation ,tri county
IN, tri-creek school corporation - ecas ,tri creek
IN, triton school corporation - ecas ,triton
IN, union county college corner joint school district ,union county college corner joint
IN, union township school corporation - ecas ,union township
IN, vanguard collegiate of indianapolis ,vanguard collegiate of indianapolis
IN, vigo county school corporation - ecas ,vigo county
IN, vincennes community school corporation - ecas ,vincennes
IN, wa-nee community schools - ecas ,wa nee
IN, warrick county school corporation - ecas ,warrick county
IN, warsaw community schools - ecas ,warsaw
IN, west central school corporation - ecas ,west central
IN, west noble school corporation - ecas ,west noble
IN, west washington school corporation - ecas ,west washington
IN, western school corporation - ecas ,western
IN, westview school corporation - ecas ,westview
IN, white river valley school district - eca ,white river valley eca
IN, whitely county cnsld school corporation - ecas ,whitely county cnsld
IN, whitko community school corporation - ecas ,whitko
