acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Sulphur Bluff Independent School District,163976,2020,2779602,455000,234542,0,0,750223,545433,0,794404,0,0,150525,432045,0,3079919,204332,3458157,0,0,0,3662489,sulphur bluff,0.7589379790628723, Below 1%,Texas,4841790,SULPHUR BLUFF ISD,Hopkins County,224
Clay County Board of Education,105270,2020,5366963,0,335556,0,0,0,2751486,0,2279920,0,0,13202,3044751,77220,1963123,636307,4461989,0,0,0,5098296,clay,1.052697411056557,1 - 5%,Georgia,1301200,Clay County,Clay County,223
Tintic School District,102452,2020,2549366,860000,440065,0,0,0,1249301,0,0,0,0,425252,1673431,200000,3151690,656919,4793454,0,0,0,5450373,tintic,0.467741565577255, Below 1%,Utah,4901020,Tintic District,Juab County,222
Alanson Public Schools,161469,2020,7002227,2000000,348685,0,0,0,3778694,0,846465,0,28383,123638,802843,38315,2054679,-79393,3098868,0,0,0,3019475,alanson,2.319021353049785,1 - 5%,Michigan,2621810,Alanson Public Schools,Emmet County,221
Tehama County Department of Education,109755,2020,29758292,0,4919326,0,0,126000,24524413,0,0,0,188553,1599246,15108745,0,14608415,-951122,32267528,0,0,0,31316406,tehama  department of education,0.9502460786847635, Below 1%,California,0691043,Tehama County Department of Education,Tehama County,221
Aspermont Independent School District,163331,2020,8309260,6717308,114174,0,0,226198,490229,0,761351,0,0,107053,551335,0,3496859,48944,4106303,0,0,0,4155247,aspermont,1.9997030260776314,1 - 5%,Texas,4800006,ASPERMONT ISD,Stonewall County,220
Clarkson Public Schools,108730,2020,0,0,0,0,0,0,1051145,0,0,0,0,208487,487410,0,3625237,-251655,4572789,0,0,0,4321134,clarkson,0, Below 1%,Nebraska,3105160,CLARKSON PUBLIC SCHOOLS,Colfax County,220
Daggett School District,102371,2020,3889580,2003000,643768,0,0,43535,1083334,0,0,0,111088,410229,1116224,50000,3603162,533701,4645914,0,0,0,5179615,daggett,0.7509399829910138, Below 1%,Utah,4900180,Daggett District,Daggett County,219
Mclean Independent School District,163780,2020,3330731,1203528,836979,0,0,0,500551,0,789673,0,0,42485,515712,0,2737754,-41074,3337025,0,0,0,3295951,mclean,1.0105523413424533,1 - 5%,Texas,4829880,MCLEAN ISD,Gray County,218
Grenada Elementary School District,146187,2020,2185417,0,23974,0,0,0,2161443,0,0,0,0,116552,407112,0,2276851,-39375,2839890,0,0,0,2800515,grenada elementary,0.780362540461308, Below 1%,California,0616110,Grenada Elementary,Siskiyou County,217
Prairie Lea Independent School District,163861,2020,1659976,0,207298,0,0,13275,648994,0,790139,0,0,15597,447426,0,2485102,-42773,2990898,0,0,0,2948125,prairie lea,0.5630616069535722, Below 1%,Texas,4835700,PRAIRIE LEA ISD,Caldwell County,217
Gordon Independent School District,163610,2020,1201198,0,127723,0,0,0,412539,0,660936,0,0,84890,398425,0,2445764,213947,2715132,0,0,0,2929079,gordon,0.4100940944235372, Below 1%,Texas,4821180,GORDON ISD,Palo Pinto County,216
San Mateo County Office of Education,42663,2020,155357798,0,78058442,0,0,0,61331528,0,14811349,0,1156479,22314190,45314533,22529,118727310,5700705,180677857,0,0,0,186378562,san mateo  office of education,0.8335604499405892, Below 1%,California,0691033,San Mateo County Office of Education,San Mateo County,216
Southside Elementary School District,146675,2020,1914784,0,128748,0,0,0,1786036,0,0,0,0,19376,427372,0,1860751,-20883,2328382,0,0,0,2307499,southside elementary,0.8298092436876462, Below 1%,California,0637650,Southside Elementary,San Benito County,215
Osceola Public Schools,109384,2020,0,7710000,0,10987,0,0,1193710,0,0,0,0,46911,413616,0,4574847,-4186939,9222313,0,0,0,5035374,osceola,0, Below 1%,Nebraska,3175000,OSCEOLA PUBLIC SCHOOLS,Polk County,214
Waukena Joint Union Elementary School District,146764,2020,4564201,1948465,399007,0,0,0,2202478,0,0,0,0,8039,265160,0,2578784,-113084,2965067,0,0,0,2851983,waukena joint union elementary,1.6003605210830498,1 - 5%,California,0641820,Waukena Joint Union Elementary,Tulare County,214
Wilcox-Hildreth Public Schools,109738,2020,5480000,0,0,5480000,0,0,1155406,0,0,0,0,45859,510258,3773,5053718,936816,4676792,0,0,0,5613608,wilcox-hildreth,0.9761992643590361, Below 1%,Nebraska,3100134,WILCOX-HILDRETH PUBLIC SCHOOLS,Kearney County,213
