"","name","government_ID","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"48","Toledo","36204800700000","General Purpose",1732226000,558552000,48479000,2894000,514109000,73360000,367616000,0,113536000,0,37817000,270963000,31914000,21487000,237239000,82140000,479463000,81875000,2097000,120000,561603000,FALSE,"1600000US3977000","Toledo city","Ohio",270871,"OH","CITY OF TOLEDO","TOLEDO","LUCAS"
"49","Reno","29201600100000","General Purpose",1064576354,481381079,41238414,0,0,0,249852734,0,168272737,0,25389581,161650132,30352867,85458386,201181621,112868083,365774923,0,0,0,478643006,FALSE,"1600000US3260600","Reno city","Nevada",264165,"NV","CITY OF RENO","RENO","WASHOE"
"50","Fort Wayne","15200200100000","General Purpose",1390532275,450118903,51344214,42119026,423298902,0,237996172,0,167460423,0,18194635,211287887,44767244,73369335,244497701,64331101,509591066,0,0,0,573922167,FALSE,"1600000US1825000","Fort Wayne city","Indiana",263886,"IN","CITY OF FORT WAYNE","FORT WAYNE","ALLEN"
"51","North Las Vegas","29200200300000","General Purpose",756950708,396609437,36924302,0,0,0,218565388,0,43455396,0,39763823,234123079,31065271,58452341,168964003,103642169,388962525,0,0,0,492604694,FALSE,"1600000US3251800","North Las Vegas city","Nevada",262527,"NV","CITY OF NORTH LAS VEGAS","NORTH LAS VEGAS","CLARK"
"52","St. Petersburg","10205202000000","General Purpose",1355292248,745451000,74380972,6146000,0,107721000,102271391,16809084,224027878,0,32443000,317902373,20202453,4928250,319202170,55497524,606737722,0,0,0,662235246,FALSE,"1600000US1263000","St. Petersburg city","Florida",258308,"FL","CITY OF ST PETERSBURG","ST PETERSBURG","PINELLAS"
"53","Lubbock","44215200200000","General Purpose",1869606346,1249891322,96255991,1988956,6925000,0,167632275,0,150930890,0,38129914,422697601,33399167,43728823,250173473,109007895,640991169,0,0,0,749999064,FALSE,"1600000US4845000","Lubbock city","Texas",257141,"TX","CITY OF LUBBOCK","LUBBOCK","LUBBOCK"
"54","Irving","44205701600000","General Purpose",1041752554,741265712,49882637,2783609,0,0,164966856,0,16706512,0,36386710,155312088,11997065,9530747,288606466,37890309,427556057,0,0,0,465446366,FALSE,"1600000US4837000","Irving city","Texas",256684,"TX","CITY OF IRVING","IRVING","DALLAS"
"55","Laredo","44224000100000","General Purpose",1409404951,781929706,46912739,5653780,0,1480535,250329436,0,265995373,0,44279265,274158530,60130269,30689529,161406688,-23131626,549516642,0,0,0,526385016,FALSE,"1600000US4841464","Laredo city","Texas",255205,"TX","CITY OF LAREDO","LAREDO","WEBB"
"56","Winston-Salem","34203400200000","General Purpose",1083821870,612533418,36104677,38625000,85927365,0,108050925,0,7852505,0,16677959,181544248,27870469,16685511,226456870,52676464,399880634,0,0,0,452557098,FALSE,"1600000US3775000","Winston-Salem city","North Carolina",249545,"NC","CITY OF WINSTON-SALEM","WINSTON SALEM","FORSYTH"
"57","Chesapeake","47210570100000","General Purpose",1137616969,717700020,84316399,0,1319095,0,162210178,0,41676036,0,23227413,147623419,124720601,28940701,554164489,39752932,815696278,78500028,2920588,5468018,855449210,FALSE,"1600000US5116000","Chesapeake city","Virginia",249422,"VA","CITY OF CHESAPEAKE","CHESAPEAKE","CHESAPEAKE CITY"
"58","Garland","44205701200000","General Purpose",1457720709,1039033993,129484878,0,0,0,15972628,0,85640582,0,29549404,492396533,31861124,15018132,186947419,97914077,628309131,0,0,0,726223208,FALSE,"1600000US4829000","Garland city","Texas",246018,"TX","CITY OF GARLAND","GARLAND","DALLAS"
"59","Norfolk","47212200100000","General Purpose",2126539198,1480231849,190368768,0,0,0,319781825,0,75620871,0,26136799,219229604,161602162,1449786,553797136,26726390,909352298,0,0,0,936078688,FALSE,"1600000US5157000","Norfolk city","Virginia",238005,"VA","CITY OF NORFOLK","NORFOLK","NORFOLK CITY"
"60","Boise","13200100100000","General Purpose",224761000,63785000,52760000,1631000,0,0,82764000,54173000,15136000,0,8684000,194227000,43887000,26319000,214621000,86486000,392568000,0,0,0,479054000,FALSE,"1600000US1608830","Boise City city","Idaho",235684,"ID","CITY OF BOISE","BOISE","ADA"
"61","Spokane","48203201000000","General Purpose",886969987,381708721,41087427,361595,105737915,21601900,179376250,61452699,97392855,0,25615819,291079170,27657425,12665955,253138763,56933983,527607330,0,0,0,584541313,FALSE,"1600000US5367000","Spokane city","Washington",228989,"WA","CITY OF SPOKANE","SPOKANE","SPOKANE"
"62","Richmond","47212700100000","General Purpose",2594525942,1801261313,199271710,0,0,33473000,370679024,0,116933633,0,24131176,540541796,39215046,36117578,574942301,73469336,1117347385,0,0,0,1190816721,FALSE,"1600000US5167000","Richmond city","Virginia",226610,"VA","CITY OF RICHMOND","RICHMOND","RICHMOND CITY"
"63","Hialeah","10201300800000","General Purpose",1038077167,119830281,66240270,8609579,865733,10668191,302477430,2878477,441473906,0,32843878,149132127,25349120,12217671,143848620,-24664618,355212156,0,0,0,330547538,FALSE,"1600000US1230000","Hialeah city","Florida",223109,"FL","CITY OF HIALEAH","HIALEAH","MIAMI-DADE"
"64","Tacoma","48202701600000","General Purpose",2178885,0,0,0,0,0,0,0,0,0,0,0,0,0,3743,34637,0,0,0,0,34637,TRUE,"1600000US5370000","Tacoma city","Washington",219346,"WA","CITY OF TACOMA","TACOMA","PIERCE"
"65","Des Moines","16207700500000","General Purpose",866817685,546602773,41591897,22534981,7610000,4311444,177894533,0,22869853,0,0,168206556,68650260,33260236,238104812,71434184,436787680,0,0,0,508221864,FALSE,"1600000US1921000","Des Moines city","Iowa",214133,"IA","CITY OF DES MOINES","DES MOINES","POLK"
"66","Yonkers","33206002800000","General Purpose",4915299122,619039887,311457350,0,2000000,15394238,393017963,3192282,3452182595,0,52157737,90234317,97675473,6916601,1054296336,-173585991,1422708718,0,0,0,1249122727,FALSE,"1600000US3684000","Yonkers city","New York",211569,"NY","CITY OF YONKERS","YONKERS","WESTCHESTER"
"67","Fayetteville","34202600100000","General Purpose",237274660,24575048,24209611,0,50550000,250299,49957771,0,51538394,0,8533156,41379848,24587437,15248757,148420516,12812807,216823751,0,0,0,229636558,FALSE,"1600000US3722920","Fayetteville city","North Carolina",208501,"NC","CITY OF FAYETTEVILLE","FAYETTEVILLE","CUMBERLAND"
"68","Columbus","11210600200000","General Purpose",336657024,114023596,14343076,16405802,0,0,138751358,0,28415762,0,8065806,51677121,6533709,6376202,250050406,42228561,272408877,0,0,0,314637438,FALSE,"1600000US1319000","Columbus city","Georgia",206922,"GA","CONSOLIDATED GOVERNMENT OF COLUMBUS","COLUMBUS","MUSCOGEE"
"69","Worcester","22201400400000","General Purpose",2557768732,739301000,117944563,14769000,0,132012090,480989646,0,1026328269,0,16738000,119274981,452784372,53724728,388831335,-32758586,1047374002,0,0,0,1014615416,FALSE,"1600000US2582000","Worcester city","Massachusetts",206518,"MA","CITY OF WORCESTER","WORCESTER","WORCESTER"
"70","Port St. Lucie","10205650200000","General Purpose",847402277,755870213,41295076,528981,0,0,22989528,0,11426579,0,15291897,154458032,10364305,60135276,143737086,73326181,295368518,0,0,0,368694699,FALSE,"1600000US1258715","Port St. Lucie city","Florida",204851,"FL","CITY OF PORT ST LUCIE","PORT ST LUCIE","ST LUCIE"
"71","Augusta","11212100100000","General Purpose",1000122064,565956157,39726094,760442,0,10820675,105781900,0,215397750,0,9718468,211530959,21452117,21444790,229152353,39647351,443932868,0,0,0,483580219,FALSE,"1600000US1304204","Augusta-Richmond County consolidated government (balance)","Georgia",202081,"GA","CONSOLIDATED GOVERNMENT OF AUGUSTA-RICHMOND COUNTY","AUGUSTA","RICHMOND"
"72","Frisco","44204300600000","General Purpose",999024599,864902311,75918889,0,0,0,37938107,0,3684459,0,16580833,154585094,20906735,97650687,254425099,101810782,425756833,0,0,0,527567615,FALSE,"1600000US4827684","Frisco city","Texas",200509,"TX","CITY OF FRISCO","FRISCO","COLLIN"
"73","Amarillo","44218800100000","General Purpose",612052250,286158313,56056943,4873785,16959943,0,66015179,0,50122902,0,24925020,152229011,47118978,17442824,142010006,44525287,314275532,0,0,0,358800819,FALSE,"1600000US4803000","Amarillo city","Texas",200393,"TX","CITY OF AMARILLO","AMARILLO","POTTER"
"74","Salt Lake City","45201800500000","General Purpose",3012856762,2466007405,278617370,0,0,40045606,118987870,0,0,0,30387036,463217630,8078509,97366938,306421241,140425509,734658809,161326297,31124710,0,875084318,FALSE,"1600000US4967000","Salt Lake City city","Utah",199723,"UT","CITY OF SALT LAKE CITY","SALT LAKE CITY","SALT LAKE"
"75","Grand Rapids","23204100400000","General Purpose",963014063,0,0,0,0,0,217559132,0,63949509,0,0,165139948,38235671,7415720,186286475,22198751,374879063,0,0,0,397077814,FALSE,"1600000US2634000","Grand Rapids city","Michigan",198917,"MI","CITY OF GRAND RAPIDS","GRAND RAPIDS","KENT"
"76","Overland Park","17204650100000","General Purpose",302153100,194653581,26638429,977878,0,0,55723540,5059964,11740230,0,9542954,34013578,17283697,22841968,176444018,14660432,235922829,0,0,0,250583261,FALSE,"1600000US2053775","Overland Park city","Kansas",197238,"KS","CITY OF OVERLAND PARK","OVERLAND PARK","JOHNSON"
"77","Tallahassee","10203700100000","General Purpose",1566127000,1037158000,89501000,5706000,13369000,0,286749000,0,93361000,0,24514000,535690000,39352000,19739000,139741000,-68542000,803064000,0,0,0,734522000,FALSE,"1600000US1270600","Tallahassee city","Florida",196169,"FL","CITY OF TALLAHASSEE","TALLAHASSEE","LEON"
"78","Grand Prairie","44205701300000","General Purpose",679577059,467273098,50413291,0,0,0,63584025,0,66963564,0,21533868,150088231,63880705,10486235,210506113,39421403,395539881,2002954,621633,0,434961284,FALSE,"1600000US4830464","Grand Prairie city","Texas",196100,"TX","CITY OF GRAND PRAIRIE","GRAND PRAIRIE","DALLAS"
"79","Mckinney","44204300800000","General Purpose",591337974,466163713,47042410,0,0,0,38898797,0,23765506,0,15467548,150173979,15763748,73684145,183857565,84166443,339312994,102045735,3565989,0,423479437,FALSE,"1600000US4845744","McKinney city","Texas",195308,"TX","CITY OF MCKINNEY","MCKINNEY","COLLIN"
"80","Cape Coral","10203680100000","General Purpose",1418663171,523526448,44588343,0,0,348794239,167243215,0,305799028,0,14454154,152988723,36775724,68465530,171336626,73670844,355895759,0,0,0,429566603,FALSE,"1600000US1210275","Cape Coral city","Florida",194016,"FL","CITY OF CAPE CORAL","CAPE CORAL","LEE"
"81","Sioux Falls","42205000800000","General Purpose",360067765,222686879,20968348,0,0,89623485,0,62792225,0,2529330,14041141,112192714,61219709,44537159,258427414,180127232,296249764,0,0,0,476376996,FALSE,"1600000US4659020","Sioux Falls city","South Dakota",192517,"SD","CITY OF SIOUX FALLS","SIOUX FALLS","MINNEHAHA"
"82","Providence","40200400400000","General Purpose",3516821000,565486000,127712000,21093000,0,15237000,1556023000,0,1122063000,0,41516000,152832000,368067000,13766000,430186000,-58581000,1023432000,0,0,0,964851000,FALSE,"1600000US4459000","Providence city","Rhode Island",190934,"RI","CITY OF PROVIDENCE","PROVIDENCE","PROVIDENCE"
"83","Vancouver","48200600500000","General Purpose",225176801,57019295,38901040,11119819,5898112,0,18206106,42519561,48695087,0,15428615,212512349,28169132,27126005,182063323,94401899,355468910,0,0,0,449870809,FALSE,"1600000US5374060","Vancouver city","Washington",190915,"WA","CITY OF VANCOUVER","VANCOUVER","CLARK"
