acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Taylorville Community Unit School District No.3,NA,196592,2020,School District,13545000,13545000,0,0,0,0,0,0,0,0,0,0,0,0,36393736,3159950,33233786,0,0,0,36393736,FALSE,taylorville cusd 3,0.37217943219679345, Below 1%,Illinois,Taylorville CUSD 3,2399.00000
Thornton Fractional Township High School District No. 215,NA,172246,2020,School District,54228966,15982521,324604,336480,0,0,4763500,0,32272882,0,548979,382144,31201378,0,56681227,3118026,85146723,0,0,0,88264749,FALSE,thornton fractional twp hsd 215,0.614389851151109, Below 1%,Illinois,Thornton Fractional Twp HSD 215,3356.00000
Thornton Township High School District 205,NA,398726,2020,School District,45601125,43012493,169,2588463,0,0,4920284,650362,62071200,0,0,872532,58342385,0,109002017,11807669,156409265,0,0,0,168216934,FALSE,thornton twp hsd 205,0.2710852226090389, Below 1%,Illinois,Thornton Twp HSD 205,4722.00000
Township High School District 113,NA,398472,2020,School District,154028880,82734228,6162720,0,0,0,4563234,708232,60116868,0,451830,2146589,42694460,50000,102714690,361649,147244090,0,0,0,147605739,FALSE,twp hsd 113,1.0435155234716178,1 - 5%,Illinois,Twp HSD 113,3467.00000
United Community Unit School District No. 304,NA,169690,2020,School District,11685730,11685000,730,0,0,0,518086,226739,5419514,0,0,0,0,0,11676233,799524,10876709,0,0,0,11676233,FALSE,united cusd 304,1.0008133616381243,1 - 5%,Illinois,United CUSD 304,917.00000
United Township High School District No. 30,NA,167549,2020,School District,22963709,8600000,1703189,0,0,0,2107598,0,10520587,0,32335,2600240,9206631,0,20177708,3250085,28734494,0,0,0,31984579,FALSE,united twp hsd 30,0.7179618965752215, Below 1%,Illinois,United Twp HSD 30,1705.00000
Urbana School District No. 116,NA,32887,2020,School District,66575551,32019000,34556551,0,0,0,0,0,0,0,0,0,0,0,90685354,-3894301,94579655,0,0,0,90685354,FALSE,urbana sd 116,0.7341378520725629, Below 1%,Illinois,Urbana SD 116,4424.00000
Vandalia Community Unit School District 203,NA,50359,2020,School District,12334500,12334500,0,0,0,0,0,0,0,0,0,0,0,0,25499688,998847,24500841,0,0,0,25499688,FALSE,vandalia cusd 203,0.48371180070909103, Below 1%,Illinois,Vandalia CUSD 203,1457.00000
Wabash Community Unit School District 348,NA,33148,2020,School District,12169635,1453000,1366241,0,0,0,2090212,0,7260182,0,0,529520,2244868,0,18259791,707660,20326519,0,0,0,21034179,FALSE,wabash cusd 348,0.5785647730771902, Below 1%,Illinois,Wabash CUSD 348,1513.00000
Warren Township High School District 121,NA,398476,2020,School District,82680517,82671551,8966,0,0,0,2936516,578348,33809720,0,0,2074572,18326689,50000,55368135,-3372294,79191690,0,0,0,75819396,FALSE,warren twp hsd 121,1.0904929524893603,1 - 5%,Illinois,Warren Twp HSD 121,3876.00000
