acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Carmi-White County Community Unit School District No.5,NA,33150,2020,School District,5411515,4880000,190072,341443,0,0,1855222,0,0,0,0,0,0,0,21439353,2064394,19374959,0,0,0,21439353,FALSE,carmi-white county cusd 5,0.25241036891365143, Below 1%,Illinois,Carmi-White County CUSD 5,1399.00000
Carterville Community Unit School District No. 5,NA,93830,2020,School District,37363843,37363843,0,0,0,0,0,0,0,0,0,0,0,0,25612630,13287,25599343,0,0,0,25612630,FALSE,carterville cusd 5,1.4588054018661887,1 - 5%,Illinois,Carterville CUSD 5,2152.00000
Cary Community Consolidated School District No. 26,NA,48345,2020,School District,37452677,12351209,3821526,0,2030000,0,3410953,0,15645648,0,193341,1250287,12799777,0,29238268,2447172,40841160,0,0,0,43288332,FALSE,cary ccsd 26,0.8651910403939796, Below 1%,Illinois,Cary CCSD 26,2470.00000
Central Community Unit School District #301,NA,49299,2020,School District,42907397,37993323,89074,0,4825000,0,0,0,0,0,0,0,0,0,84931305,186604,84744701,0,0,0,84931305,FALSE,central cusd 301,0.5052011976031688, Below 1%,Illinois,Central CUSD 301,4413.00000
Centralia High School District 200,NA,167435,2020,School District,6218605,4225000,20000,194593,1779012,0,0,0,0,0,0,0,0,0,19419745,570183,18849562,0,0,0,19419745,FALSE,centralia hsd 200,0.32022073410335716, Below 1%,Illinois,Centralia HSD 200,874.00000
Champaign Community Unit School District 4,NA,32885,2020,School District,407267203,288579101,27025228,3624325,0,0,12103164,0,74800019,0,1135365,2314864,79474539,557843,139523142,15394263,206476125,0,0,0,221870388,FALSE,champaign cusd 4,1.8356086482347522,1 - 5%,Illinois,Champaign CUSD 4,10172.00000
Chester Community Unit School District No. 139,NA,33109,2020,School District,7483476,7480000,3476,0,0,0,1014543,0,0,0,0,0,0,0,17473851,506783,16967068,0,0,0,17473851,FALSE,chester cusd 139,0.4282671289803261, Below 1%,Illinois,Chester CUSD 139,1012.00000
Chicago Board of Education,NA,198265,2020,School District,27536280000,8828829000,1138117000,525000,0,500000000,14127342000,0,2554892000,0,0,2260000,1612177000,18307000,5320734000,-1080796000,8034274000,0,0,0,6953478000,FALSE,city of chicago sd 299,3.960072930409789,1 - 5%,Illinois,City of Chicago SD 299,347484.00000
Chicago Heights School District 170,NA,32911,2020,School District,53060594,52800000,260594,0,0,0,4138791,0,19468200,0,0,0,0,0,64285129,-30836860,95121989,0,0,0,64285129,FALSE,chicago heights sd 170,0.825394532536444, Below 1%,Illinois,Chicago Heights SD 170,2891.00000
Cicero Public School District No. 99,NA,32912,2020,School District,50774793,49975000,314598,485195,0,0,15908499,0,91918056,0,0,0,0,0,274816119,13324561,261491558,0,0,0,274816119,FALSE,cicero sd 99,0.18475915162749243, Below 1%,Illinois,Cicero SD 99,10689.00000
Coal City Community Unit School District No.1,NA,53020,2020,School District,30447271,30150000,297271,0,0,0,2088157,0,15740272,0,0,612689,3980329,0,29713527,280895,34025650,0,0,0,34306545,FALSE,coal city cusd 1,0.887506188687902, Below 1%,Illinois,Coal City CUSD 1,2174.00000
Collinsville Community Unit School District No. 10,NA,33078,2020,School District,16048213,12240000,1535774,2272439,0,0,0,0,0,0,0,0,0,0,85019883,14164687,70855196,0,0,0,85019883,FALSE,collinsville cusd 10,0.18875835197279675, Below 1%,Illinois,Collinsville CUSD 10,6183.00000
Columbia Community Unit School District No. 4,NA,93834,2020,School District,15410000,15410000,0,0,0,0,1257297,0,0,0,0,0,0,0,43638024,2646117,40991907,0,0,0,43638024,FALSE,columbia cusd 4,0.35313239664564094, Below 1%,Illinois,Columbia CUSD 4,1965.00000
Community Consolidated School District No. 146,NA,32957,2020,School District,50295802,22677437,1502484,0,0,0,3314932,0,22800949,0,0,409898,18622512,0,40078101,1699270,57411241,0,0,0,59110511,FALSE,ccsd 146,0.850877469152652, Below 1%,Illinois,CCSD 146,2401.00000
Community Consolidated School District No. 62,NA,32915,2020,School District,100477913,39414160,1396618,0,0,0,9881782,0,49646409,0,138944,2044669,48992460,0,83087470,1540399,132584200,0,0,0,134124599,FALSE,ccsd 62,0.7491385901552631, Below 1%,Illinois,CCSD 62,4448.00000
Community Consolidated Schools District 168,NA,32927,2020,School District,9000000,9000000,0,0,0,0,930424,177164,10793476,0,0,5917,9262591,0,17841581,135975,26974114,0,0,0,27110089,FALSE,ccsd 168,0.33197972902265277, Below 1%,Illinois,CCSD 168,1301.00000
Community High School District 218,NA,32901,2020,School District,135232868,42497754,7507698,0,0,0,6597302,0,76837072,0,1793042,1566387,56160559,0,97674208,-9166064,164567218,0,0,0,155401154,FALSE,chsd 218,0.8702179135683896, Below 1%,Illinois,CHSD 218,5342.00000
Community High School District 99,NA,32982,2020,School District,242253926,138826543,21090316,1645160,2850000,0,13079491,0,64233509,0,528907,3314484,45069718,50000,98979288,7871248,139542242,0,0,0,147413490,FALSE,chsd 99,1.6433633448336378,1 - 5%,Illinois,CHSD 99,4890.00000
Community High School District No. 155,NA,46229,2020,School District,94482093,15478493,13102997,0,0,0,9217420,0,56683183,0,0,4047852,45147904,17942,95411970,4711971,139913697,0,0,0,144625668,FALSE,chsd 155,0.6532871675310084, Below 1%,Illinois,CHSD 155,5777.00000
Community High School District No. 94,NA,48216,2020,School District,34605485,34627034,-21549,0,0,0,2795722,0,15300714,0,0,900533,14258496,0,33354933,2650410,45863552,0,0,0,48513962,FALSE,chsd 94,0.7133098096585061, Below 1%,Illinois,CHSD 94,1952.00000
Community Unit School District 200,NA,32992,2020,School District,255268326,104638353,15995371,12761150,0,0,13555422,0,107681555,0,636475,5230094,95411373,50000,176367724,11154487,265904704,0,0,0,277059191,FALSE,cusd 200,0.9213494238492885, Below 1%,Illinois,CUSD 200,12319.00000
Community Unit School District No. 201,NA,43111,2020,School District,32760501,10573412,2744541,76682,0,0,1879484,0,17416142,0,70240,608952,14529546,0,26780053,-287854,42206405,0,0,0,41918551,FALSE,cusd 201,0.7815275151090026, Below 1%,Illinois,CUSD 201,1343.00000
Community Unit School District No. 300,NA,33017,2020,School District,478603814,264966332,26213396,0,27510866,0,18320501,0,138759972,0,2832747,4833649,141119663,50000,271871640,30715968,387158984,0,0,0,417874952,FALSE,cusd 300,1.1453278348207863,1 - 5%,Illinois,CUSD 300,20613.00000
Community Unit School District No. 308,NA,33030,2020,School District,523499743,337634719,38433714,0,0,0,20685334,0,122994453,0,2496323,9984940,116789981,0,215752204,1750224,340776901,0,0,0,342527125,FALSE,cusd 308,1.528345362429326,1 - 5%,Illinois,CUSD 308,17650.00000
Cook County School District 130,NA,32902,2020,School District,20265557,20255221,10336,0,0,0,0,0,0,0,0,113322,11716362,0,50586881,3514906,58901659,0,0,0,62416565,FALSE,cook county sd 130,0.3246823499498891, Below 1%,Illinois,Cook County SD 130,3435.00000
County of Winnebago School District No. 320,NA,196564,2020,School District,3932000,3932000,0,0,0,0,482561,12995,0,0,0,0,0,0,18523790,2268297,16255493,0,0,0,18523790,FALSE,county of winnebago sd 320,0.21226757591184092, Below 1%,Illinois,County of Winnebago SD 320,938.00000
Crystal Lake Community Consolidated School District No. 47,NA,42789,2020,School District,106740177,25020096,10784333,42322,0,0,11424225,0,59469201,0,0,2152199,47336296,157601,88599089,-4335149,142580334,0,0,0,138245185,FALSE,crystal lake ccsd 47,0.7721077374231876, Below 1%,Illinois,Crystal Lake CCSD 47,7340.00000
Danville Community Consolidated School District No. 118,NA,33143,2020,School District,79830130,28060022,7385014,1832261,0,0,5536673,0,36888762,0,127398,231344,41647694,0,62883329,1490628,103271739,0,0,0,104762367,FALSE,danville ccsd 118,0.7620115150701015, Below 1%,Illinois,Danville CCSD 118,5351.00000
Darien School District No. 61,NA,167449,2020,School District,18065939,2879589,1044284,0,0,0,1791001,0,12351065,0,0,343024,12524272,0,17882978,-302933,31053207,0,0,0,30750274,FALSE,darien sd 61,0.5875049763784219, Below 1%,Illinois,Darien SD 61,1388.00000
Decatur Public School District No. 61,NA,99067,2020,School District,122705814,118005113,4700701,0,0,0,0,0,0,0,0,861859,19469014,0,101478134,7580284,114228723,0,0,0,121809007,FALSE,decatur sd 61,1.0073624030117905,1 - 5%,Illinois,Decatur SD 61,8756.00000
Deerfield Public School District No. 109,NA,196566,2020,School District,61969372,20867932,3548166,0,0,0,2981284,0,34571990,0,0,771200,23456164,0,55307805,5363721,74171448,0,0,0,79535169,FALSE,deerfield sd 109,0.7791442801862909, Below 1%,Illinois,Deerfield SD 109,2889.00000
Dekalb Community Unit School District No. 428,NA,32976,2020,School District,177692435,102679214,9154039,592630,0,0,7847452,0,57320981,0,98119,1212982,47956310,0,95411873,7681608,136899557,0,0,0,144581165,FALSE,dekalb cusd 428,1.22901510027257,1 - 5%,Illinois,DeKalb CUSD 428,6579.00000
Diamond Lake School District 76,NA,46767,2020,School District,14807379,14625000,505,181874,0,0,0,0,0,0,0,0,0,0,28667775,-1448907,30116682,0,0,0,28667775,FALSE,diamond lake sd 76,0.5165165067745927, Below 1%,Illinois,Diamond Lake SD 76,918.00000
Dolton School District 149,NA,32898,2020,School District,50492195,18425000,2472726,0,0,0,5911526,0,23627126,0,55817,4471,22161899,0,36000829,449585,57717614,0,0,0,58167199,FALSE,dolton sd 149,0.8680527147267312, Below 1%,Illinois,Dolton SD 149,2562.00000
Dunlap Community Unit School District No. 323,NA,53113,2020,School District,50768498,50220000,491432,57066,0,0,0,0,0,0,0,0,0,0,66391588,-2831692,69223280,0,0,0,66391588,FALSE,dunlap cusd 323,0.7646826884152854, Below 1%,Illinois,Dunlap CUSD 323,4592.00000
Dupage High School District No. 88,NA,32993,2020,School District,126095927,79955534,3165895,41063,0,0,4090184,0,38843251,0,0,1348181,31253914,0,74758407,3582987,103777515,0,0,0,107360502,FALSE,dupage hsd 88,1.1745094764925745,1 - 5%,Illinois,DuPage HSD 88,3923.00000
Dupo Community Unit School District No. 196,NA,33121,2020,School District,9155000,0,0,0,0,0,721864,0,0,0,0,0,0,0,19147518,2757081,16390437,0,0,0,19147518,FALSE,dupo cusd 196,0.4781298547414866, Below 1%,Illinois,Dupo CUSD 196,1003.00000
East Maine School District 63,NA,32917,2020,School District,89282618,52818895,5718292,54830,0,0,4513173,0,25793161,0,384267,725509,24048347,0,48818229,1623890,71968195,0,0,0,73592085,FALSE,east maine sd 63,1.2132095183877452,1 - 5%,Illinois,East Maine SD 63,3489.00000
East Moline School District No 37,NA,33112,2020,School District,20860000,20860000,0,0,0,0,4728135,0,18295162,0,0,0,0,0,52860226,986677,51873549,0,0,0,52860226,FALSE,east moline sd 37,0.3946256302422922, Below 1%,Illinois,East Moline SD 37,2719.00000
East Peoria Community High School District No. 309,NA,44955,2020,School District,11129446,7497000,602966,3029480,0,0,0,0,0,0,0,0,0,0,22495500,-2823970,25319470,0,0,0,22495500,FALSE,east peoria chsd 309,0.49474099264297305, Below 1%,Illinois,East Peoria CHSD 309,997.00000
Edwardsville Community Unit School District No.7,NA,33080,2020,School District,169728216,119028446,5125913,784277,0,0,3674543,0,39829165,0,1285873,4298689,33924080,0,79007944,10214737,107015976,0,0,0,117230713,FALSE,edwardsville cusd 7,1.4478135605982367,1 - 5%,Illinois,Edwardsville CUSD 7,7560.00000
Effingham Community Unit School District No. 40,NA,32997,2020,School District,21832181,21396600,20554,415027,0,0,0,0,0,0,0,0,0,0,39832652,-7400443,47233095,0,0,0,39832652,FALSE,effingham cusd 40,0.5480976009330235, Below 1%,Illinois,Effingham CUSD 40,2417.00000
Eisenhower Cooperative,NA,32961,2020,School District,1413941,0,8941,0,1405000,0,943333,0,5431083,0,0,8334674,5943495,0,1731721,-1200901,17210791,0,0,0,16009890,FALSE,eisenhower cooperative,0.08831672172638289, Below 1%,Illinois,Eisenhower Cooperative,286.00000
Elementary School District 159,NA,32951,2020,School District,26767208,26682487,84721,0,0,0,1479054,0,12901049,0,0,91519,12848236,0,35832888,6858066,41914577,0,0,0,48772643,FALSE,esd 159,0.5488160237697186, Below 1%,Illinois,ESD 159,1827.00000
Elmwood Park Community Unit School District 401,NA,33103,2020,School District,77068096,43793239,3679457,383334,0,0,3688641,0,24880669,0,389756,1194363,23140491,0,40700609,3999265,61036198,0,0,0,65035463,FALSE,elmwood park cusd 401,1.1850164886194474,1 - 5%,Illinois,Elmwood Park CUSD 401,2784.00000
Elwood Community Consolidated School District 203,NA,54668,2020,School District,18827,0,0,18827,0,0,357311,0,0,0,0,0,0,0,6184055,-66547,6250602,0,0,0,6184055,FALSE,elwood ccsd 203,0.0030444425219374664, Below 1%,Illinois,Elwood CCSD 203,298.00000
Evanston Township High School District No. 202,NA,167453,2020,School District,82923817,27566624,4302971,0,5055000,0,3737780,49422,41792961,0,468481,2556537,36213122,0,80756372,1410093,118115938,0,0,0,119526031,FALSE,evanston twp hsd 202,0.6937720286219493, Below 1%,Illinois,Evanston Twp HSD 202,3620.00000
Evergreen Park Elementary School District 124,NA,32919,2020,School District,26833166,5296980,1531251,0,0,0,2474574,0,17455494,0,74867,287597,14528727,0,26210392,-1202037,42228753,0,0,0,41026716,FALSE,evergreen park esd 124,0.654041283733263, Below 1%,Illinois,Evergreen Park ESD 124,1896.00000
Farmington Central Community Unit School District No. 265,NA,167454,2020,School District,6051404,5801382,250022,0,0,0,0,0,0,0,0,0,0,0,19602544,-4086984,23689528,0,0,0,19602544,FALSE,farmington central cusd 265,0.30870503338750316, Below 1%,Illinois,Farmington Central CUSD 265,1322.00000
Flora Community Unit School District 35,NA,32890,2020,School District,6997325,6785000,0,212325,0,0,0,0,0,0,0,0,0,0,15277245,-75174,15352419,0,0,0,15277245,FALSE,flora cusd 35,0.4580226997734212, Below 1%,Illinois,Flora CUSD 35,1348.00000
Flossmoor School District 161,NA,46231,2020,School District,4387728,4180000,207728,0,0,0,1997957,0,16202227,0,0,501330,3798425,0,32340954,2177382,34463327,0,0,0,36640709,FALSE,flossmoor sd 161,0.11975008453029662, Below 1%,Illinois,Flossmoor SD 161,2318.00000
Ford Heights School District 169,NA,32914,2020,School District,17153575,17067032,0,86543,0,0,293952,1082394,3237816,0,0,6769,3494952,0,8269232,-37847,11808800,0,0,0,11770953,FALSE,ford heights sd 169,1.4572800520059845,1 - 5%,Illinois,Ford Heights SD 169,437.00000
Forest Ridge School District 142,NA,167456,2020,School District,0,4250529,0,0,0,0,0,0,0,0,0,0,0,0,25301399,1936476,23364923,0,0,0,25301399,FALSE,forest ridge sd 142,0, Below 1%,Illinois,Forest Ridge SD 142,1651.00000
Frankfort Community Unit School District 168,NA,32999,2020,School District,0,1905000,0,0,0,0,873687,0,9463453,0,0,0,0,0,17599075,354421,17244654,0,0,0,17599075,FALSE,frankfort cusd 168,0, Below 1%,Illinois,Frankfort CUSD 168,1642.00000
Franklin Park School District 84,NA,167458,2020,School District,12321586,12321586,0,0,0,0,0,0,0,0,0,150054,8899702,50000,23073705,5221758,26951703,0,0,0,32173461,FALSE,franklin park sd 84,0.3829735942925133, Below 1%,Illinois,Franklin Park SD 84,1390.00000
Freeport School District 145,NA,33135,2020,School District,65461155,30028356,6579026,0,0,0,2395217,296207,26458556,0,0,769480,27154277,0,49188751,1833918,75278590,0,0,0,77112508,FALSE,freeport sd 145,0.8489044993841984, Below 1%,Illinois,Freeport SD 145,3715.00000
Galesburg Community Unit School District No. 205,NA,33031,2020,School District,96505767,77281000,19224767,0,0,0,4779162,0,1471347,0,0,0,0,0,92971618,-12227211,105198829,0,0,0,92971618,FALSE,galesburg cusd 205,1.038013203126141,1 - 5%,Illinois,Galesburg CUSD 205,4209.00000
Geneseo Community Unit School District No. 228,NA,33005,2020,School District,35359849,34053327,383893,0,922629,0,0,0,0,0,0,0,0,0,36008014,-802652,36810666,0,0,0,36008014,FALSE,geneseo cusd 228,0.9819994237949363, Below 1%,Illinois,Geneseo CUSD 228,2579.00000
Geneva Community Unit School District No. 304,NA,196568,2020,School District,194378813,135803350,6531935,0,125664,0,7853876,0,44063988,0,0,2987364,35714818,0,95533399,9396510,124839071,0,0,0,134235581,FALSE,geneva cusd 304,1.4480424009190231,1 - 5%,Illinois,Geneva CUSD 304,5537.00000
Gillespie Community Unit School District #7,NA,93849,2020,School District,12683165,11755000,0,170952,757213,0,1310872,0,0,0,0,0,0,0,20179034,-18235,20197269,0,0,0,20179034,FALSE,gillespie cusd 7,0.6285318216917618, Below 1%,Illinois,Gillespie CUSD 7,1297.00000
Glen Ellyn School District 41,NA,48837,2020,School District,67238711,23356843,4797783,0,4805000,0,5511589,0,28767496,0,0,807584,26904108,0,52453801,-6409,80171902,0,0,0,80165493,FALSE,glen ellyn sd 41,0.8387487993119433, Below 1%,Illinois,Glen Ellyn SD 41,3622.00000
Glenbard Township High School District No. 87,NA,150795,2020,School District,58377270,58377270,0,0,0,0,12791542,0,119828999,0,0,4562845,76972772,350000,143808079,13693896,211999800,0,0,0,225693696,FALSE,glenbard twp hsd 87,0.25865706944690203, Below 1%,Illinois,Glenbard Twp HSD 87,8032.00000
Granite City Community Unit School District No.9,NA,33086,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77709232,6106400,71602832,0,0,0,77709232,FALSE,granite city cusd 9,0, Below 1%,Illinois,Granite City CUSD 9,5990.00000
Grayslake Community Consolidated School District No. 46,NA,47261,2020,School District,86669980,43628500,5860329,0,0,0,9076476,0,25626945,0,306460,858577,54704982,13350,50907710,2487299,103997320,0,0,0,106484619,FALSE,grayslake ccsd 46,0.8139201775234788, Below 1%,Illinois,Grayslake CCSD 46,3695.00000
Grundy County Special Education Cooperative,NA,40488,2020,School District,0,0,0,0,0,0,0,0,0,0,0,7378092,7632874,0,920661,-1416414,17348041,0,0,0,15931627,FALSE,grundy county spec educ coop,0, Below 1%,Illinois,Grundy County Spec Educ Coop,10.00000
Harvard  Community Unit School District 50,NA,167468,2020,School District,46600781,22392063,2577716,0,0,0,2339916,0,19031620,0,259466,311072,17875057,0,35044717,2399271,50831575,0,0,0,53230846,FALSE,harvard cusd 50,0.8754469354103446, Below 1%,Illinois,Harvard CUSD 50,2683.00000
Harvey Public School District 152,NA,32925,2020,School District,1600000,1600000,0,0,0,0,2029341,0,12479555,0,0,233077,7605947,0,23924264,2253001,29510287,0,0,0,31763288,FALSE,harvey sd 152,0.050372618854823845, Below 1%,Illinois,Harvey SD 152,1809.00000
Havana Community Unit School District 126,NA,33094,2020,School District,7570481,7570481,0,0,0,0,0,0,0,0,0,0,0,0,15420616,-1288950,16709566,0,0,0,15420616,FALSE,havana cusd 126,0.49093246339834934, Below 1%,Illinois,Havana CUSD 126,904.00000
Herrin Community Unit School District No.4,NA,33164,2020,School District,27510913,27280000,5009,225904,0,0,1465822,0,11347249,0,0,0,0,0,35977557,1661573,34315984,0,0,0,35977557,FALSE,herrin cusd 4,0.764668735011663, Below 1%,Illinois,Herrin CUSD 4,2442.00000
Herscher Community Unit School District #2,NA,93853,2020,School District,17713197,17330000,20040,0,363157,0,2556908,0,0,0,0,0,0,0,32198086,-3515017,35713103,0,0,0,32198086,FALSE,herscher cusd 2,0.5501319861062549, Below 1%,Illinois,Herscher CUSD 2,1680.00000
Highland Community Unit School District No.5,NA,33081,2020,School District,38456415,18185910,20270505,0,0,0,2529676,0,0,0,0,0,0,0,43765222,1036184,42729038,0,0,0,43765222,FALSE,highland cusd 5,0.8786980447625743, Below 1%,Illinois,Highland CUSD 5,2862.00000
Hillsboro Community Unit School District No.3,NA,33097,2020,School District,18657035,6597229,1321515,135408,0,0,2639599,0,7856305,0,106979,1105590,9030637,0,16618224,1878791,24875660,0,0,0,26754451,FALSE,hillsboro cusd 3,0.6973432196384818, Below 1%,Illinois,Hillsboro CUSD 3,1574.00000
Hinsdale Township High School District 86,NA,167471,2020,School District,214622218,123802856,15459390,0,0,0,5112604,104431,70035645,0,211723,3178096,46557980,0,92675112,6924265,135486923,0,0,0,142411188,FALSE,hinsdale twp hsd 86,1.5070600913742815,1 - 5%,Illinois,Hinsdale Twp HSD 86,4146.00000
Homer Community Consolidated School District 33c,NA,72418,2020,School District,9468554,0,102422,235344,9130788,0,0,0,0,0,0,1480809,20708377,0,49280915,1511315,69958786,0,0,0,71470101,FALSE,homer ccsd 33c,0.1324827286867833, Below 1%,Illinois,Homer CCSD 33C,3832.00000
Homewood School District 153,NA,46702,2020,School District,13877467,13866308,6349,4810,0,0,0,0,0,0,0,383858,2465196,0,23363268,-50611,26262933,0,0,0,26212322,FALSE,homewood sd 153,0.5294253214194454, Below 1%,Illinois,Homewood SD 153,1969.00000
Hoover-Schrum Memorial School District 157,NA,48386,2020,School District,20846015,20846015,0,0,0,0,0,0,0,0,0,34476,3562020,0,12963444,1642325,14917615,0,0,0,16559940,FALSE,hoover-schrum memorial sd 157,1.258821891866758,1 - 5%,Illinois,Hoover-Schrum Memorial SD 157,858.00000
Huntley Community School District 158,NA,48458,2020,School District,158615853,128818957,18384916,228877,615000,0,10568103,0,0,0,0,6381106,50385931,0,102494453,1532159,157729331,0,0,0,159261490,FALSE,huntley csd 158,0.9959460570160432, Below 1%,Illinois,Huntley Comm Sch Dist 158,9110.00000
Indian Prairie Community Unit School District 204,NA,32984,2020,School District,452469987,161120267,51806950,0,0,0,27950126,0,211592644,0,0,11948712,188088566,0,349667268,26746374,522958172,0,0,0,549704546,FALSE,indian prairie cusd 204,0.8231148719661489, Below 1%,Illinois,Indian Prairie CUSD 204,26906.00000
Indian Springs School District 109,NA,32905,2020,School District,37024035,11858954,4040440,0,0,0,3151552,0,17585319,0,387770,481026,17912647,0,35317775,3154632,50556816,0,0,0,53711448,FALSE,indian springs sd 109,0.6893136636346129, Below 1%,Illinois,Indian Springs SD 109,2670.00000
Iroquois County Community Unit School District No.9,NA,33008,2020,School District,1332000,1332000,0,0,0,0,532083,916437,0,0,0,0,0,0,16601339,-1682683,18284022,0,0,0,16601339,FALSE,iroquois county cusd 9,0.08023449192863298, Below 1%,Illinois,Iroquois County CUSD 9,933.00000
Iroquois West Community Unit School District 10,NA,167477,2020,School District,1535000,1535000,0,0,0,0,705824,0,0,0,0,0,0,0,15807489,193366,15614123,0,0,0,15807489,FALSE,iroquois west cusd 10,0.09710587178014168, Below 1%,Illinois,Iroquois West CUSD 10,926.00000
Jacksonville School District 117,NA,33099,2020,School District,39790000,39790000,0,0,0,0,0,0,0,0,0,0,0,0,65300645,9184565,56116080,0,0,0,65300645,FALSE,jacksonville sd 117,0.6093354820614713, Below 1%,Illinois,Jacksonville SD 117,3244.00000
Johnsburg Community Unit School District 12,NA,33063,2020,School District,64058902,40546146,3055252,1101668,0,0,2585288,0,16770548,0,0,626018,12102431,217269,26786000,3210513,36521205,0,0,0,39731718,FALSE,johnsburg cusd 12,1.6122862343883544,1 - 5%,Illinois,Johnsburg CUSD 12,1807.00000
Johnston City Community Unit School District 1,NA,64827,2020,School District,4872155,4866155,6000,0,0,0,0,0,0,0,0,0,0,0,16907189,237844,16669345,0,0,0,16907189,FALSE,johnston city cusd 1,0.2881706119213549, Below 1%,Illinois,Johnston City CUSD 1,1100.00000
Joliet Township High School District 204,NA,224138,2020,School District,162781659,82430305,13370933,840759,0,0,6715455,0,54640742,0,4783468,2551623,45992107,88980,109435392,18017935,140050167,0,0,0,158068102,FALSE,joliet twp hsd 204,1.029819786157741,1 - 5%,Illinois,Joliet Twp HSD 204,6636.00000
Kaneland Community Unit School District No. 302,NA,48346,2020,School District,145590413,93583331,7099709,0,0,0,5314574,0,39415838,0,176961,2648034,28207030,0,66450789,2454341,94851512,0,17446,0,97305853,FALSE,kaneland cusd 302,1.496214343858637,1 - 5%,Illinois,Kaneland CUSD 302,4256.00000
Kankakee School District 111,NA,33027,2020,School District,38321968,37390000,105319,826649,0,0,5434108,0,0,0,0,0,0,0,104518021,1726004,102792017,0,0,0,104518021,FALSE,kankakee sd 111,0.36665416770568204, Below 1%,Illinois,Kankakee SD 111,5051.00000
Keeneyville School District No. 20,NA,32986,2020,School District,28432112,15534328,1796115,395574,0,0,1016543,0,9689552,0,0,421906,9509855,0,19404545,-244025,29580331,0,0,0,29336306,FALSE,keeneyville sd 20,0.9691783280417104, Below 1%,Illinois,Keeneyville SD 20,1413.00000
Kewanee Community Unit School District No. 229,NA,93860,2020,School District,6070018,6060000,10018,0,0,0,0,0,0,0,0,0,0,0,31883590,1382339,30501251,0,0,0,31883590,FALSE,kewanee cusd 229,0.1903806315411784, Below 1%,Illinois,Kewanee CUSD 229,1976.00000
Kinnikinnick Community Consolidated School District 131,NA,53211,2020,School District,3947114,3906300,40814,0,0,0,980976,0,0,0,0,0,0,0,35792620,8207922,27584698,0,0,0,35792620,FALSE,kinnikinnick ccsd 131,0.11027731415023544, Below 1%,Illinois,Kinnikinnick CCSD 131,1804.00000
Kirby School District No. 140,NA,32928,2020,School District,39116579,0,4441087,0,0,0,5548040,0,28894126,0,233326,653807,22897614,0,47756168,3267770,68039819,0,0,0,71307589,FALSE,kirby sd 140,0.5485612337839665, Below 1%,Illinois,Kirby SD 140,3612.00000
La Salle Elementary School District No. 122,NA,33046,2020,School District,6285267,5913645,371621,0,0,0,0,0,0,0,0,0,0,0,16042258,172295,15869963,0,0,0,16042258,FALSE,la salle esd 122,0.3917944094902351, Below 1%,Illinois,La Salle ESD 122,1004.00000
Lake Zurich Community Unit School District No. 95,NA,33037,2020,School District,165689551,87276434,18631648,3217352,0,0,6550432,0,49731389,0,282296,3107136,40601210,111420,92443920,8132159,128131527,0,0,0,136263686,FALSE,lake zurich cusd 95,1.2159479598988685,1 - 5%,Illinois,Lake Zurich CUSD 95,5565.00000
Lemont Township High School District No. 210,NA,167490,2020,School District,35682376,35405000,21115,93464,0,0,2939534,0,14016934,0,162797,1882355,9867196,0,27533657,3021011,36262197,0,0,0,39283208,FALSE,lemont twp hsd 210,0.9083366103908825, Below 1%,Illinois,Lemont Twp HSD 210,1380.00000
Lincoln Elementary School District 156,NA,32908,2020,School District,5220000,5220000,0,0,0,0,0,0,0,0,0,8429,2887894,0,10978355,708247,13166431,0,0,0,13874678,FALSE,lincoln esd 156,0.3762249473465258, Below 1%,Illinois,Lincoln ESD 156,918.00000
Lincoln Elementary School District 27,NA,33059,2020,School District,10865200,8445000,3519,17325,0,0,0,0,0,0,0,0,0,0,19405901,18748015,657886,0,0,0,19405901,FALSE,lincoln esd 27,0.5598915505134238, Below 1%,Illinois,Lincoln ESD 27,1117.00000
Lisle Community Unit School District No. 202,NA,32987,2020,School District,40077947,13886547,2279815,0,0,0,4177819,0,19584206,0,119648,518822,14090359,0,33093273,1289978,46412476,0,0,0,47702454,FALSE,lisle cusd 202,0.8401653088958484, Below 1%,Illinois,Lisle CUSD 202,1410.00000
Litchfield Community Unit School District No. 12,NA,33098,2020,School District,2701970,1808263,0,301579,0,592128,1938592,0,0,0,0,0,0,0,24636855,618487,24018368,0,0,0,24636855,FALSE,litchfield cusd 12,0.10967187167355573, Below 1%,Illinois,Litchfield CUSD 12,1382.00000
Lockport Township High School District 205,NA,150822,2020,School District,18476568,9605000,35107,0,0,0,5482742,0,3199982,0,153737,1860192,24556119,66273,55723968,9020046,73186506,0,0,0,82206552,FALSE,lockport twp hsd 205,0.22475785141797458, Below 1%,Illinois,Lockport Twp HSD 205,3836.00000
Lyons Township High School District No. 204,NA,224149,2020,School District,78029805,9754408,2835457,0,0,0,15841557,0,49304990,0,293393,2139982,35670992,0,77327569,6971265,108167278,0,0,0,115138543,FALSE,lyons twp hsd 204,0.6777035992195941, Below 1%,Illinois,Lyons Twp HSD 204,3989.00000
