ncesid,nces_original_name,county_nces,city_nces,state,student
1700024,A E R O Spec Educ Coop,Cook County,Burbank,IL,213.00000
1700105,A-C Central CUSD 262,Cass County,Ashland,IL,395.00000
2700106,A.C.G.C. Public School District,Meeker County,GROVE CITY,MN,865.00000
2200056,A.E. Phillips Laboratory School,Lincoln Parish,Ruston,LA,410.00000
4500690,Abbeville 60,Abbeville County,Abbeville,SC,2965.00000
5500030,Abbotsford School District,Clark County,Abbotsford,WI,747.00000
4807380,ABBOTT ISD,Hill County,ABBOTT,TX,288.00000
0601620,ABC Unified,Los Angeles County,Cerritos,CA,20269.00000
1600030,ABERDEEN DISTRICT,Bingham County,ABERDEEN,ID,705.00000
2800360,ABERDEEN SCHOOL DIST,Monroe County,Aberdeen,MS,1114.00000
5300030,Aberdeen School District,Grays Harbor County,ABERDEEN,WA,3500.00000
4602070,Aberdeen School District 06-1,Brown County,Aberdeen,SD,4495.00000
4807410,ABERNATHY ISD,Hale County,ABERNATHY,TX,818.00000
2003180,Abilene,Dickinson County,Abilene,KS,1532.00000
4807440,ABILENE ISD,Taylor County,ABILENE,TX,16612.00000
1701413,Abingdon-Avon CUSD 276,Knox County,Abingdon,IL,964.00000
2501650,Abington,Plymouth County,Abington,MA,2143.00000
4202010,Abington Heights SD,Lackawanna County,Clarks Summit,PA,3425.00000
4202040,Abington SD,Montgomery County,Abington,PA,8534.00000
3001710,Absarokee Elem,Stillwater County,Absarokee,MT,127.00000
3001740,Absarokee H S,Stillwater County,Absarokee,MT,80.00000
3400660,Absecon Public Schools District,Atlantic County,Absecon,NJ,908.00000
4807470,ACADEMY ISD,Bell County,LITTLE RIVER,TX,1723.00000
0801920,Academy School District No. 20 in the county of El Paso an,El Paso County,COLORADO SPRINGS,CO,26603.00000
2200030,Acadia Parish,Acadia Parish,Crowley,LA,9739.00000
0601650,Acalanes Union High,Contra Costa County,Lafayette,CA,5635.00000
5100060,ACCOMACK CO PBLC SCHS,Accomack County,Accomac,VA,5161.00000
4700147,Achievement School District,Davidson County,Nashville,TN,11169.00000
4002370,ACHILLE,Bryan County,Achille,OK,339.00000
2302220,Acton Public Schools,York County,Acton,ME,233.00000
0600001,Acton-Agua Dulce Unified,Los Angeles County,Acton,CA,1042.00000
2501710,Acton-Boxborough,Middlesex County,Acton,MA,5411.00000
2501740,Acushnet,Bristol County,Acushnet,MA,1010.00000
4002430,ADA,Pontotoc County,Ada,OK,2564.00000
3904518,Ada Exempted Village,Hardin County,Ada,OH,863.00000
2700126,ADA-BORUP PUBLIC SCHOOL DISTRICT,Norman County,ADA,MN,673.00000
4002460,ADAIR,Mayes County,Adair,OK,1069.00000
2922980,ADAIR CO. R-I,Adair County,NOVINGER,MO,225.00000
2905790,ADAIR CO. R-II,Adair County,BRASHEAR,MO,144.00000
2100030,Adair County,Adair County,Columbia,KY,2763.00000
1903090,Adair-Casey Comm School District,Guthrie County,Adair,IA,259.00000
1700162,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Adams County,Quincy,IL,139.00000
0806900,Adams 12 Five Star Schools,Adams County,THORNTON,CO,38707.00000
1800060,Adams Central Community Schools,Adams County,Monroe,IN,1304.00000
3102770,ADAMS CENTRAL PUBLIC SCHOOLS,Adams County,HASTINGS,NE,970.00000
3906190,Adams County Ohio Valley Local,Adams County,West Union,OH,3752.00000
2601890,Adams Township School District,Houghton County,Painesdale,MI,486.00000
5500060,Adams-Friendship Area School District,Adams County,Friendship,WI,1435.00000
3602370,ADDISON CENTRAL SCHOOL DISTRICT,Steuben County,ADDISON,NY,1090.00000
5000402,Addison Central Unified School District,Addison County,Middlebury,VT,1808.00000
2601920,Addison Community Schools,Lenawee County,ADDISON,MI,806.00000
5000398,Addison Northwest Unified School District,Addison County,Vergennes,VT,953.00000
1703150,Addison SD 4,DuPage County,Addison,IL,3843.00000
1903150,Adel DeSoto Minburn Comm School District,Dallas County,Adel,IA,2046.00000
4100990,Adel SD 21,Lake County,Lakeview,OR,12.00000
0601710,Adelanto Elementary,San Bernardino County,Adelanto,CA,8208.00000
3904949,Adena Local,Ross County,Frankfort,OH,1244.00000
3605040,ADIRONDACK CENTRAL SCHOOL DISTRICT,Oneida County,BOONVILLE,NY,1212.00000
1732580,Adlai E Stevenson HSD 125,Lake County,Lincolnshire,IL,4271.00000
5300060,Adna School District,Lewis County,ADNA,WA,642.00000
4807500,ADRIAN ISD,Oldham County,ADRIAN,TX,128.00000
2702730,ADRIAN PUBLIC SCHOOL DISTRICT,Nobles County,ADRIAN,MN,568.00000
2601950,Adrian Public Schools,Lenawee County,ADRIAN,MI,2863.00000
2902850,ADRIAN R-III,Bates County,ADRIAN,MO,719.00000
4101020,Adrian SD 61,Malheur County,Adrian,OR,292.00000
2902880,ADVANCE R-IV,Stoddard County,ADVANCE,MO,468.00000
2902910,AFFTON 101,St. Louis County,ST LOUIS,MO,2605.00000
4002520,AFTON,Ottawa County,Afton,OK,478.00000
3602400,AFTON CENTRAL SCHOOL DISTRICT,Chenango County,AFTON,NY,538.00000
4600042,Agar-Blunt-Onida School District 58-3,Sully County,Onida,SD,268.00000
0801980,Agate School District No. 300,Elbert County,AGATE,CO,44.00000
2501800,Agawam,Hampden County,Feeding Hills,MA,3670.00000
4002550,AGRA,Lincoln County,Agra,OK,296.00000
4807530,AGUA DULCE ISD,Nueces County,AGUA DULCE,TX,385.00000
0400450,Agua Fria Union High School District (4289),Maricopa County,Avondale,AZ,8359.00000
0400480,Aguila Elementary District (4249),Maricopa County,AGUILA,AZ,145.00000
0802010,Aguilar Reorganized School District No. 6,Las Animas County,AGUILAR,CO,121.00000
1903060,AGWSR Comm School District,Hardin County,Ackley,IA,670.00000
5900092,Ahfachkee Day School,Hendry County,Clewiston,FL,166.00000
1904080,AHSTW Comm School District,Pottawattamie County,Avoca,IA,736.00000
4500720,Aiken 01,Aiken County,Aiken,SC,24184.00000
3102790,AINSWORTH COMMUNITY SCHOOLS,Brown County,AINSWORTH,NE,427.00000
2302500,Airline CSD,Hancock County,Orrington,ME,56.00000
2601980,Airport Community Schools,Monroe County,CARLETON,MI,2614.00000
2702760,AITKIN PUBLIC SCHOOL DISTRICT,Aitkin County,AITKIN,MN,1172.00000
0400520,Ajo Unified District (4409),Pima County,AJO,AZ,441.00000
1703210,Akin CCSD 91,Franklin County,Akin,IL,106.00000
3602430,AKRON CENTRAL SCHOOL DISTRICT,Erie County,AKRON,NY,1403.00000
3904348,Akron City,Summit County,Akron,OH,21298.00000
0802040,Akron School District No. R-1,Washington County,AKRON,CO,371.00000
1903220,Akron Westfield Comm School District,Plymouth County,Akron,IA,642.00000
2602010,Akron-Fairgrove Schools,Tuscola County,Fairgrove,MI,319.00000
0100190,Alabaster City,Shelby County,Alabaster,AL,6293.00000
1200030,ALACHUA,Alachua County,GAINESVILLE,FL,29761.00000
3700030,Alamance-Burlington Schools,Alamance County,Burlington,NC,23148.00000
0691051,Alameda County Office of Education,Alameda County,Hayward,CA,339.00000
0601770,Alameda Unified,Alameda County,Alameda,CA,9372.00000
4700030,Alamo,Crockett County,Alamo,TN,643.00000
4807590,ALAMO HEIGHTS ISD,Bexar County,SAN ANTONIO,TX,4944.00000
5900046,Alamo Navajo Community School,Socorro County,Alamo,NM,323.00000
3500030,ALAMOGORDO PUBLIC SCHOOLS,Otero County,ALAMOGORDO,NM,5901.00000
0802070,Alamosa School District No. Re-11J,Alamosa County,ALAMOSA,CO,2298.00000
2621810,Alanson Public Schools,Emmet County,ALANSON,MI,221.00000
0200050,Alaska Gateway School District,Southeast Fairbanks Census Area,Tok,AK,409.00000
2602040,Alba Public Schools,Antrim County,ELMIRA,MI,110.00000
4807650,ALBA-GOLDEN ISD,Wood County,ALBA,TX,881.00000
3602460,ALBANY CITY SCHOOL DISTRICT,Albany County,ALBANY,NY,8904.00000
0601860,Albany City Unified,Alameda County,Albany,CA,3586.00000
5600730,Albany County School District #1,Albany County,Laramie,WY,4067.00000
4807680,ALBANY ISD,Shackelford County,ALBANY,TX,522.00000
2702930,ALBANY PUBLIC SCHOOL DISTRICT,Stearns County,ALBANY,MN,1795.00000
2902970,ALBANY R-III,Gentry County,ALBANY,MO,442.00000
5500120,Albany School District,Green County,Albany,WI,338.00000
5100090,ALBEMARLE CO PBLC SCHS,Charlottesville city,Charlottesville,VA,14404.00000
1703270,Albers SD 63,Clinton County,Albers,IL,198.00000
1900031,Albert City-Truesdale Comm School District,Buena Vista County,Albert City,IA,114.00000
4202100,Albert Gallatin Area SD,Fayette County,Uniontown,PA,3288.00000
2702970,ALBERT LEA PUBLIC SCHOOL DISTRICT,Freeborn County,ALBERT LEA,MN,3572.00000
3001860,Alberton K-12 Schools,Mineral County,Alberton,MT,149.00000
0100005,Albertville City,Marshall County,Albertville,AL,5824.00000
1903270,Albia Comm School District,Monroe County,Albia,IA,1198.00000
4002580,ALBION,Pushmataha County,Albion,OK,61.00000
3602520,ALBION CENTRAL SCHOOL DISTRICT,Orleans County,ALBION,NY,1892.00000
3500060,ALBUQUERQUE PUBLIC SCHOOLS,Bernalillo County,ALBUQUERQUE,NM,88312.00000
5001770,Alburg School District,Grand Isle County,Alburg,VT,230.00000
1903300,Alburnett Comm School District,Linn County,Alburnett,IA,695.00000
4600028,Alcester-Hudson School District 61-1,Union County,Alcester,SD,390.00000
4700060,Alcoa,Blount County,Alcoa,TN,2134.00000
2602160,Alcona Community Schools,Alcona County,Lincoln,MI,692.00000
2800390,ALCORN SCHOOL DIST,Alcorn County,Corinth,MS,3203.00000
3602550,ALDEN CENTRAL SCHOOL DISTRICT,Erie County,ALDEN,NY,1592.00000
1900032,Alden Comm School District,Hardin County,Alden,IA,173.00000
1703300,Alden Hebron SD 19,McHenry County,Hebron,IL,410.00000
2703030,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Freeborn County,ALDEN,MN,478.00000
3017460,Alder Elem,Madison County,Alder,MT,25.00000
4807710,ALDINE ISD,Harris County,HOUSTON,TX,67259.00000
4807780,ALEDO ISD,Parker County,ALEDO,TX,6437.00000
0200010,Aleutian Region School District,Anchorage Municipality,Anchorage,AK,29.00000
0200007,Aleutians East Borough School District,Aleutians East Borough,Sand Point,AK,234.00000
4002670,ALEX,Grady County,Alex,OK,318.00000
3801760,ALEXANDER 2,McKenzie County,Alexander,ND,281.00000
3602580,ALEXANDER CENTRAL SCHOOL DISTRICT,Genesee County,ALEXANDER,NY,801.00000
0100030,Alexander City,Tallapoosa County,Alexander City,AL,3036.00000
3700090,Alexander County Schools,Alexander County,Taylorsville,NC,4826.00000
3904590,Alexander Local,Athens County,Albany,OH,1456.00000
2302280,Alexander Public Schools,Washington County,Eastport,ME,42.00000
0601890,Alexander Valley Union Elementary,Sonoma County,Healdsburg,CA,112.00000
3602670,ALEXANDRIA CENTRAL SCHOOL DISTRICT,Jefferson County,ALEXANDRIA BAY,NY,498.00000
5100120,ALEXANDRIA CITY PBLC SCHS,Alexandria city,Alexandria,VA,16295.00000
1800120,Alexandria Community School Corp,Madison County,Alexandria,IN,1635.00000
2703060,ALEXANDRIA PUBLIC SCHOOL DISTRICT,Douglas County,ALEXANDRIA,MN,4236.00000
3400690,Alexandria Township School District,Hunterdon County,Pittstown,NJ,479.00000
3602700,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,Allegany County,ALMOND,NY,622.00000
5500150,Algoma School District,Kewaunee County,Algoma,WI,704.00000
1903360,Algona Comm School District,Kossuth County,Algona,IA,1530.00000
2602190,Algonac Community School District,St. Clair County,CLAY,MI,1417.00000
0400600,Alhambra Elementary District (4280),Maricopa County,PHOENIX,AZ,12307.00000
0600153,Alhambra Unified,Los Angeles County,Alhambra,CA,16278.00000
4807800,ALICE ISD,Jim Wells County,ALICE,TX,4870.00000
4807830,ALIEF ISD,Harris County,ALIEF,TX,45300.00000
4002720,ALINE-CLEO,Alfalfa County,Aline,OK,128.00000
4202130,Aliquippa SD,Beaver County,Aliquippa,PA,960.00000
0601950,Alisal Union,Monterey County,Salinas,CA,8524.00000
1903390,Allamakee Comm School District,Allamakee County,Waukon,IA,1152.00000
3400720,Allamuchy Township School District,Warren County,Allamuchy,NJ,426.00000
2602220,Allegan Public Schools,Allegan County,ALLEGAN,MI,2399.00000
2400030,Allegany County Public Schools,Allegany County,Cumberland,MD,8437.00000
3600015,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,Cattaraugus County,ALLEGANY,NY,1185.00000
5100152,ALLEGHANY CO PBLC SCHS,Alleghany County,Low Moor,VA,2024.00000
3700120,Alleghany County Schools,Alleghany County,Sparta,NC,1452.00000
4289130,Allegheny IU 3,Allegheny County,Homestead,PA,538.00000
4202190,Allegheny Valley SD,Allegheny County,Cheswick,PA,940.00000
4202310,Allegheny-Clarion Valley SD,Clarion County,Foxburg,PA,646.00000
4002760,ALLEN,Pontotoc County,Allen,OK,500.00000
3102880,ALLEN CONSOLIDATED SCHOOLS,Dixon County,ALLEN,NE,149.00000
2100070,Allen County,Allen County,Scottsville,KY,3172.00000
3904575,Allen East Local,Allen County,Harrod,OH,1127.00000
4807890,ALLEN ISD,Collin County,ALLEN,TX,21880.00000
2200060,Allen Parish,Allen Parish,Oberlin,LA,4205.00000
2602520,Allen Park Public Schools,Wayne County,ALLEN PARK,MI,3845.00000
4002790,ALLEN-BOWDEN,Creek County,Tulsa,OK,325.00000
1703420,Allen-Otter Creek CCSD 65,LaSalle County,Ransom,IL,68.00000
4500750,Allendale 01,Allendale County,Allendale,SC,1109.00000
1703450,Allendale CCSD 17,Wabash County,Allendale,IL,149.00000
3400750,Allendale Public School District,Bergen County,Allendale,NJ,872.00000
2602550,Allendale Public Schools,Ottawa County,ALLENDALE,MI,2668.00000
3301380,Allenstown School District,Merrimack County,Pembroke,NH,356.00000
0601980,Allensworth Elementary,Tulare County,Allensworth,CA,82.00000
4202280,Allentown City SD,Lehigh County,Allentown,PA,16730.00000
3904349,Alliance City,Stark County,Alliance,OH,3084.00000
3102910,ALLIANCE PUBLIC SCHOOLS,Box Butte County,ALLIANCE,NE,1429.00000
3400810,Alloway Twp School District,Salem County,ALLOWAY,NJ,326.00000
5500210,Alma Center School District,Jackson County,Alma Center,WI,598.00000
3100080,ALMA PUBLIC SCHOOLS,Harlan County,ALMA,NE,344.00000
2602640,Alma Public Schools,Gratiot County,ALMA,MI,2027.00000
0502250,ALMA SCHOOL DISTRICT,Crawford County,ALMA,AR,3297.00000
5500180,Alma School District,Buffalo County,Alma,WI,241.00000
5300090,Almira School District,Lincoln County,ALMIRA,WA,130.00000
5500240,Almond-Bancroft School District,Portage County,Almond,WI,377.00000
2602670,Almont Community Schools,Lapeer County,ALMONT,MI,1463.00000
0602010,Alpaugh Unified,Tulare County,Alpaugh,CA,336.00000
2602730,Alpena Public Schools,Alpena County,ALPENA,MI,3643.00000
0502280,ALPENA SCHOOL DISTRICT,Boone County,ALPENA,AR,514.00000
3400840,Alpha Borough School District,Warren County,Alpha,NJ,211.00000
0602070,Alpine County Unified,Alpine County,Markleeville,CA,70.00000
4900030,Alpine District,Utah County,AMERICAN FORK,UT,83540.00000
0400630,Alpine Elementary District (4161),Apache County,ALPINE,AZ,62.00000
4807950,ALPINE ISD,Brewster County,ALPINE,TX,1025.00000
3400870,Alpine School District,Bergen County,Alpine,NJ,157.00000
0602100,Alpine Union Elementary,San Diego County,Alpine,CA,1635.00000
1703480,Alsip-Hazlgrn-Oaklwn SD 126,Cook County,Alsip,IL,1599.00000
0602160,Alta Loma Elementary,San Bernardino County,Alta Loma,CA,6059.00000
0602220,Alta Vista Elementary,Tulare County,Porterville,CA,539.00000
1903480,Alta-Aurelia Comm School District,Buena Vista County,Alta,IA,818.00000
0602250,Alta-Dutch Flat Union Elementary,Placer County,Alta,CA,100.00000
1703510,Altamont CUSD 10,Effingham County,Altamont,IL,661.00000
0404770,Altar Valley Elementary District (4418),Pima County,Tucson,AZ,610.00000
2903040,ALTENBURG 48,Perry County,ALTENBURG,MO,98.00000
3602820,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,Oswego County,PARISH,NY,1153.00000
4807980,ALTO ISD,Cherokee County,ALTO,TX,631.00000
1703600,Alton CUSD 11,Madison County,Alton,IL,6084.00000
2903060,ALTON R-IV,Oregon County,ALTON,MO,681.00000
3301440,Alton School District,Belknap County,Alton,NH,441.00000
4202340,Altoona Area SD,Blair County,Altoona,PA,7486.00000
5500270,Altoona School District,Eau Claire County,Altoona,WI,1702.00000
2004170,Altoona-Midway,Wilson County,Buffalo,KS,181.00000
4002850,ALTUS,Jackson County,Altus,OK,3366.00000
0602310,Alum Rock Union Elementary,Santa Clara County,San Jose,CA,9118.00000
4002880,ALVA,Woods County,Alva,OK,1031.00000
4800011,ALVARADO ISD,Johnson County,ALVARADO,TX,3663.00000
0602360,Alview-Dairyland Union Elementary,Madera County,Chowchilla,CA,385.00000
4700144,Alvin C York Institute,Fentress County,Jamestown,TN,516.00000
4808090,ALVIN ISD,Brazoria County,ALVIN,TX,27022.00000
4808100,ALVORD ISD,Wise County,ALVORD,TX,738.00000
0602430,Alvord Unified,Riverside County,Corona,CA,18170.00000
1703660,AlWood CUSD 225,Henry County,Woodhull,IL,377.00000
1700190,Alxndr/Jcksn/Pulsk/Prry/Union ROE,Jackson County,Murphysboro,IL,16.00000
3001950,Alzada Elem,Carter County,Alzada,MT,8.00000
0691001,Amador County Office of Education,Amador County,Jackson,CA,208.00000
0602450,Amador County Unified,Amador County,Jackson,CA,3958.00000
3602880,AMAGANSETT UNION FREE SCHOOL DISTRICT,Suffolk County,AMAGANSETT,NY,79.00000
3904684,Amanda-Clearcreek Local,Fairfield County,Amanda,OH,1412.00000
4808130,AMARILLO ISD,Potter County,AMARILLO,TX,32436.00000
4002910,AMBER-POCASSET,Grady County,Amber,OK,496.00000
1703690,Amboy CUSD 272,Lee County,Amboy,IL,718.00000
4202440,Ambridge Area SD,Beaver County,Ambridge,PA,2390.00000
5100180,AMELIA CO PBLC SCHS,Amelia County,Amelia,VA,1729.00000
1600060,AMERICAN FALLS JOINT DISTRICT,Power County,AMERICAN FALLS,ID,1552.00000
5900070,AMERICAN HORSE SCHOOL,Bennett County,Allen,SD,258.00000
6000030,American Samoa Department of Education,Eastern District,Pago Pago,AS,10448.00000
5500300,Amery School District,Polk County,Amery,WI,1514.00000
1903540,Ames Comm School District,Story County,Ames,IA,4972.00000
2501860,Amesbury,Essex County,Amesbury,MA,2012.00000
2501890,Amherst,Hampshire County,Amherst,MA,1093.00000
3602920,AMHERST CENTRAL SCHOOL DISTRICT,Erie County,AMHERST,NY,3047.00000
5100210,AMHERST CO PBLC SCHS,Amherst County,Amherst,VA,4115.00000
3904519,Amherst Exempted Village,Lorain County,Amherst,OH,3534.00000
4808160,AMHERST ISD,Lamb County,AMHERST,TX,131.00000
3100070,AMHERST PUBLIC SCHOOLS,Buffalo County,AMHERST,NE,380.00000
3301470,Amherst School District,Hillsborough County,Amherst,NH,1309.00000
2501920,Amherst-Pelham,Hampshire County,Amherst,MA,1346.00000
2800420,AMITE COUNTY SCHOOL DISTRICT,Amite County,Liberty,MS,929.00000
4101230,Amity SD 4J,Yamhill County,Amity,OR,832.00000
3602940,AMITYVILLE UNION FREE SCHOOL DISTRICT,Suffolk County,AMITYVILLE,NY,3201.00000
2800450,AMORY SCHOOL DIST,Monroe County,Amory,MS,1605.00000
0400680,Amphitheater Unified District (4406),Pima County,TUCSON,AZ,13410.00000
3602970,AMSTERDAM CITY SCHOOL DISTRICT,Montgomery County,AMSTERDAM,NY,3853.00000
3001980,Amsterdam Elem,Gallatin County,Manhattan,MT,143.00000
3002010,Anaconda Elem,Deer Lodge County,Anaconda,MT,709.00000
3002030,Anaconda H S,Deer Lodge County,Anaconda,MT,313.00000
5300150,Anacortes School District,Skagit County,ANACORTES,WA,2795.00000
4003000,ANADARKO,Caddo County,Anadarko,OK,1600.00000
0602610,Anaheim Elementary,Orange County,Anaheim,CA,16374.00000
0602630,Anaheim Union High,Orange County,Anaheim,CA,29832.00000
4808190,ANAHUAC ISD,Chambers County,ANAHUAC,TX,1343.00000
3801950,ANAMOOSE 14,McHenry County,Anamoose,ND,81.00000
1903570,Anamosa Comm School District,Jones County,Anamosa,IA,1264.00000
2602790,Anchor Bay School District,St. Clair County,CASCO,MI,5816.00000
2100090,Anchorage Independent,Jefferson County,Anchorage,KY,393.00000
0200180,Anchorage School District,Anchorage Municipality,Anchorage,AK,46143.00000
0100060,Andalusia City,Covington County,Andalusia,AL,1839.00000
4003010,ANDERSON,Osage County,Sand Springs,OK,353.00000
4500780,Anderson 01,Anderson County,Williamston,SC,10245.00000
4500810,Anderson 02,Anderson County,Honea Path,SC,3686.00000
4500840,Anderson 03,Anderson County,Iva,SC,2615.00000
4500870,Anderson 04,Anderson County,Pendleton,SC,2860.00000
4500900,Anderson 05,Anderson County,Anderson,SC,13145.00000
1800150,Anderson Community School Corp,Madison County,Anderson,IN,6811.00000
2100120,Anderson County,Anderson County,Lawrenceburg,KY,3808.00000
4700090,Anderson County,Anderson County,Clinton,TN,6436.00000
3002070,Anderson Elem,Gallatin County,Bozeman,MT,197.00000
0602700,Anderson Union High,Shasta County,Anderson,CA,1668.00000
0602730,Anderson Valley Unified,Mendocino County,Boonville,CA,449.00000
4808230,ANDERSON-SHIRO CISD,Grimes County,ANDERSON,TX,888.00000
3603000,ANDES CENTRAL SCHOOL DISTRICT,Delaware County,ANDES,NY,73.00000
4639540,Andes Central School District 11-1,Charles Mix County,Lake Andes,SD,346.00000
2003360,Andover,Butler County,Andover,KS,9185.00000
2501950,Andover,Essex County,Andover,MA,5856.00000
3603030,ANDOVER CENTRAL SCHOOL DISTRICT,Allegany County,ANDOVER,NY,303.00000
2314823,Andover Public Schools,Oxford County,Andover,ME,39.00000
3400900,Andover Regional School District,Sussex County,Newton,NJ,452.00000
0900030,Andover School District,Tolland County,Andover,CT,195.00000
3301500,Andover School District,Merrimack County,Penacook,NH,250.00000
1903630,Andrew Comm School District,Jackson County,Andrew,IA,166.00000
4808280,ANDREWS ISD,Andrews County,ANDREWS,TX,4359.00000
5900094,Aneth Community School,San Juan County,Montezuma Creek,UT,118.00000
4808310,ANGLETON ISD,Brazoria County,ANGLETON,TX,6861.00000
3500090,ANIMAS PUBLIC SCHOOLS,Hidalgo County,ANIMAS,NM,157.00000
1903690,Ankeny Comm School District,Polk County,Ankeny,IA,12394.00000
2602820,Ann Arbor Public Schools,Washtenaw County,ANN ARBOR,MI,18073.00000
1703750,Anna CCSD 37,Union County,Anna,IL,649.00000
4808340,ANNA ISD,Collin County,ANNA,TX,3828.00000
1703780,Anna Jonesboro CHSD 81,Union County,Anna,IL,499.00000
3910004,Anna Local,Shelby County,Anna,OH,1133.00000
2703150,ANNANDALE PUBLIC SCHOOL DISTRICT,Wright County,ANNANDALE,MN,2012.00000
1703810,Annawan CUSD 226,Henry County,Annawan,IL,354.00000
2400060,Anne Arundel County Public Schools,Anne Arundel County,Annapolis,MD,84984.00000
0200525,Annette Island School District,Prince of Wales-Hyder Census Area,Metlakatla,AK,310.00000
0100090,Anniston City,Calhoun County,Anniston,AL,1887.00000
4202490,Annville-Cleona SD,Lebanon County,Annville,PA,1439.00000
2703180,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Anoka County,ANOKA,MN,39057.00000
3100010,ANSELMO-MERNA PUBLIC SCHOOLS,Custer County,MERNA,NE,289.00000
3103060,ANSLEY PUBLIC SCHOOLS,Custer County,ANSLEY,NE,192.00000
3700180,Anson County Schools,Anson County,Wadesboro,NC,3147.00000
4808400,ANSON ISD,Jones County,ANSON,TX,726.00000
3904662,Ansonia Local,Darke County,Ansonia,OH,789.00000
0900060,Ansonia School District,New Haven County,Ansonia,CT,2265.00000
0602760,Antelope Elementary,Tehama County,Red Bluff,CA,854.00000
0400720,Antelope Union High School District (4506),Yuma County,Wellton,AZ,211.00000
0602820,Antelope Valley Union High,Los Angeles County,Lancaster,CA,21756.00000
4808430,ANTHONY ISD,El Paso County,ANTHONY,TX,843.00000
3904820,Anthony Wayne Local,Lucas County,Whitehouse,OH,4298.00000
4202480,Antietam SD,Berks County,Reading,PA,1099.00000
5500360,Antigo Unified School District,Langlade County,Antigo,WI,2125.00000
1703840,Antioch CCSD 34,Lake County,Antioch,IL,2783.00000
0602850,Antioch Unified,Contra Costa County,Antioch,CA,16293.00000
4003060,ANTLERS,Pushmataha County,Antlers,OK,965.00000
4808460,ANTON ISD,Hockley County,ANTON,TX,200.00000
3904899,Antwerp Local,Paulding County,Antwerp,OH,728.00000
0400750,Apache Elementary District (4178),Cochise County,PORTAL,AZ,12.00000
0400790,Apache Junction Unified District (4443),Pinal County,Apache Junction,AZ,3237.00000
1903750,Aplington-Parkersburg Comm School District,Butler County,Parkersburg,IA,855.00000
4202550,Apollo-Ridge SD,Armstrong County,Spring Church,PA,1161.00000
3700427,Appalachian State U Academy Middle Fork,Forsyth County,Walkertown,NC,280.00000
3802014,APPLE CREEK 39,Burleigh County,Bismarck,ND,59.00000
4808490,APPLE SPRINGS ISD,Trinity County,APPLE SPRINGS,TX,198.00000
0600017,Apple Valley Unified,San Bernardino County,Apple Valley,CA,13303.00000
5500390,Appleton Area School District,Outagamie County,Appleton,WI,16081.00000
2903120,APPLETON CITY R-II,St. Clair County,APPLETON CITY,MO,326.00000
2302510,Appleton Public Schools,Knox County,Hope,ME,148.00000
1300060,Appling County,Appling County,Baxley,GA,3567.00000
5100240,APPOMATTOX CO PBLC SCHS,Appomattox County,Appomattox,VA,2279.00000
1000080,Appoquinimink School District,New Castle County,Odessa,DE,11737.00000
1703900,Aptakisic-Tripp CCSD 102,Lake County,Buffalo Grove,IL,2550.00000
4808520,AQUILLA ISD,Hill County,AQUILLA,TX,337.00000
1903780,Ar-We-Va Comm School District,Crawford County,Westside,IA,240.00000
0100100,Arab City,Marshall County,Arab,AL,2696.00000
4808550,ARANSAS COUNTY ISD,Aransas County,ROCKPORT,TX,2966.00000
4808580,ARANSAS PASS ISD,San Patricio County,ARANSAS PASS,TX,1620.00000
4003120,ARAPAHO-BUTLER,Custer County,Arapaho,OK,480.00000
3103090,ARAPAHOE PUBLIC SCHOOLS,Furnas County,ARAPAHOE,NE,351.00000
1600090,ARBON ELEMENTARY DISTRICT,Power County,ARBON,ID,15.00000
1703930,Arbor Park SD 145,Cook County,Oak Forest,IL,1250.00000
3910002,Arcadia Local,Hancock County,Arcadia,OH,597.00000
3103120,ARCADIA PUBLIC SCHOOLS,Valley County,ARCADIA,NE,128.00000
5500420,Arcadia School District,Trempealeau County,Arcadia,WI,1274.00000
0602970,Arcadia Unified,Los Angeles County,Arcadia,CA,9254.00000
2903150,ARCADIA VALLEY R-II,Iron County,IRONTON,MO,912.00000
3904663,Arcanum-Butler Local,Darke County,Arcanum,OH,1196.00000
0603000,Arcata Elementary,Humboldt County,Arcata,CA,532.00000
3904704,Archbold-Area Local,Fulton County,Archbold,OH,1229.00000
4808610,ARCHER CITY ISD,Archer County,ARCHER CITY,TX,503.00000
2903200,ARCHIE R-V,Cass County,ARCHIE,MO,505.00000
0802190,Archuleta County School District No. 50 Jt,Archuleta County,PAGOSA SPRINGS,CO,1742.00000
0603060,Arcohe Union Elementary,Sacramento County,Herald,CA,485.00000
1703960,Arcola CUSD 306,Douglas County,Arcola,IL,699.00000
4003180,ARDMORE,Carter County,Ardmore,OK,2858.00000
3603180,ARDSLEY UNION FREE SCHOOL DISTRICT,Westchester County,ARDSLEY,NY,2314.00000
0603090,Arena Union Elementary,Mendocino County,Point Arena,CA,232.00000
1703990,Argenta-Oreana CUSD 1,Macon County,Argenta,IL,927.00000
1704020,Argo CHSD 217,Cook County,Summit,IL,1934.00000
