ncesid,nces_original_name,county_nces,city_nces,state,student
4225980,West York Area SD,York County,York,PA,2936.00000
3417730,Westampton Township Public School District,Burlington County,Westampton,NJ,1030.00000
2512600,Westborough,Worcester County,Westborough,MA,3942.00000
4845210,WESTBROOK ISD,Mitchell County,WESTBROOK,TX,246.00000
2313560,Westbrook Public Schools,Cumberland County,Westbrook,ME,2444.00000
0904980,Westbrook School District,Middlesex County,Westbrook,CT,664.00000
2700183,WESTBROOK-WALNUT GROVE SCHOOLS,Cottonwood County,WESTBROOK,MN,406.00000
3630960,WESTBURY UNION FREE SCHOOL DISTRICT,Nassau County,OLD WESTBURY,NY,5411.00000
5516410,Westby Area School District,Vernon County,Westby,WI,1061.00000
3027730,Westby K-12 Schools,Sheridan County,Westby,MT,62.00000
1741790,Westchester SD 92-5,Cook County,Westchester,IL,1116.00000
4401170,Westerly,Washington County,Westerly,RI,2648.00000
4226040,Western Beaver County SD,Beaver County,Midland,PA,759.00000
1812990,Western Boone Co Com Sch Dist,Boone County,Thorntown,IN,1732.00000
3904606,Western Brown Local,Brown County,Mount Orab,OH,2784.00000
1701387,Western CUSD 12,Pike County,Barry,IL,540.00000
1931350,Western Dubuque Comm School District,Dubuque County,Farley,IA,3642.00000
4032370,WESTERN HEIGHTS,Oklahoma County,Oklahoma City,OK,3419.00000
2804680,WESTERN LINE SCHOOL DISTRICT,Washington County,AVON,MS,1928.00000
3904915,Western Local,Pike County,Latham,OH,727.00000
0642140,Western Placer Unified,Placer County,Lincoln,CA,7259.00000
2000020,Western Plains,Ness County,Ransom,KS,120.00000
3904774,Western Reserve Local,Huron County,Collins,OH,974.00000
3904839,Western Reserve Local,Mahoning County,Berlin Center,OH,661.00000
1804470,Western School Corporation,Howard County,Russiaville,IN,2644.00000
2635940,Western School District,Jackson County,PARMA,MI,2912.00000
1741820,Western Springs SD 101,Cook County,Western Springs,IL,1461.00000
1813050,Western Wayne Schools,Wayne County,Pershing,IN,899.00000
